年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2013/10/23,1312,國喬            ,8137000,443000,0,500000,492000,348000,7338000
2013/10/23,2888,新光金          ,8781719,2292628,0,0,1081000,1210000,6360091
2013/10/23,2330,台積電          ,20309000,13041645,121000,484000,375000,2195000,5084355
2013/10/23,1434,福懋            ,4926334,371000,200000,0,34000,143000,4646334
2013/10/23,3474,華亞科          ,5553000,1429000,0,0,1250000,1032000,4342000
2013/10/23,2311,日月光          ,8884332,4330499,0,8000,1000000,1206000,4339833
2013/10/23,2883,開發金          ,8679333,2742061,0,4000,686000,2316000,4303272
2013/10/23,2317,鴻海            ,7413637,2597809,190000,311000,144000,880712,3958116
2013/10/23,3706,神達            ,4447000,418000,0,0,107000,363000,3773000
2013/10/23,2886,兆豐金          ,7096000,2298000,0,3000,8000,1046000,3757000
2013/10/23,2454,聯發科          ,4444381,908457,229000,140000,223000,302000,3545924
2013/10/23,3045,台灣大          ,7975595,3936000,0,571000,246000,316000,3398595
2013/10/23,2337,旺宏            ,3705937,304000,0,1000,0,8000,3392937
2013/10/23,2412,中華電          ,6995002,3398535,0,0,4000,254608,3345859
2013/10/23,1513,中興電          ,1223000,558000,1632000,0,25000,0,2322000
2013/10/23,1305,華夏            ,2345001,481000,0,0,350000,101000,2113001
2013/10/23,5880,合庫金          ,3210349,934515,0,0,143000,375642,2043192
2013/10/23,6176,瑞儀            ,2484598,427000,20000,206000,191000,53000,2009598
2013/10/23,2890,永豐金          ,5802378,4114556,0,2000,1005000,805000,1885822
2013/10/23,0050,台灣50          ,2241000,845000,0,0,2441000,1956000,1881000
2013/10/23,2884,玉山金          ,7514208,5183000,0,29000,71000,587000,1786208
2013/10/23,2610,華航            ,3244730,434000,0,893000,100000,359000,1658730
2013/10/23,1589,F-永冠          ,906000,94000,632000,0,68000,53000,1459000
2013/10/23,911868,同方友          ,1324000,0,0,0,0,0,1324000
2013/10/23,3519,綠能            ,1365000,137000,0,0,100000,8000,1320000
2013/10/23,2887,台新金          ,3051369,1079377,0,2000,82000,752000,1299992
2013/10/23,2449,京元電          ,2785000,1559000,0,1000,100000,74000,1251000
2013/10/23,006207,FH滬深          ,1215000,200000,0,700000,2028000,1130000,1213000
2013/10/23,2356,英業達          ,5834776,2552000,0,0,270000,2342000,1210776
2013/10/23,1326,台化            ,1261227,1248180,1652000,356450,163000,274000,1197597
2013/10/23,3576,新日光          ,1024953,274000,0,140000,684000,127000,1167953
2013/10/23,2474,可成            ,1574015,640000,306000,0,204000,337040,1106975
2013/10/23,6285,啟??            ,1827252,513000,0,0,110000,342000,1082252
2013/10/23,3005,神基            ,364000,201000,0,0,900000,0,1063000
2013/10/23,2834,臺企銀          ,784922,753000,1100000,0,42000,141000,1032922
2013/10/23,1504,東元            ,7602826,6443334,0,1000,44000,180000,1022492
2013/10/23,1227,佳格            ,1242158,225650,0,0,0,0,1016508
2013/10/23,910322,康師傅          ,1031000,21000,0,0,0,0,1010000
2013/10/23,2880,華南金          ,2085256,1029000,300000,0,42000,394000,1004256
2013/10/23,1101,台泥            ,3516284,2119000,0,200000,35000,325000,907284
2013/10/23,5871,F-中租          ,1361889,1050100,334000,221000,1436000,997000,863789
2013/10/23,9938,百和            ,40000,168000,480000,0,744000,256000,840000
2013/10/23,3561,昇陽科          ,794000,219000,0,0,298000,58000,815000
2013/10/23,1909,榮成            ,822000,16000,0,0,0,0,806000
2013/10/23,9136,巨騰            ,1016000,49000,0,0,30000,202000,795000
2013/10/23,2347,聯強            ,2022071,2089000,563000,0,1032000,736000,792071
2013/10/23,2325,矽品            ,3469128,2683000,350000,1000,136000,486000,785128
2013/10/23,1447,力鵬            ,1485000,445000,0,0,914000,1206000,748000
2013/10/23,2892,第一金          ,4226090,2934575,0,0,25000,577500,739015
2013/10/23,1532,勤美            ,1182000,93000,0,374600,173000,152000,735400
2013/10/23,2377,微星            ,389000,213000,0,0,548000,0,724000
2013/10/23,2382,廣達            ,2340030,1637000,176000,0,15000,179000,715030
2013/10/23,2371,大同            ,884000,29000,0,0,110000,265000,700000
2013/10/23,3682,亞太電          ,5903000,5879000,0,0,672000,0,696000
2013/10/23,3450,聯鈞            ,55000,35000,135000,0,547000,23000,679000
2013/10/23,2385,群光            ,1550706,567550,42000,266000,19000,104000,674156
2013/10/23,3062,建漢            ,76000,268000,813000,0,88000,61000,648000
2013/10/23,2809,京城銀          ,964000,194000,0,0,26000,157000,639000
2013/10/23,913889,大成糖          ,633000,0,0,0,0,0,633000
2013/10/23,2913,農林            ,1129000,551000,0,0,406000,354000,630000
2013/10/23,2301,光寶科          ,2399116,1714393,0,7000,31000,94000,614723
2013/10/23,4934,太極            ,615000,77000,0,0,53000,1000,590000
2013/10/23,4915,致伸            ,150000,54000,0,0,563000,73000,586000
2013/10/23,5521,工信            ,250000,90000,380000,0,0,7000,533000
2013/10/23,2312,金寶            ,879000,541000,1226000,130000,911000,1815000,530000
2013/10/23,3022,威強電          ,101000,22600,420000,0,32000,17000,513400
2013/10/23,4938,和碩            ,3073344,2535000,0,328000,446000,146000,510344
2013/10/23,2867,三商壽          ,654000,50000,0,0,0,96000,508000
2013/10/23,3665,F-貿聯          ,153000,59000,408000,0,45000,40000,507000
2013/10/23,2395,研華            ,1060680,662419,0,0,70000,0,468261
2013/10/23,2049,上銀            ,940469,411200,30000,0,44000,137000,466269
2013/10/23,2103,台橡            ,497154,97000,61000,0,0,3000,458154
2013/10/23,2845,遠東銀          ,533000,73483,0,1000,0,1000,457517
