年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2014/07/15,2891,中信金          ,54224801,14947443,3737000,136000,2660000,6331000,39207358
2014/07/15,2883,開發金          ,27116622,7128000,4400000,154000,7915000,5501000,26648622
2014/07/15,2886,兆豐金          ,16162503,2345000,3817000,91000,4756000,1351000,20948503
2014/07/15,2823,中壽            ,3556000,1447000,1923000,7000,13708000,1948000,15785000
2014/07/15,2409,友達            ,24041319,15057000,11186000,78000,506000,8647000,11951319
2014/07/15,2884,玉山金          ,14328512,2432738,78000,61000,273000,1528000,10657774
2014/07/15,2881,富邦金          ,18978877,8952118,2943000,75000,440000,3807000,9527759
2014/07/15,2324,仁寶            ,17747114,7418000,140000,37000,711000,2449000,8694114
2014/07/15,3474,華亞科          ,10233629,8219000,1448000,907000,5332000,1322000,6565629
2014/07/15,2892,第一金          ,7269727,1629000,0,61000,570000,659625,5490102
2014/07/15,4938,和碩            ,9762421,4145402,180000,171000,689000,1072000,5243019
2014/07/15,1216,統一            ,5393090,1105000,40000,38000,895000,218000,4967090
2014/07/15,2382,廣達            ,5795668,1524000,550000,63000,27000,135000,4650668
2014/07/15,2882,國泰金          ,10147958,5433162,2341000,76000,1379769,4941000,3418565
2014/07/15,3481,群創            ,12489136,9952036,2085000,67000,3058000,4389794,3223306
2014/07/15,2412,中華電          ,5026953,2246000,0,35000,386000,86000,3045953
2014/07/15,1711,永光            ,213000,834000,2957000,5000,1317000,922000,2726000
2014/07/15,1101,台泥            ,7362800,6902000,3000,503000,2757000,39000,2678800
2014/07/15,5264,F-鎧勝          ,1354000,243000,130000,70000,1380000,66000,2485000
2014/07/15,1303,南亞            ,4153421,1999000,0,49000,51000,69000,2087421
2014/07/15,1605,華新            ,717844,458000,0,8000,2276000,535000,1992844
2014/07/15,1409,新纖            ,1855000,86000,0,0,200995,34000,1935995
2014/07/15,2888,新光金          ,12115643,11694000,0,26000,4166000,2663000,1898643
2014/07/15,2448,晶電            ,2909210,1094000,537000,1000,148000,629000,1870210
2014/07/15,2327,國巨            ,2424000,620000,25000,0,210000,273000,1766000
2014/07/15,2105,正新            ,4637468,2236000,46000,598000,862000,964000,1747468
2014/07/15,2301,光寶科          ,3416531,1746040,48000,37000,123000,58000,1746491
2014/07/15,2913,農林            ,528000,165000,0,0,1383000,10000,1736000
2014/07/15,3037,欣興            ,2064332,1994000,0,2000,1857000,336000,1589332
2014/07/15,3514,昱晶            ,2667000,1452000,0,0,539000,221000,1533000
2014/07/15,2458,義隆            ,1318000,267000,0,220000,833000,137000,1527000
2014/07/15,3698,隆達            ,2108000,650000,0,500000,624000,155000,1427000
2014/07/15,2383,台光電          ,139804,47000,520000,0,920000,121000,1411804
2014/07/15,2393,億光            ,1882000,439000,12000,3000,197000,274000,1375000
2014/07/15,3034,聯詠            ,4266145,2341000,0,499000,22000,75000,1373145
2014/07/15,2456,奇力新          ,1341000,139000,100000,0,0,0,1302000
2014/07/15,2809,京城銀          ,1615000,560000,58000,0,100000,14000,1199000
2014/07/15,2885,元大金          ,5082447,5544000,3178000,83000,864000,2302000,1195447
2014/07/15,1702,南僑            ,897000,705000,0,1000,1071000,106000,1156000
2014/07/15,3035,智原            ,1936000,772000,0,114000,178000,137000,1091000
2014/07/15,2344,華邦電          ,1193000,394000,0,1000,570000,281000,1087000
2014/07/15,2354,鴻準            ,1471254,373000,0,7000,30000,51000,1070254
2014/07/15,1301,台塑            ,4090227,2562000,0,276000,71000,332000,991227
2014/07/15,2385,群光            ,1661138,578210,4000,1000,9000,104000,990928
2014/07/15,2889,國票金          ,1119605,117000,0,0,0,27000,975605
2014/07/15,2408,南亞科          ,1976000,503000,0,0,0,500000,973000
2014/07/15,3042,晶技            ,711000,347000,0,50000,787000,129000,972000
2014/07/15,4915,致伸            ,4553000,3100000,340000,0,279000,1110000,962000
2014/07/15,4960,奇美材          ,337000,174000,0,1000,1046000,273000,935000
2014/07/15,0055,寶金融          ,5000,0,0,0,1333000,411000,927000
2014/07/15,6153,嘉聯益          ,94000,322000,80000,0,1153000,84000,921000
2014/07/15,2106,建大            ,839000,443000,0,6000,515000,7000,898000
2014/07/15,2474,可成            ,1456678,767000,143000,49000,369000,319000,833678
2014/07/15,2890,永豐金          ,7281933,6449488,0,65000,1205000,1140000,832445
2014/07/15,1476,儒鴻            ,1524050,829000,6000,0,176000,56000,821050
2014/07/15,2887,台新金          ,3929886,4125000,500000,68000,2465000,1888000,813886
2014/07/15,4904,遠傳            ,3290401,2434000,0,14000,440000,470000,812401
2014/07/15,9933,中鼎            ,1106000,363000,53000,1000,0,8000,787000
2014/07/15,8046,南電            ,632054,248000,206000,0,193000,12000,771054
2014/07/15,2801,彰銀            ,4731786,4206820,0,433000,1086166,433000,745132
2014/07/15,6005,群益證          ,1945560,1199000,0,0,0,27000,719560
2014/07/15,3437,榮創            ,634000,70000,0,0,173000,35000,702000
2014/07/15,2449,京元電          ,2104000,1680000,274000,231000,200000,100000,567000
2014/07/15,1310,台苯            ,556000,16000,0,0,53000,46000,547000
2014/07/15,2368,金像電          ,724000,284000,0,0,93000,3000,530000
2014/07/15,2838,聯邦銀          ,138000,87000,0,0,500000,27000,524000
2014/07/15,6202,盛群            ,1262000,632000,0,1000,158156,266000,521156
2014/07/15,2605,新興            ,657000,140000,0,0,0,0,517000
2014/07/15,2457,飛宏            ,892000,303000,0,0,0,77000,512000
2014/07/15,5880,合庫金          ,1387477,720000,0,51000,491000,601000,506477
2014/07/15,3061,璨圓            ,421000,5000,0,0,60000,0,476000
2014/07/15,2915,潤泰全          ,1338000,63000,0,1000,0,817000,457000
2014/07/15,2331,精英            ,375000,141000,0,0,314000,93000,455000
2014/07/15,2345,智邦            ,549000,90000,0,0,4786,9000,454786
2014/07/15,2355,敬鵬            ,774000,54000,0,200000,37000,104000,453000
2014/07/15,3036,文曄            ,377000,65000,0,0,158000,19000,451000
2014/07/15,006206,元上證          ,0,0,0,0,667000,216000,451000
2014/07/15,6285,啟??            ,699000,77000,180000,136000,287000,523000,430000
2014/07/15,6257,矽格            ,1495000,391000,0,0,120000,803000,421000
2014/07/15,2107,厚生            ,428000,10000,0,1000,22000,30000,409000
2014/07/15,6197,佳必琪          ,442000,3000,0,0,0,41000,398000
2014/07/15,2406,國碩            ,531000,591000,0,0,545000,87000,398000
2014/07/15,01002T,國泰R1          ,389000,14000,0,0,0,0,375000
2014/07/15,2833,台壽保          ,58000,270000,0,0,650000,64000,374000
2014/07/15,2379,瑞昱            ,661118,292000,0,0,26000,43000,352118
2014/07/15,9921,巨大            ,493068,139000,0,0,0,6000,348068
2014/07/15,1701,中化            ,344000,0,0,0,0,0,344000
2014/07/15,0050,台灣50          ,390000,273000,0,0,2428000,2204000,341000
2014/07/15,2328,廣宇            ,357000,15000,0,0,0,2000,340000
2014/07/15,8112,至上            ,413000,15000,0,0,0,60000,338000
2014/07/15,2489,瑞軒            ,310000,31000,0,0,70000,21000,328000
2014/07/15,2520,冠德            ,442000,41000,0,108000,189000,155000,327000
2014/07/15,3443,創意            ,328000,31000,0,0,44000,15000,326000
2014/07/15,2538,基泰            ,369000,50000,0,5000,0,0,314000
2014/07/15,1102,亞泥            ,572570,274000,0,19000,35000,1000,313570
2014/07/15,1460,宏遠            ,321000,9000,0,0,0,0,312000
2014/07/15,4958,F-臻鼎          ,752000,419200,1000,106000,128000,52000,303800
2014/07/15,2101,南港            ,532000,284000,0,0,200000,147000,301000
2014/07/15,4999,鑫禾            ,34000,13000,285000,3000,8000,14000,297000
2014/07/15,1217,愛之味          ,309000,17000,0,0,0,0,292000
2014/07/15,1718,中纖            ,834000,281000,0,0,50000,312000,291000
2014/07/15,3045,台灣大          ,1526417,1210900,0,12000,0,20000,283517
2014/07/15,2201,裕隆            ,427215,128000,0,2000,0,14000,283215
2014/07/15,2332,友訊            ,108000,109000,0,0,324000,40000,283000
2014/07/15,3030,德律            ,292000,67000,0,0,63000,20000,268000
2014/07/15,3706,神達            ,66000,622000,0,0,937000,114000,267000
2014/07/15,2313,華通            ,576000,188000,0,151000,122000,99000,260000
2014/07/15,2006,東鋼            ,67000,8000,0,0,208000,8000,259000
2014/07/15,1723,中碳            ,430000,198000,0,18000,59000,20000,253000
2014/07/15,3557,嘉威            ,290000,25000,0,0,0,13000,252000
2014/07/15,2308,台達電          ,2114502,1818000,1000,17000,14000,47000,247502
2014/07/15,4930,燦星網          ,244000,0,0,0,0,0,244000
2014/07/15,2102,泰豐            ,254000,14000,0,0,0,0,240000
2014/07/15,6116,彩晶            ,219000,398000,1000000,0,795000,1376000,240000
2014/07/15,2855,統一證          ,360217,107000,0,0,0,14000,239217
2014/07/15,2367,燿華            ,261000,22000,0,0,0,0,239000
2014/07/15,4906,正文            ,199000,60000,0,0,100000,0,239000
2014/07/15,0056,高股息          ,0,0,0,0,237000,2000,235000
2014/07/15,3044,健鼎            ,520000,210000,0,0,128000,208000,230000
2014/07/15,1717,長興            ,179000,9000,0,0,70000,13000,227000
2014/07/15,1418,東華            ,228000,0,0,0,0,2000,226000
2014/07/15,9105,泰金寶          ,224000,0,0,0,0,0,224000
2014/07/15,5522,遠雄            ,579000,312000,0,1000,0,43000,223000
2014/07/15,1536,和大            ,516000,381000,0,1000,172000,86000,220000
2014/07/15,3026,禾伸堂          ,105000,8000,120000,0,0,1000,216000
2014/07/15,2362,藍天            ,244000,20000,0,1000,0,9000,214000
2014/07/15,1707,葡萄王          ,71000,170000,406000,1000,183000,276000,213000
2014/07/15,1710,東聯            ,292182,33000,0,0,22000,71000,210182
