年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/01/29,2409,友達            ,34940000,14648019,0,460000,1936000,3375000,4278000,2157000,20513981,19360004278000,33750002157000
2015/01/29,2303,聯電            ,42218000,16831888,3385000,780000,3720000,5951000,1451000,8787000,18424112,37200001451000,59510008787000
2015/01/29,0050,台灣50          ,11444000,232000,110000,0,0,112000,4870000,5309000,10771000,04870000,1120005309000
2015/01/29,2311,日月光          ,16087000,6368000,0,2000,161000,1000,346000,988000,9235000,161000346000,1000988000
2015/01/29,2353,宏??            ,4286000,2609939,0,0,562000,60000,4888000,101000,6965061,5620004888000,60000101000
2015/01/29,00634R,上証反          ,0,0,0,0,110000,120000,14436000,8538000,5888000,11000014436000,1200008538000
2015/01/29,2368,金像電          ,2982000,1129000,0,88000,3000,40000,2620000,348000,4000000,30002620000,40000348000
2015/01/29,2325,矽品            ,11508000,6687376,763000,750000,256000,1080000,281000,550000,3740624,256000281000,1080000550000
2015/01/29,9904,寶成            ,6905000,3269000,35000,1000,20000,10000,33000,152000,3561000,2000033000,10000152000
2015/01/29,4904,遠傳            ,2616000,434200,600000,0,76000,0,4000,17000,2844800,760004000,017000
2015/01/29,3682,亞太電          ,2903000,548000,0,0,11000,0,194000,72000,2488000,11000194000,072000
2015/01/29,2823,中壽            ,5715000,2861913,0,0,2000,850000,78000,73000,2010087,200078000,85000073000
2015/01/29,1301,台塑            ,4000000,2379000,33000,56000,25000,178000,1000,46000,1400000,250001000,17800046000
2015/01/29,2393,億光            ,2982000,1683800,220000,12000,39000,425000,169000,39000,1250200,39000169000,42500039000
2015/01/29,9136,巨騰            ,255000,21000,0,0,0,0,922000,38000,1118000,0922000,038000
2015/01/29,1216,統一            ,5363500,4183740,84000,0,6000,1000,2000,168000,1102760,60002000,1000168000
2015/01/29,2881,富邦金          ,8115000,6810232,0,200000,49000,162000,303000,298000,996768,49000303000,162000298000
2015/01/29,2308,台達電          ,4391000,2670507,0,338000,109000,287000,61000,280000,985493,10900061000,287000280000
2015/01/29,1736,喬山            ,772000,91000,0,0,67000,0,347000,212000,883000,67000347000,0212000
2015/01/29,6166,凌華            ,775000,158000,80000,0,32000,0,122000,14000,837000,32000122000,014000
2015/01/29,1710,東聯            ,758000,171000,333000,0,8000,82000,40000,91000,795000,800040000,8200091000
2015/01/29,2615,萬海            ,3730000,1078000,753000,2359000,95000,265000,45000,142000,779000,9500045000,265000142000
2015/01/29,2449,京元電          ,2975000,1930000,0,690000,358000,0,39000,0,752000,35800039000,00
2015/01/29,2206,三陽            ,258000,151000,0,0,6000,0,710000,90000,733000,6000710000,090000
2015/01/29,3045,台灣大          ,2447000,1737000,0,0,22000,2000,2000,39000,693000,220002000,200039000
2015/01/29,3017,奇鋐            ,783000,65000,0,0,3000,0,18000,54000,685000,300018000,054000
2015/01/29,1312,國喬            ,359000,305000,0,0,106000,111000,759000,162000,646000,106000759000,111000162000
2015/01/29,3673,F-TPK           ,1131000,239000,11000,88000,89000,111000,69000,251000,611000,8900069000,111000251000
2015/01/29,2520,冠德            ,322000,138000,0,0,4000,2000,474000,53000,607000,4000474000,200053000
2015/01/29,2456,奇力新          ,671000,220000,86000,20000,216000,132000,0,0,601000,2160000,1320000
2015/01/29,2392,正崴            ,447000,301000,514000,0,3000,140000,85000,48000,560000,300085000,14000048000
2015/01/29,1215,卜蜂            ,57000,17000,490000,40000,52000,5000,0,0,537000,520000,50000
2015/01/29,3044,健鼎            ,934000,217800,0,0,3000,0,6000,238000,487200,30006000,0238000
2015/01/29,3702,大聯大          ,2374000,1763000,0,0,50000,152000,15000,39000,485000,5000015000,15200039000
2015/01/29,1210,大成            ,323000,290000,660000,0,6000,200000,157000,214000,442000,6000157000,200000214000
2015/01/29,2439,美律            ,709000,179000,0,82500,7000,3000,19000,31000,439500,700019000,300031000
2015/01/29,2886,兆豐金          ,7366320,6668273,200000,350000,43000,15000,0,138000,438047,430000,15000138000
2015/01/29,2349,錸德            ,612000,205000,0,0,19000,0,0,0,426000,190000,00
2015/01/29,2455,全新            ,439000,34000,0,0,20000,0,0,0,425000,200000,00
2015/01/29,2327,國巨            ,731000,1316000,841000,0,89000,40000,199000,85000,419000,89000199000,4000085000
2015/01/29,5522,遠雄            ,497000,82000,0,0,3000,0,0,0,418000,30000,00
