年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/05/15,2885,元大金          ,20866000,7036344,0,637000,0,1993000,4962000,2303020,13858636,04962000,19930002303020
2015/05/15,3231,緯創            ,12214000,2868716,500000,20000,110000,72000,1187000,257000,10793284,1100001187000,72000257000
2015/05/15,3481,群創            ,14222950,6179060,1436000,6000,218000,323000,1908000,2265000,9011890,2180001908000,3230002265000
2015/05/15,1216,統一            ,11151000,3249860,424000,36000,134000,220000,214000,775000,7642140,134000214000,220000775000
2015/05/15,2886,兆豐金          ,13615000,4539300,89000,1065000,128000,209000,67000,714000,7371700,12800067000,209000714000
2015/05/15,2882,國泰金          ,10666412,3538736,27000,26000,579000,1235000,1428000,1415000,6485676,5790001428000,12350001415000
2015/05/15,1718,中纖            ,3376000,449000,0,0,0,6000,3669000,369000,6221000,03669000,6000369000
2015/05/15,2347,聯強            ,5051000,785700,0,9000,64000,43000,10000,0,4287300,6400010000,430000
2015/05/15,6285,啟??            ,3752000,158000,117000,217000,236000,139000,356000,33000,3914000,236000356000,13900033000
2015/05/15,00635U,元黃金          ,29000,0,0,0,0,0,3586000,333000,3282000,03586000,0333000
2015/05/15,2409,友達            ,9670688,3976870,0,6000,0,275000,160000,2595000,2977818,0160000,2750002595000
2015/05/15,1402,遠東新          ,2832000,1573360,1697000,2000,342000,225000,40000,181000,2929640,34200040000,225000181000
2015/05/15,1310,台苯            ,529000,645000,0,0,3033000,8000,0,0,2909000,30330000,80000
2015/05/15,2325,矽品            ,5185000,2186440,0,23000,41000,183000,212000,150000,2895560,41000212000,183000150000
2015/05/15,6239,力成            ,3121000,935530,160000,0,353000,56000,87000,323000,2406470,35300087000,56000323000
2015/05/15,1536,和大            ,1042050,233000,550000,0,227000,424000,1238000,216000,2184050,2270001238000,424000216000
2015/05/15,2382,廣達            ,5325000,3390651,267000,0,0,61000,109000,101000,2148349,0109000,61000101000
2015/05/15,8046,南電            ,1989000,132000,0,0,55000,208000,188000,33000,1859000,55000188000,20800033000
2015/05/15,3450,聯鈞            ,1200650,71000,671000,0,153000,245000,188000,104000,1792650,153000188000,245000104000
