年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2014/02/18,2311,日月光          ,16338000,5003159,1951000,0,2371000,805000,14851841
2014/02/18,2330,台積電          ,18718000,6280402,1190000,239000,99000,208000,13279598
2014/02/18,0050,台灣50          ,7766000,1079000,0,0,4345000,2052000,8980000
2014/02/18,2884,玉山金          ,14002000,5756320,0,319000,9000,136000,7799680
2014/02/18,2891,中信金          ,8881000,2054216,0,213000,855000,372000,7096784
2014/02/18,3035,智原            ,2259000,498000,3078000,0,1587000,191000,6235000
2014/02/18,2882,國泰金          ,6794000,1080100,0,1472000,633000,300227,4574673
2014/02/18,2356,英業達          ,4904000,258000,0,50000,126000,184000,4538000
2014/02/18,2542,興富發          ,4263000,6000,0,0,8000,0,4265000
2014/02/18,2881,富邦金          ,6047000,791848,0,972000,269000,543000,4009152
2014/02/18,2317,鴻海            ,7549146,3076790,0,96000,242000,638200,3980156
2014/02/18,2448,晶電            ,3884052,159000,345000,590000,344000,287000,3537052
2014/02/18,2892,第一金          ,2934000,879331,0,4000,1432000,126000,3356669
2014/02/18,2888,新光金          ,6570000,3547084,0,7000,393000,111662,3297254
2014/02/18,2002,中鋼            ,5259000,2150020,0,0,18000,91000,3035980
2014/02/18,5880,合庫金          ,3141000,535910,0,5000,131000,104000,2627090
2014/02/18,2325,矽品            ,2679000,1007850,700000,0,181000,169000,2383150
2014/02/18,1303,南亞            ,3177000,774300,0,30000,50000,49000,2373700
2014/02/18,3576,新日光          ,3123000,86000,0,1067000,504000,175000,2299000
2014/02/18,2353,宏??            ,2317000,157000,0,0,259000,134000,2285000
2014/02/18,2409,友達            ,6156000,3266630,0,1000,154000,923000,2119370
2014/02/18,2301,光寶科          ,2594170,1310610,0,0,808000,61000,2030560
2014/02/18,2885,元大金          ,6260000,4110000,0,246000,97000,54000,1947000
2014/02/18,3041,揚智            ,605000,59000,0,0,1354000,0,1900000
2014/02/18,3034,聯詠            ,3230190,1378000,614000,490000,128000,205000,1899190
2014/02/18,2883,開發金          ,7077000,4209778,0,11000,606000,1612000,1850222
2014/02/18,3545,敦泰            ,594000,55000,984000,0,226000,0,1749000
2014/02/18,2357,華碩            ,2127000,456000,119000,18000,174000,265000,1681000
2014/02/18,1216,統一            ,9036200,8766000,0,0,1855000,468000,1657200
2014/02/18,2436,偉詮電          ,209000,243000,1350000,0,316000,26000,1606000
2014/02/18,2880,華南金          ,1686000,145000,0,5000,0,234,1535766
2014/02/18,6282,康舒            ,1064000,65000,0,0,663000,164000,1498000
2014/02/18,2887,台新金          ,2236000,1323224,124000,0,1021000,608896,1448880
2014/02/18,6202,盛群            ,488000,211000,377000,0,839000,60000,1433000
2014/02/18,3231,緯創            ,1771000,201000,0,0,136000,323000,1383000
