年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/10/20,2330,台積電          ,25793504,11650661,646000,0,0,47000,140000,471000,14410843,0140000,47000471000
2015/10/20,2352,佳世達          ,6773000,679000,0,0,27000,300000,3648000,227000,9242000,270003648000,300000227000
2015/10/20,2002,中鋼            ,15545600,7616936,0,0,0,50000,0,202000,7676664,00,50000202000
2015/10/20,2881,富邦金          ,15971000,8431810,204000,98000,0,12000,189000,638000,7184190,0189000,12000638000
2015/10/20,2412,中華電          ,9433000,2320457,0,310000,70000,40000,12000,11000,6833543,7000012000,4000011000
2015/10/20,3481,群創            ,21052200,15877000,0,0,646000,60000,729000,763000,5727200,646000729000,60000763000
2015/10/20,2884,玉山金          ,10282000,4679000,200000,232000,0,0,58000,36000,5593000,058000,036000
2015/10/20,2882,國泰金          ,10737000,5350000,106000,26000,0,50000,131000,484000,5064000,0131000,50000484000
2015/10/20,2345,智邦            ,2867000,108000,259000,0,1377000,250000,0,0,4145000,13770000,2500000
2015/10/20,2311,日月光          ,9524000,6974000,1207000,231000,655000,21000,201000,227000,4134000,655000201000,21000227000
2015/10/20,9945,潤泰新          ,3275242,447000,0,0,90000,212000,749000,42000,3413242,90000749000,21200042000
2015/10/20,2887,台新金          ,9282000,4985725,0,1044201,200000,122000,37000,0,3367074,20000037000,1220000
2015/10/20,3514,昱晶            ,1688000,831782,1233000,0,2113000,970000,0,0,3232218,21130000,9700000
2015/10/20,2610,華航            ,5718000,2165445,0,0,0,295000,117000,203000,3171555,0117000,295000203000
2015/10/20,2888,新光金          ,11622040,8238000,0,0,0,0,0,308000,3076040,00,0308000
2015/10/20,2801,彰銀            ,4041000,1099000,0,0,0,78000,25000,15000,2874000,025000,7800015000
2015/10/20,2344,華邦電          ,3946000,1082000,0,0,64000,0,273000,360000,2841000,64000273000,0360000
2015/10/20,5880,合庫金          ,4725000,1976486,0,0,81000,50000,10000,0,2789514,8100010000,500000
2015/10/20,1303,南亞            ,4149000,1711000,352000,0,0,20000,44000,60000,2754000,044000,2000060000
2015/10/20,2376,技嘉            ,2935000,316000,0,0,61000,56000,151000,30000,2745000,61000151000,5600030000
2015/10/20,2823,中壽            ,4110000,1463679,0,0,0,63000,158000,81000,2660321,0158000,6300081000
2015/10/20,2401,凌陽            ,1959000,91000,0,0,106000,0,622000,42000,2554000,106000622000,042000
2015/10/20,6239,力成            ,3119400,1134446,0,0,16000,0,609000,93000,2516954,16000609000,093000
2015/10/20,2325,矽品            ,9283400,6785641,0,0,10000,108000,84000,116000,2367759,1000084000,108000116000
2015/10/20,2892,第一金          ,6953000,2911956,0,1600000,0,100000,55000,116000,2280044,055000,100000116000
2015/10/20,2303,聯電            ,21355800,19967000,600000,0,378000,0,125000,242000,2249800,378000125000,0242000
2015/10/20,1326,台化            ,4665000,2637824,65000,0,0,0,28000,17000,2103176,028000,017000
2015/10/20,2317,鴻海            ,16057302,13852000,0,177000,23000,189000,263000,40000,2085302,23000263000,18900040000
2015/10/20,2356,英業達          ,4158500,1622413,0,0,0,0,126000,587000,2075087,0126000,0587000
2015/10/20,2603,長榮            ,1975000,1152290,980000,0,33000,0,27000,17000,1845710,3300027000,017000
2015/10/20,4935,F-茂林          ,1647000,330000,700000,0,47000,225000,0,0,1839000,470000,2250000
2015/10/20,2547,日勝生          ,1841000,73000,0,0,2000,8000,10000,10000,1762000,200010000,800010000
