年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/07/17,2330,台積電          ,41110800,18237684,1078000,92000,140000,1539000,86000,1459000,21087116,14000086000,15390001459000
2015/07/17,2892,第一金          ,8878000,3334000,82000,0,0,0,617000,65000,6178000,0617000,065000
2015/07/17,2515,中工            ,5691700,496000,85000,0,0,0,407000,96000,5591700,0407000,096000
2015/07/17,2882,國泰金          ,10021186,4947000,767000,216000,60000,700000,311000,259000,5037186,60000311000,700000259000
2015/07/17,2324,仁寶            ,11972000,7140846,37000,0,0,27000,549000,711000,4679154,0549000,27000711000
2015/07/17,2325,矽品            ,13087000,9807586,48000,174000,1639000,0,363000,856000,4299414,1639000363000,0856000
2015/07/17,1216,統一            ,5642941,2475176,205000,0,110000,0,180000,19000,3643765,110000180000,019000
2015/07/17,006205,FB上証          ,11000,270000,0,0,207000,735000,8511000,4211000,3513000,2070008511000,7350004211000
2015/07/17,0061,寶滬深          ,0,42000,0,0,120000,1060000,7438000,3008000,3448000,1200007438000,10600003008000
2015/07/17,00637L,滬深2X          ,0,0,0,0,50000,0,32806000,29419000,3437000,5000032806000,029419000
2015/07/17,2881,富邦金          ,5864000,2983444,404000,205000,200000,204000,365000,511000,2929556,200000365000,204000511000
2015/07/17,2610,華航            ,5542000,4592000,2296000,68000,290000,807000,0,0,2661000,2900000,8070000
2015/07/17,2317,鴻海            ,11420380,9757937,561000,70020,190000,140000,503000,245000,2461423,190000503000,140000245000
2015/07/17,4938,和碩            ,4057500,3594734,2344000,0,188000,2000,96000,1002000,2086766,18800096000,20001002000
2015/07/17,6505,台塑化          ,3409697,1733000,67000,74000,20000,0,0,0,1689697,200000,00
2015/07/17,2312,金寶            ,1771000,266000,62000,0,0,0,59000,13000,1613000,059000,013000
2015/07/17,2823,中壽            ,3625299,2527000,627000,10000,170000,0,183000,457000,1611299,170000183000,0457000
2015/07/17,2313,華通            ,1662252,464000,723000,107000,401000,0,204000,838000,1581252,401000204000,0838000
2015/07/17,1312,國喬            ,3009954,1285000,0,316000,142000,75000,101000,69000,1507954,142000101000,7500069000
2015/07/17,3576,新日光          ,1242000,238000,750000,12000,25000,0,209000,611000,1365000,25000209000,0611000
2015/07/17,1455,集盛            ,816139,209000,1012000,0,0,401000,159000,16000,1361139,0159000,40100016000
2015/07/17,2311,日月光          ,12423000,9118800,57000,374000,243000,75000,542000,2360000,1337200,243000542000,750002360000
2015/07/17,2323,中環            ,1772000,470000,0,0,0,0,0,0,1302000,00,00
2015/07/17,6176,瑞儀            ,3278000,1967400,128000,0,0,72000,38000,120000,1284600,038000,72000120000
2015/07/17,3034,聯詠            ,2360000,1007646,14000,75000,2000,24000,191000,194000,1266354,2000191000,24000194000
2015/07/17,6269,台郡            ,673387,475000,59000,85000,1107000,210000,395000,217000,1247387,1107000395000,210000217000
2015/07/17,2474,可成            ,1515000,264800,5000,250000,229000,16000,89000,186000,1121200,22900089000,16000186000
2015/07/17,9910,豐泰            ,1829506,824000,115000,7000,35000,31000,10000,12000,1115506,3500010000,3100012000
2015/07/17,2485,兆赫            ,1282000,316000,434000,0,61000,104000,306000,548000,1115000,61000306000,104000548000
2015/07/17,01003T,新光R1          ,1095000,0,0,0,0,0,0,0,1095000,00,00
2015/07/17,3694,海華            ,1349000,262000,0,0,0,0,0,0,1087000,00,00
2015/07/17,4958,F-臻鼎          ,2421000,1087200,150000,99000,0,70000,40000,303000,1051800,040000,70000303000
2015/07/17,1704,榮化            ,765000,201000,0,0,180000,18000,341000,35000,1032000,180000341000,1800035000
2015/07/17,3035,智原            ,1129000,135000,0,20000,50000,0,133000,141000,1016000,50000133000,0141000
2015/07/17,1326,台化            ,2319000,1271000,37000,90000,0,0,1000,0,996000,01000,00
2015/07/17,2547,日勝生          ,1176000,226000,0,0,0,0,3000,0,953000,03000,00
2015/07/17,00636,CFA50           ,30000,0,0,0,281000,0,8929000,8290000,950000,2810008929000,08290000
2015/07/17,2833,台壽保          ,1139000,123000,28000,62000,0,0,3000,38000,947000,03000,038000
2015/07/17,1504,東元            ,2940000,2097000,20000,0,0,0,95000,63000,895000,095000,063000
2015/07/17,5871,F-中租          ,1436000,624000,8000,0,0,3000,38000,15000,840000,038000,300015000
2015/07/17,1337,F-再生          ,907000,76000,0,0,0,0,0,0,831000,00,00
2015/07/17,3533,嘉澤            ,572000,19000,105000,0,15000,8000,118000,19000,764000,15000118000,800019000
2015/07/17,9943,好樂迪          ,619000,26000,48000,0,79000,22000,93000,36000,755000,7900093000,2200036000
2015/07/17,3042,晶技            ,882000,135000,6000,0,0,0,2000,4000,751000,02000,04000
2015/07/17,2371,大同            ,1178000,528000,0,0,0,0,0,0,650000,00,00
2015/07/17,1314,中石化          ,1161000,564000,49000,0,0,0,2000,0,648000,02000,00
2015/07/17,5880,合庫金          ,1782000,1421000,114000,0,20000,100000,206000,0,601000,20000206000,1000000
2015/07/17,006206,元上證          ,0,300000,0,0,150000,359000,4602000,3498000,595000,1500004602000,3590003498000
2015/07/17,3376,新日興          ,795455,167200,0,42000,0,0,21000,40000,567255,021000,040000
2015/07/17,1402,遠東新          ,1522000,1037000,43000,10000,60000,0,0,15000,563000,600000,015000
2015/07/17,1707,葡萄王          ,970000,291200,0,18000,27000,7000,37000,205000,512800,2700037000,7000205000
2015/07/17,6239,力成            ,1757226,716000,7000,537000,45000,82000,180000,162000,492226,45000180000,82000162000
2015/07/17,6286,立錡            ,468000,262000,0,23000,111000,28000,251000,37000,480000,111000251000,2800037000
2015/07/17,00633L,上証2X          ,100000,1203000,0,0,18000,280000,17343000,15500000,478000,1800017343000,28000015500000
2015/07/17,3023,信邦            ,416000,91794,132000,0,0,0,47000,30000,473206,047000,030000
2015/07/17,4915,致伸            ,720000,220000,8000,0,0,0,188000,255000,441000,0188000,0255000
2015/07/17,2367,燿華            ,620000,149000,151000,0,0,0,10000,193000,439000,010000,0193000
2015/07/17,1301,台塑            ,1689000,1136000,112000,252000,0,0,2000,0,415000,02000,00
2015/07/17,00631L,T50正2          ,0,0,0,0,1000,0,518000,120000,399000,1000518000,0120000
2015/07/17,2891,中信金          ,4418006,7328943,3331000,129000,0,41000,339000,196000,393063,0339000,41000196000
2015/07/17,1310,台苯            ,633004,287000,32000,0,0,0,0,0,378004,00,00
2015/07/17,3702,大聯大          ,1283000,1349000,94000,0,319000,0,24000,0,371000,31900024000,00
2015/07/17,2412,中華電          ,1999000,1457000,50000,0,76000,12000,7000,308000,355000,760007000,12000308000
2015/07/17,3005,神基            ,1116850,432000,0,41000,0,0,24000,337000,330850,024000,0337000
2015/07/17,5264,F-鎧勝          ,605000,310333,3000,2000,27000,0,20000,15000,327667,2700020000,015000
2015/07/17,2340,光磊            ,141000,143000,22000,0,281000,2000,20000,0,319000,28100020000,20000
2015/07/17,9924,福興            ,52000,51000,377000,19000,20000,0,0,70000,309000,200000,070000
2015/07/17,1227,佳格            ,785000,475005,13000,2000,31000,43000,0,0,308995,310000,430000
2015/07/17,1460,宏遠            ,384000,75000,0,0,0,0,10000,14000,305000,010000,014000
2015/07/17,1708,東鹼            ,388000,77000,0,7000,0,0,0,0,304000,00,00
2015/07/17,2439,美律            ,433000,175000,2000,0,0,0,39000,21000,278000,039000,021000
2015/07/17,3060,銘異            ,341000,113000,0,0,36000,6000,0,0,258000,360000,60000
2015/07/17,2108,南帝            ,232000,248000,75000,0,0,0,249000,52000,256000,0249000,052000
2015/07/17,9945,潤泰新          ,1272000,913000,0,42000,0,53000,25000,40000,249000,025000,5300040000
2015/07/17,9914,美利達          ,171000,91000,205000,7000,11000,48000,5000,0,246000,110005000,480000
2015/07/17,2488,漢平            ,1000,69000,100000,0,200000,1000,0,0,231000,2000000,10000
2015/07/17,2406,國碩            ,457138,146000,8000,0,1000,60000,93000,128000,225138,100093000,60000128000
2015/07/17,6153,嘉聯益          ,327000,105000,12000,0,0,8000,48000,53000,221000,048000,800053000
2015/07/17,2308,台達電          ,1739700,1637721,0,0,135000,31000,17000,4000,218979,13500017000,310004000
2015/07/17,3017,奇鋐            ,289222,112000,70000,0,0,0,46000,91000,202222,046000,091000
2015/07/17,4119,旭富            ,273030,203000,99000,11000,60000,23000,0,0,195030,600000,230000
2015/07/17,1711,永光            ,283000,73000,14000,0,0,0,0,30000,194000,00,030000
2015/07/17,1217,愛之味          ,238000,50000,0,0,0,0,0,0,188000,00,00
2015/07/17,2302,麗正            ,195000,8000,0,0,0,0,0,0,187000,00,00
2015/07/17,8039,台虹            ,239000,97000,44000,0,0,0,30000,33000,183000,030000,033000
2015/07/17,3266,昇陽            ,212000,29000,0,0,0,0,0,0,183000,00,00
2015/07/17,2534,宏盛            ,98000,93000,158000,0,23000,15000,11000,0,182000,2300011000,150000
2015/07/17,2499,東貝            ,321000,147000,123000,100000,0,0,0,31000,166000,00,031000
2015/07/17,5388,中磊            ,363000,315000,94000,0,163000,151000,121000,112000,163000,163000121000,151000112000
2015/07/17,3036,文曄            ,352000,190858,0,2000,0,0,1000,0,160142,01000,00
2015/07/17,4960,奇美材          ,942000,790000,44000,0,0,8000,1000,32000,157000,01000,800032000
2015/07/17,1701,中化            ,143000,39000,53000,0,0,0,0,0,157000,00,00
2015/07/17,2354,鴻準            ,797924,514736,0,30000,79000,76000,20000,124000,152188,7900020000,76000124000
2015/07/17,1712,興農            ,191000,60000,15000,0,3000,0,0,0,149000,30000,00
2015/07/17,1477,聚陽            ,350000,101063,1000,7000,10000,93000,25000,43000,141937,1000025000,9300043000
2015/07/17,2402,毅嘉            ,225000,106000,10000,0,6000,0,0,0,135000,60000,00
2015/07/17,1714,和桐            ,307000,150000,0,25000,0,0,0,0,132000,00,00
2015/07/17,2915,潤泰全          ,1236348,1068000,0,38000,33000,51000,14000,0,126348,3300014000,510000
2015/07/17,0055,寶金融          ,0,0,150000,0,0,0,0,25000,125000,00,025000
2015/07/17,6271,同欣電          ,1000,81000,4000,0,164000,0,48000,14000,122000,16400048000,014000
2015/07/17,2538,基泰            ,268000,100000,0,13000,0,0,108000,141000,122000,0108000,0141000
2015/07/17,2101,南港            ,209000,125000,21000,0,0,0,14000,0,119000,014000,00
2015/07/17,3003,健和興          ,5000,45000,151000,0,7000,0,0,0,118000,70000,00
2015/07/17,2505,國揚            ,157000,105000,73000,0,3000,11000,0,0,117000,30000,110000
2015/07/17,1305,華夏            ,124000,231000,224000,0,0,0,0,0,117000,00,00
2015/07/17,4906,正文            ,53000,47000,106000,0,0,0,0,0,112000,00,00
2015/07/17,3703,欣陸            ,182000,132000,80000,0,0,20000,0,0,110000,00,200000
2015/07/17,2228,劍麟            ,95000,13000,33000,0,14000,0,0,22000,107000,140000,022000
2015/07/17,9106,新焦點          ,116000,9000,0,0,0,0,0,0,107000,00,00
2015/07/17,2404,漢唐            ,212000,90000,0,14000,0,2000,0,0,106000,00,20000
2015/07/17,2395,研華            ,550000,429000,23000,40000,3000,2000,0,0,105000,30000,20000
2015/07/17,2542,興富發          ,388000,286000,0,2000,0,0,4000,0,104000,04000,00
2015/07/17,2601,益航            ,48000,45000,100000,0,0,0,0,0,103000,00,00
2015/07/17,2867,三商壽          ,465000,347000,45000,18000,0,50000,5000,0,100000,05000,500000
2015/07/17,913889,大成糖          ,98000,0,0,0,0,0,0,0,98000,00,00
2015/07/17,2607,榮運            ,255000,172000,13000,0,0,0,0,0,96000,00,00
2015/07/17,2329,華泰            ,270000,203000,26000,0,0,0,0,0,93000,00,00
2015/07/17,8011,台通            ,99000,9000,0,0,0,0,0,0,90000,00,00
2015/07/17,3149,正達            ,135000,70000,25000,0,1000,1000,0,0,90000,10000,10000
2015/07/17,2498,宏達電          ,909000,878000,16000,0,0,0,144000,102000,89000,0144000,0102000
2015/07/17,3454,晶睿            ,110000,31000,0,0,9000,0,0,0,88000,90000,00
2015/07/17,3686,達能            ,132000,45000,0,0,0,0,0,0,87000,00,00
2015/07/17,2841,台開            ,237000,150000,0,0,0,0,0,0,87000,00,00
2015/07/17,6409,旭隼            ,106000,31000,8000,5000,0,3000,10000,1000,84000,010000,30001000
2015/07/17,2231,為升            ,76000,11000,27000,2000,0,4000,1000,4000,83000,01000,40004000
2015/07/17,1307,三芳            ,167000,78000,0,10000,0,2000,5000,0,82000,05000,20000
2015/07/17,3617,碩天            ,53000,16000,43000,0,0,0,0,0,80000,00,00
2015/07/17,1507,永大            ,128000,66000,10000,0,6000,0,0,0,78000,60000,00
2015/07/17,1907,永豐餘          ,267000,217000,24000,0,0,0,0,0,74000,00,00
2015/07/17,1304,台聚            ,303000,262000,32000,0,0,0,0,0,73000,00,00
2015/07/17,1532,勤美            ,172000,175000,76000,0,0,0,0,0,73000,00,00
2015/07/17,4137,F-麗豐          ,314101,440000,280000,0,20000,0,65000,167000,72101,2000065000,0167000
2015/07/17,1319,東陽            ,190000,149000,13000,0,21000,0,44000,47000,72000,2100044000,047000
2015/07/17,1444,力麗            ,166000,136000,42000,0,2000,4000,0,0,70000,20000,40000
2015/07/17,2031,新光鋼          ,10000,33000,91000,0,0,0,0,0,68000,00,00
2015/07/17,1710,東聯            ,614000,404000,32000,0,0,174000,0,0,68000,00,1740000
2015/07/17,9925,新保            ,116000,42000,10000,16000,0,0,0,0,68000,00,00
2015/07/17,3545,敦泰            ,186000,143000,0,23000,44000,0,42000,39000,67000,4400042000,039000
2015/07/17,1447,力鵬            ,96000,126000,88000,0,3000,3000,8000,0,66000,30008000,30000
2015/07/17,01002T,國泰R1          ,85000,21000,0,0,0,0,0,0,64000,00,00
2015/07/17,3062,建漢            ,28000,87000,123000,0,0,0,0,2000,62000,00,02000
2015/07/17,3622,洋華            ,97000,37000,0,0,1000,0,0,0,61000,10000,00
2015/07/17,1442,名軒            ,6000,22000,76000,0,0,0,0,0,60000,00,00
2015/07/17,2431,聯昌            ,101000,41000,0,0,0,0,0,0,60000,00,00
2015/07/17,2006,東鋼            ,154000,117000,23000,0,0,0,0,0,60000,00,00
2015/07/17,9802,F-鈺齊          ,288000,211000,0,0,1000,7000,20000,32000,59000,100020000,700032000
2015/07/17,1558,伸興            ,57000,20000,10000,0,0,0,13000,2000,58000,013000,02000
2015/07/17,2912,統一超          ,329000,319000,48000,0,0,0,0,0,58000,00,00
2015/07/17,1229,聯華            ,175000,146000,28000,0,0,0,0,0,57000,00,00
2015/07/17,1525,江申            ,3000,26000,80000,0,0,0,0,0,57000,00,00
2015/07/17,2731,雄獅            ,100000,70000,14000,0,14000,2000,63000,63000,56000,1400063000,200063000
2015/07/17,00635U,元黃金          ,0,0,0,0,0,0,118000,65000,53000,0118000,065000
2015/07/17,4306,炎洲            ,104000,85000,27000,0,6000,0,0,0,52000,60000,00
2015/07/17,6415,F-矽力          ,76000,22000,0,0,0,2000,1000,2000,51000,01000,20002000
2015/07/17,2457,飛宏            ,74000,24000,0,0,1000,1000,0,0,50000,10000,10000
2015/07/17,3383,新世紀          ,88000,47000,7000,0,1000,0,0,0,49000,10000,00
2015/07/17,5288,F-豐祥          ,9000,22000,60000,0,0,0,0,0,47000,00,00
2015/07/17,1734,杏輝            ,59000,19000,6000,0,1000,0,0,0,47000,10000,00
2015/07/17,6451,F-訊芯          ,19000,19200,36000,0,0,0,12000,1000,46800,012000,01000
2015/07/17,8429,F-金麗          ,81000,40000,0,0,4000,1000,0,0,44000,40000,10000
2015/07/17,1338,F-廣華          ,10000,101000,150000,0,0,14000,1000,2000,44000,01000,140002000
2015/07/17,4142,國光生          ,52000,19000,16000,0,0,5000,0,0,44000,00,50000
2015/07/17,6166,凌華            ,211000,143000,0,9000,0,0,12000,28000,43000,012000,028000
2015/07/17,1762,中化生          ,48000,7000,0,0,0,0,0,0,41000,00,00
2015/07/17,2316,楠梓電          ,221396,207000,9000,0,53000,0,9000,45000,40396,530009000,045000
2015/07/17,2106,建大            ,108000,146000,18000,0,42000,2000,20000,0,40000,4200020000,20000
2015/07/17,1730,花仙子          ,43000,3000,0,0,0,0,0,0,40000,00,00
2015/07/17,2816,旺旺保          ,6000,18000,50000,0,0,0,0,0,38000,00,00
2015/07/17,2481,強茂            ,47000,36000,27000,0,0,0,0,0,38000,00,00
2015/07/17,3561,昇陽科          ,202000,118000,19000,0,0,0,0,65000,38000,00,065000
2015/07/17,3130,一零四          ,51000,11000,0,3000,0,0,0,0,37000,00,00
2015/07/17,9917,中保            ,83000,176000,25000,30000,134000,0,0,0,36000,1340000,00
2015/07/17,1902,台紙            ,44000,34000,26000,0,0,0,0,0,36000,00,00
2015/07/17,9940,信義            ,85000,78000,28000,0,0,0,0,0,35000,00,00
2015/07/17,2342,茂矽            ,35000,0,0,0,0,0,0,0,35000,00,00
2015/07/17,2105,正新            ,362000,1447524,20000,40000,1130000,0,9000,0,33476,11300009000,00
2015/07/17,6177,達麗            ,39000,23000,16000,0,1000,0,0,0,33000,10000,00
2015/07/17,2535,達欣工          ,5000,20000,48000,0,0,0,0,0,33000,00,00
2015/07/17,1720,生達            ,67000,25000,0,10000,0,0,0,0,32000,00,00
2015/07/17,910861,神州            ,34000,2000,0,0,0,0,0,0,32000,00,00
2015/07/17,2433,互盛電          ,2000,16000,47000,0,0,1000,0,0,32000,00,10000
2015/07/17,2425,承啟            ,34000,4000,0,0,1000,0,0,0,31000,10000,00
2015/07/17,3164,景岳            ,42000,11000,0,0,0,0,0,0,31000,00,00
2015/07/17,8070,長華            ,47366,32000,19000,4000,0,0,0,0,30366,00,00
2015/07/17,2809,京城銀          ,305000,367000,83000,0,4000,0,5000,0,30000,40005000,00
2015/07/17,9902,台火            ,34000,5000,0,0,0,0,0,0,29000,00,00
2015/07/17,2545,皇翔            ,96000,67000,0,0,0,0,0,0,29000,00,00
