年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2013/05/16,2303,聯電            ,36547000,7687000,7475000,0,16896000,4878000,48353000
2013/05/16,3481,群創            ,35968000,10374000,1336000,915000,5086000,2104000,28997000
2013/05/16,2883,開發金          ,26147700,12987000,0,0,22392200,6628000,28924900
2013/05/16,0050,台灣50          ,11961000,6421000,0,0,13435000,2219000,16756000
2013/05/16,2891,中信金          ,26558360,9304045,402000,429000,3057000,4676000,15608315
2013/05/16,2885,元大金          ,27785000,26923164,8605000,300000,4808000,3519000,10455836
2013/05/16,2409,友達            ,59203000,49955000,521000,1350000,3353000,1423000,10349000
2013/05/16,2881,富邦金          ,9676000,1145000,795000,0,2698000,1797000,10227000
2013/05/16,2882,國泰金          ,9758550,2952000,489000,0,3779000,1010000,10064550
2013/05/16,2884,玉山金          ,13591000,5537900,448000,0,1069000,100000,9470100
2013/05/16,4938,和碩            ,16777000,8071866,437000,140000,469000,725000,8746134
2013/05/16,2886,兆豐金          ,12940725,5846000,0,0,1800000,731000,8163725
2013/05/16,5880,合庫金          ,6974000,846736,0,0,1021000,294000,6854264
2013/05/16,1605,華新            ,2826000,673000,0,0,4295000,1130000,5318000
2013/05/16,3045,台灣大          ,7202000,2354000,0,0,301000,129000,5020000
2013/05/16,2498,宏達電          ,4544000,577448,25000,110000,1221000,311000,4791552
2013/05/16,0055,寶金融          ,1513000,0,0,0,3256000,106000,4663000
2013/05/16,2892,第一金          ,4912000,678000,0,0,599000,193000,4640000
2013/05/16,1303,南亞            ,5298000,1377000,987000,0,364000,691000,4581000
2013/05/16,2356,英業達          ,3997000,1547000,0,0,2228000,106000,4572000
2013/05/16,2834,臺企銀          ,5364000,1169000,0,0,361000,0,4556000
2013/05/16,0061,寶滬深          ,2930000,1313000,0,0,6671000,3923000,4365000
2013/05/16,1722,台肥            ,4428000,644000,54000,0,382000,382000,3838000
2013/05/16,2382,廣達            ,5692000,1983000,7000,50000,368000,432000,3602000
2013/05/16,2448,晶電            ,5909000,2404000,0,0,460000,382000,3583000
2013/05/16,1326,台化            ,3103000,1290000,1353000,0,285000,203000,3248000
2013/05/16,2454,聯發科          ,3424000,643518,85000,120000,575000,232000,3088482
2013/05/16,1101,台泥            ,5132000,2592000,369000,0,331000,170000,3070000
2013/05/16,6239,力成            ,3886511,517000,0,199000,27000,192000,3005511
2013/05/16,2474,可成            ,3935000,742000,213000,0,168000,584000,2990000
2013/05/16,2315,神達            ,297000,6000,0,0,2890000,205000,2976000
2013/05/16,2610,華航            ,3487000,426000,0,0,320000,418000,2963000
2013/05/16,2002,中鋼            ,7556000,5043568,0,0,521000,115000,2918432
2013/05/16,2823,中壽            ,4760000,714000,160000,0,1030000,2346000,2890000
2013/05/16,2880,華南金          ,4365000,1777000,0,0,313000,44000,2857000
2013/05/16,4904,遠傳            ,3664000,872000,5000,0,268000,323000,2742000
2013/05/16,2412,中華電          ,3770100,779000,0,147600,100000,304000,2639500
2013/05/16,2308,台達電          ,4748000,2094000,10000,55000,43000,95000,2557000
2013/05/16,2062,橋椿            ,129000,50000,2155000,0,129000,0,2363000
2013/05/16,3576,新日光          ,2052000,111000,147000,0,1243000,992000,2339000
2013/05/16,1102,亞泥            ,2402000,168000,0,200000,171000,20000,2185000
2013/05/16,1402,遠東新          ,3307000,1206000,0,0,178000,127000,2152000
2013/05/16,3037,欣興            ,2184000,293000,0,0,372000,175000,2088000
2013/05/16,2393,億光            ,1401000,357000,110000,0,1008000,110000,2052000
2013/05/16,3514,昱晶            ,1760000,471000,0,232000,1606000,611000,2052000
2013/05/16,2327,國巨            ,2261000,739000,0,0,534000,63000,1993000
2013/05/16,6505,台塑化          ,2237000,540000,0,0,260000,0,1957000
2013/05/16,3702,大聯大          ,2502000,1457000,331000,0,633000,179000,1830000
2013/05/16,0056,高股息          ,864000,0,0,0,959000,25000,1798000
2013/05/16,1507,永大            ,2370000,797000,0,24000,133000,31000,1651000
2013/05/16,6269,台郡            ,275000,17000,485000,81000,1217000,324000,1555000
2013/05/16,2845,遠東銀          ,1506000,11000,0,0,46000,0,1541000
2013/05/16,2475,華映            ,2364000,835000,0,0,0,0,1529000
2013/05/16,1504,東元            ,3097000,1589000,0,0,110000,120000,1498000
2013/05/16,2809,京城銀          ,1217000,768000,0,0,1289000,347000,1391000
2013/05/16,1715,萬洲            ,1677000,308000,0,0,9000,0,1378000
2013/05/16,2801,彰銀            ,2421000,1512000,0,0,451000,19000,1341000
2013/05/16,2912,統一超          ,1433000,191000,0,18000,96000,13000,1307000
2013/05/16,3034,聯詠            ,2116000,1972000,691000,55000,611000,133000,1258000
2013/05/16,1476,儒鴻            ,1842324,173000,0,85000,154000,497000,1241324
2013/05/16,2501,國建            ,2113067,1099000,300000,115000,57000,69000,1187067
2013/05/16,3044,健鼎            ,1550000,336000,0,0,203000,231000,1186000
2013/05/16,2534,宏盛            ,561000,0,0,0,879000,289000,1151000
2013/05/16,1802,台玻            ,1334000,259000,0,0,61000,0,1136000
2013/05/16,2344,華邦電          ,2247000,405000,0,720000,0,0,1122000
2013/05/16,2913,農林            ,118000,30000,0,0,1141984,115000,1114984
2013/05/16,3189,景碩            ,1162000,180000,28000,40000,203000,149000,1024000
2013/05/16,2847,大眾銀          ,430000,56000,0,0,673000,35000,1012000
2013/05/16,2323,中環            ,1889611,1127000,0,0,257000,10000,1009611
2013/05/16,2379,瑞昱            ,1375000,416000,190000,50000,186000,280000,1005000
2013/05/16,4958,F-臻鼎          ,1307000,379000,0,9000,305000,257000,967000
2013/05/16,2345,智邦            ,971000,51000,0,0,5000,0,925000
2013/05/16,2354,鴻準            ,1315000,496000,0,0,108000,42000,885000
2013/05/16,1532,勤美            ,258163,97000,225000,0,770000,289000,867163
2013/05/16,2601,益航            ,859276,56000,0,0,58000,0,861276
2013/05/16,2006,東鋼            ,979000,167000,0,0,28000,0,840000
2013/05/16,8105,凌巨            ,857000,33000,0,0,3000,0,827000
2013/05/16,3406,玉晶光          ,883000,69000,0,0,66000,58000,822000
