年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/09/15,00637L,滬深2X          ,0,2000,0,0,0,90000,42075000,14948000,27035000,042075000,9000014948000
2015/09/15,00633L,上証2X          ,68000,7000,0,0,98000,150000,36207000,26834000,9382000,9800036207000,15000026834000
2015/09/15,2412,中華電          ,11210000,2049000,177000,250000,34000,0,142000,12000,9252000,34000142000,012000
2015/09/15,3474,華亞科          ,14587000,7615000,4000,1822000,1032000,485000,4305000,1633000,8373000,10320004305000,4850001633000
2015/09/15,2882,國泰金          ,14722000,8991579,15000,0,634000,362000,628000,267000,6378421,634000628000,362000267000
2015/09/15,2610,華航            ,10841000,3407000,5000,0,3000,146000,151000,1243000,6204000,3000151000,1460001243000
2015/09/15,2311,日月光          ,15742500,10199000,11000,168000,32000,8000,714000,297000,5827500,32000714000,8000297000
2015/09/15,2888,新光金          ,7962000,4163230,15000,0,10000,4000,389000,105688,4103082,10000389000,4000105688
2015/09/15,1402,遠東新          ,4843000,1358000,6000,0,101000,0,409000,16003,3984997,101000409000,016003
2015/09/15,2303,聯電            ,13647400,10209000,23000,0,0,0,394000,276000,3579400,0394000,0276000
2015/09/15,2886,兆豐金          ,7113000,4264039,18000,0,41000,0,114000,7000,3014961,41000114000,07000
2015/09/15,5880,合庫金          ,3974000,1259000,13000,0,90000,123000,212000,336,2906664,90000212000,123000336
2015/09/15,3231,緯創            ,4245000,1901848,4000,0,50000,240000,71000,108843,2119309,5000071000,240000108843
2015/09/15,3481,群創            ,12635000,9299110,16000,0,950000,100000,382000,2489000,2094890,950000382000,1000002489000
2015/09/15,4904,遠傳            ,3862000,1987000,3000,0,3000,3000,68000,0,1946000,300068000,30000
2015/09/15,2352,佳世達          ,971000,573000,0,0,22000,41000,1658000,121000,1916000,220001658000,41000121000
2015/09/15,2353,宏??            ,3525000,1487000,6000,0,0,2000,415000,593000,1864000,0415000,2000593000
2015/09/15,3702,大聯大          ,2927000,1324000,3000,0,32000,0,0,0,1638000,320000,00
2015/09/15,2449,京元電          ,1470000,621000,0,0,3000,4000,721000,29000,1540000,3000721000,400029000
2015/09/15,2867,三商壽          ,1461000,38000,0,0,0,0,0,14700,1408300,00,014700
2015/09/15,2801,彰銀            ,5387000,4081075,9000,0,0,18,99000,54489,1359418,099000,1854489
2015/09/15,2448,晶電            ,2846000,1328000,2000,0,0,167000,123000,223000,1253000,0123000,167000223000
2015/09/15,2515,中工            ,1394000,419000,0,0,0,0,73000,0,1048000,073000,00
2015/09/15,1314,中石化          ,1671000,589000,0,0,3000,3000,0,40000,1042000,30000,300040000
2015/09/15,2809,京城銀          ,1602000,592000,0,0,4000,6000,11000,5000,1014000,400011000,60005000
2015/09/15,0050,台灣50          ,824000,407000,0,0,195000,131000,1774000,1319000,936000,1950001774000,1310001319000
