年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2012/05/14,3045,台灣大          ,5218000,958000,1312000,85000,91000,1082000,4496000
2012/05/14,4904,遠傳            ,7944250,3449000,1090000,659000,166000,875000,4217250
2012/05/14,1216,統一            ,6325000,4424000,1526000,50000,224000,62000,3539000
2012/05/14,2308,台達電          ,3865000,1279000,748000,0,169000,62000,3441000
2012/05/14,2886,兆豐金          ,4267000,1780000,850000,330000,409000,518000,2898000
2012/05/14,2475,華映            ,2174000,0,0,0,0,0,2174000
2012/05/14,1314,中石化          ,2775000,1382000,0,30000,957000,162000,2158000
2012/05/14,2884,玉山金          ,6473000,3888000,0,0,120000,754000,1951000
2012/05/14,2303,聯電            ,9811000,8786000,0,0,541000,327000,1239000
2012/05/14,2002,中鋼            ,3344004,2568000,0,0,498000,71000,1203004
2012/05/14,2891,中信金          ,3715000,4284371,1274000,0,479000,50000,1133629
2012/05/14,2454,聯發科          ,1698000,472000,40000,150000,106000,126000,1096000
2012/05/14,2330,台積電          ,10816000,10808000,494000,0,953000,363000,1092000
2012/05/14,4938,和碩            ,2734000,4197000,2486000,0,34000,45000,1012000
2012/05/14,2618,長榮航          ,1566000,568000,0,0,27000,145000,880000
2012/05/14,6116,彩晶            ,1052000,190000,0,0,0,0,862000
2012/05/14,2357,華碩            ,849000,517000,528000,0,56000,99000,817000
2012/05/14,2301,光寶科          ,1376000,730000,0,0,121000,43000,724000
2012/05/14,2847,大眾銀          ,707000,171000,1000000,0,98000,934000,700000
2012/05/14,3037,欣興            ,1840000,945000,0,188000,25000,46000,686000
2012/05/14,9933,中鼎            ,1494000,1266000,211000,0,240000,0,679000
2012/05/14,911619,耀傑            ,663000,0,0,0,0,0,663000
2012/05/14,2915,潤泰全          ,881000,139000,0,90000,17000,24000,645000
2012/05/14,8078,華寶            ,209000,827000,1195000,0,122000,78000,621000
2012/05/14,9914,美利達          ,1345000,644000,312000,469000,144000,95000,593000
2012/05/14,6209,今國光          ,62000,2000,575000,0,0,52000,583000
2012/05/14,2317,鴻海            ,14067000,13089400,30000,932000,728000,289000,514600
2012/05/14,3702,大聯大          ,1832000,1544000,250000,0,7000,53000,492000
2012/05/14,9904,寶成            ,734000,372000,0,0,94000,6000,450000
2012/05/14,3041,揚智            ,1036000,89000,0,578000,95000,21000,443000
2012/05/14,3474,華亞科          ,2572000,2131000,0,0,12000,13000,440000
2012/05/14,9925,新保            ,547000,180000,50000,0,0,7000,410000
2012/05/14,4958,F-臻鼎          ,618000,431000,126000,0,165000,75000,403000
2012/05/14,8271,宇瞻            ,381000,17000,0,0,35000,0,399000
2012/05/14,9943,好樂迪          ,382000,1000,0,0,7000,0,388000
2012/05/14,3376,新日興          ,116000,524000,741000,0,188000,146000,375000
2012/05/14,2809,京城銀          ,21000,133000,539000,0,23000,78000,372000
2012/05/14,8039,台虹            ,421000,105000,50000,0,0,2000,364000
2012/05/14,2379,瑞昱            ,857000,398000,20000,0,82000,204000,357000
2012/05/14,9945,潤泰新          ,963026,99000,750000,1100000,53000,214000,353026
2012/05/14,2462,良得電          ,383000,25000,0,0,0,5000,353000
2012/05/14,2473,思源            ,438000,109000,0,0,0,2000,327000
2012/05/14,01002T,國泰R1          ,302000,0,0,0,0,0,302000
2012/05/14,4906,正文            ,354000,55000,0,0,12000,50000,261000
2012/05/14,2845,遠東銀          ,0,87000,339000,0,0,4000,248000
2012/05/14,2611,志信            ,57000,14000,0,0,204000,0,247000
2012/05/14,2355,敬鵬            ,76000,44000,215000,0,22000,25000,244000
2012/05/14,2458,義隆            ,1660000,67000,32000,1413000,66000,34000,244000
2012/05/14,2327,國巨            ,387000,130000,0,0,0,14000,243000
2012/05/14,2511,太子            ,1089000,841000,0,0,0,5000,243000
2012/05/14,2451,創見            ,284000,87000,41000,0,0,1000,237000
2012/05/14,2912,統一超          ,670000,463544,0,0,30000,1000,235456
2012/05/14,3573,穎台            ,305000,75000,0,0,0,0,230000
2012/05/14,5515,建國            ,256000,30000,0,0,1000,0,227000
2012/05/14,9921,巨大            ,390000,159000,8000,0,7000,20000,226000
2012/05/14,1504,東元            ,777000,412000,0,0,2000,142000,225000
2012/05/14,2384,勝華            ,4207000,3818000,0,0,23000,190000,222000
2012/05/14,3406,玉晶光          ,419000,134000,60000,62000,18000,86000,215000
2012/05/14,2514,龍邦            ,213000,12000,0,0,0,0,201000
2012/05/14,4919,新唐            ,26000,84000,250000,0,3000,0,195000
2012/05/14,2332,友訊            ,303000,105000,0,0,20000,37000,181000
2012/05/14,3443,創意            ,49000,9000,120000,0,30000,12000,178000
2012/05/14,1582,信錦            ,60000,11000,220000,0,1000,92000,178000
2012/05/14,9934,成霖            ,12000,9000,172000,0,0,0,175000
2012/05/14,911611,中泰山          ,176000,0,0,0,0,2000,174000
2012/05/14,3598,奕力            ,120000,33000,173000,47000,5000,47000,171000
2012/05/14,2834,臺企銀          ,885000,659000,0,0,5000,64000,167000
2012/05/14,2524,京城            ,101000,0,63000,0,0,0,164000
2012/05/14,1477,聚陽            ,60000,36000,134000,0,9000,6000,161000
2012/05/14,6145,勁永            ,175000,17000,0,0,0,0,158000
2012/05/14,2059,川湖            ,71000,7000,100000,0,2000,10000,156000
2012/05/14,2402,毅嘉            ,226000,33000,0,0,0,43000,150000
2012/05/14,3622,洋華            ,201000,70000,0,0,10000,10000,131000
2012/05/14,1409,新纖            ,114000,171000,0,0,192000,6000,129000
2012/05/14,3545,敦泰            ,139000,50000,154000,0,0,119000,124000
2012/05/14,3596,智易            ,1000,7000,0,0,131000,1000,124000
2012/05/14,2889,國票金          ,249000,126000,0,0,0,4000,119000
2012/05/14,2360,致茂            ,137000,60000,39000,0,0,1000,115000
2012/05/14,6176,瑞儀            ,265000,265000,25000,0,154000,67000,112000
2012/05/14,1737,臺鹽            ,91000,17000,0,0,30000,0,104000
2012/05/14,5880,合庫金          ,752000,815000,0,60,184000,18000,102940
2012/05/14,2911,麗嬰房          ,4000,12000,105000,0,0,0,97000
2012/05/14,5469,瀚宇博          ,112000,3000,0,0,0,18000,91000
2012/05/14,3042,晶技            ,102000,1000,257000,240000,2000,36000,84000
2012/05/14,3022,威強電          ,5000,77000,250000,65000,0,31000,82000
2012/05/14,9941,裕融            ,42000,23000,41000,58000,82000,2000,82000
2012/05/14,3090,日電貿          ,109000,28049,0,0,0,0,80951
2012/05/14,1201,味全            ,33000,4000,37000,0,33000,20000,79000
2012/05/14,6286,立錡            ,129000,72000,0,0,34000,13000,78000
2012/05/14,2430,燦坤            ,13000,62000,150000,0,7000,30000,78000
2012/05/14,2607,榮運            ,158000,54000,0,0,15000,42000,77000
2012/05/14,8215,明基材          ,96000,21000,0,0,0,0,75000
2012/05/14,1707,葡萄王          ,55150,48000,0,0,70000,5000,72150
2012/05/14,2106,建大            ,116000,42000,0,0,0,4000,70000
2012/05/14,1723,中碳            ,64000,19000,0,0,31000,8000,68000
2012/05/14,3023,信邦            ,131000,37000,0,0,0,27000,67000
2012/05/14,1225,福懋油          ,70000,3000,0,0,0,2000,65000
2012/05/14,3296,勝德            ,39000,36000,60000,0,0,1000,62000
2012/05/14,9917,中保            ,76000,15000,0,0,1000,0,62000
2012/05/14,1909,榮成            ,0,73000,0,0,137000,4000,60000
2012/05/14,2208,台船            ,70000,11000,0,0,0,0,59000
2012/05/14,8103,瀚荃            ,114000,60000,0,0,10000,6000,58000
2012/05/14,2206,三陽            ,116000,25000,0,0,10000,44000,57000
2012/05/14,2450,神腦            ,123000,42000,0,31000,15000,9000,56000
2012/05/14,2547,日勝生          ,202000,162000,0,0,18300,6000,52300
2012/05/14,1434,福懋            ,219000,163000,0,0,0,4000,52000
2012/05/14,2609,陽明            ,1050000,263000,4030000,4309000,150000,609000,49000
2012/05/14,1321,大洋            ,58000,9000,0,0,0,0,49000
2012/05/14,1733,五鼎            ,66000,135000,80000,0,39000,2000,48000
2012/05/14,8101,華冠            ,18000,69000,0,0,100000,1000,48000
2012/05/14,3014,聯陽            ,117000,68000,0,0,0,1000,48000
2012/05/14,3043,科風            ,67000,22000,0,0,2000,0,47000
2012/05/14,3030,德律            ,64000,16000,0,0,0,1000,47000
2012/05/14,1460,宏遠            ,156000,134000,0,0,24000,0,46000
2012/05/14,1589,F-永冠          ,14000,0,30000,0,0,0,44000
2012/05/14,6152,百一            ,55000,7000,0,0,0,4000,44000
2012/05/14,2108,南帝            ,48000,5000,0,0,0,0,43000
2012/05/14,3056,總太            ,76000,25000,0,0,0,9000,42000
2012/05/14,2027,大成鋼          ,46000,5000,0,0,0,0,41000
2012/05/14,3010,華立            ,43000,2000,0,0,0,0,41000
2012/05/14,0057,FB摩台          ,209000,0,0,0,62000,231000,40000
2012/05/14,5305,敦南            ,50000,9000,0,0,0,3000,38000
2012/05/14,8112,至上            ,24000,5000,0,0,20000,1000,38000
2012/05/14,1217,愛之味          ,87000,50000,0,0,0,0,37000
2012/05/14,2850,新產            ,43000,6000,0,0,0,1000,36000
2012/05/14,3060,銘異            ,4000,36000,0,0,88000,21000,35000
