年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2012/08/31,2887,台新金          ,72758304,57861963,2561000,13000,286000,2703679,15026662
2012/08/31,2884,玉山金          ,9350775,1717170,616000,121000,101000,828000,7401605
2012/08/31,9904,寶成            ,5945951,2487451,1933000,5000,100000,18000,5468500
2012/08/31,1314,中石化          ,6670441,1814915,5000,4000,311000,242000,4925526
2012/08/31,2330,台積電          ,10470500,7552902,1457000,118000,57000,478000,3835598
2012/08/31,2511,太子            ,3542000,2489870,1543000,1000,1027000,150000,3471130
2012/08/31,2357,華碩            ,6384259,2844802,175000,359000,214000,138000,3431457
2012/08/31,2325,矽品            ,3655652,1430990,1102000,14000,48000,181000,3179662
2012/08/31,2204,中華            ,1209000,396063,1753500,91000,125000,145000,2455437
2012/08/31,0055,寶金融          ,0,0,0,1000000,3777000,344000,2433000
2012/08/31,2454,聯發科          ,6580347,3916254,102000,309000,86000,121000,2422093
2012/08/31,2382,廣達            ,12346528,8974417,24000,646000,74000,457808,2366303
2012/08/31,2888,新光金          ,13255141,11001445,24000,65000,206000,64000,2354696
2012/08/31,5880,合庫金          ,3879901,1641000,19000,76000,110000,89000,2202901
2012/08/31,3481,群創            ,4914684,3018406,124000,6000,119000,43000,2090278
2012/08/31,2324,仁寶            ,5787790,3660000,18000,18000,27000,143676,2011114
2012/08/31,3673,F-TPK           ,3601000,1755284,46000,8000,27000,62000,1848716
2012/08/31,1504,東元            ,2153392,498559,7000,4000,143000,140000,1660833
2012/08/31,2323,中環            ,1765885,288000,0,0,0,36000,1441885
2012/08/31,2449,京元電          ,991281,233059,500000,0,353000,186000,1425222
2012/08/31,8016,矽創            ,299000,62000,1078000,0,78000,0,1393000
2012/08/31,2301,光寶科          ,1567330,604667,8000,12000,492000,69000,1381663
2012/08/31,3598,奕力            ,701000,62000,856000,0,10000,204000,1301000
2012/08/31,4906,正文            ,32672,151000,1400000,0,0,0,1281672
2012/08/31,6239,力成            ,1597130,513060,2000,1000,116000,32109,1168961
2012/08/31,2542,興富發          ,1548000,757563,203000,3000,141000,20000,1111437
2012/08/31,5522,遠雄            ,815555,215852,544000,6000,26000,57000,1106703
2012/08/31,3034,聯詠            ,1893163,566537,324000,2000,390000,1001468,1037158
2012/08/31,3045,台灣大          ,2389088,1338843,6500,12000,62000,73000,1033745
2012/08/31,2489,瑞軒            ,1119471,201000,50000,6000,168000,185000,945471
2012/08/31,2548,華固            ,725350,80200,275000,1000,26000,83000,862150
2012/08/31,6271,同欣電          ,410000,127000,645000,137000,65000,21000,835000
2012/08/31,2337,旺宏            ,1545510,844458,17000,5000,207000,107937,812115
2012/08/31,2886,兆豐金          ,7447940,6189620,33000,984000,720000,225000,802320
2012/08/31,1605,華新            ,1625691,1063470,13000,0,251000,25000,801221
2012/08/31,2392,正崴            ,1064545,191157,32000,0,15000,136000,784388
2012/08/31,2610,華航            ,1803000,1089243,10500,2000,95000,45000,772257
2012/08/31,2890,永豐金          ,2321544,1541258,24000,93000,522000,503000,730286
2012/08/31,3035,智原            ,319000,38000,0,2000,473000,64000,688000
2012/08/31,2369,菱生            ,1000,28000,687000,0,4000,0,664000
2012/08/31,2892,第一金          ,4729110,1134544,27000,3033000,250000,196000,642566
2012/08/31,9945,潤泰新          ,1538650,1084877,185500,7000,28000,58000,602273
2012/08/31,1710,東聯            ,446000,161000,332500,0,60000,78800,598700
2012/08/31,2801,彰銀            ,1768733,1253520,18000,64000,152000,48000,573213
2012/08/31,2520,冠德            ,1329000,457000,135000,500000,60000,0,567000
2012/08/31,0050,台灣50          ,801000,406000,0,0,1286000,1119000,562000
2012/08/31,5534,長虹            ,1148000,883000,130000,9000,143000,26000,503000
2012/08/31,2315,神達            ,176523,117000,0,2000,498000,56000,499523
2012/08/31,2354,鴻準            ,799715,1945029,1789000,340000,579000,388000,494686
2012/08/31,6282,康舒            ,455000,94000,0,1000,170000,39000,491000
2012/08/31,2377,微星            ,726275,167302,0,0,72000,145000,485973
2012/08/31,2845,遠東銀          ,675000,221000,0,2000,20000,0,472000
2012/08/31,2847,大眾銀          ,588000,160000,0,0,59000,25000,462000
2012/08/31,2374,佳能            ,509895,38000,0,1000,1000,13000,458895
2012/08/31,6257,矽格            ,524000,38000,20000,0,20000,70000,456000
2012/08/31,2379,瑞昱            ,1187942,653000,71000,110000,21000,70996,445946
2012/08/31,1102,亞泥            ,1052022,606731,7500,14000,17000,14000,441791
2012/08/31,2395,研華            ,516000,86189,1000,0,0,3000,427811
2012/08/31,2355,敬鵬            ,383000,188000,0,50000,316000,35000,426000
2012/08/31,2915,潤泰全          ,292269,329948,482000,1000,40000,76000,407321
2012/08/31,6230,超眾            ,292000,5000,80000,0,37000,0,404000
2012/08/31,9933,中鼎            ,741973,352808,3000,1000,10000,0,401165
2012/08/31,3376,新日興          ,654600,216000,89000,100000,33000,66000,394600
2012/08/31,2880,華南金          ,1981915,1365801,21000,84000,10000,175000,388114
2012/08/31,6213,聯茂            ,403000,43000,0,3000,0,7000,350000
2012/08/31,910579,歐聖            ,344000,0,0,0,0,0,344000
2012/08/31,910322,康師傅          ,368000,2000,0,0,0,23000,343000
2012/08/31,8110,華東            ,211000,34000,150000,0,0,0,327000
2012/08/31,1303,南亞            ,1648373,1347000,19500,35000,42000,5000,322873
2012/08/31,2473,思源            ,581000,209000,0,50000,0,0,322000
