年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2013/01/04,2330,台積電          ,33581806,24337195,234000,190000,910000,1156000,9042611
2013/01/04,3576,新日光          ,701000,546000,5840000,2000,470000,104000,6359000
2013/01/04,3514,昱晶            ,389000,826000,5097000,1000,1286000,121000,5824000
2013/01/04,2311,日月光          ,13115000,9546427,510000,21000,1899000,277000,5679573
2013/01/04,1326,台化            ,6907000,2057000,468000,14000,657000,739000,5222000
2013/01/04,1301,台塑            ,6083000,1360000,344000,113000,442000,263000,5133000
2013/01/04,1303,南亞            ,8115000,4210000,1540000,24000,103000,478000,5046000
2013/01/04,1305,華夏            ,2749000,512000,980000,268000,1882000,8000,4823000
2013/01/04,2002,中鋼            ,7759000,8804968,2608000,53000,3345000,917500,3936532
2013/01/04,2356,英業達          ,2152000,1312000,0,4000,3121000,46000,3911000
2013/01/04,1314,中石化          ,1687600,2583611,200000,279722,5257000,484414,3796853
2013/01/04,1710,東聯            ,3035000,183000,397000,4000,470000,83000,3632000
2013/01/04,2887,台新金          ,6934000,3541196,0,30000,51000,182000,3231804
2013/01/04,2353,宏??            ,4952700,2365000,0,12000,749000,128000,3196700
2013/01/04,2603,長榮            ,3684000,1795000,1564000,13000,592000,839000,3193000
2013/01/04,2883,開發金          ,6816000,3442000,0,54000,1116000,1640276,2795724
2013/01/04,1907,永豐餘          ,2661000,219000,0,6000,200000,33000,2603000
2013/01/04,2618,長榮航          ,4647000,1425000,0,514000,345000,477000,2576000
2013/01/04,6271,同欣電          ,133000,44000,2292000,121000,159000,56000,2363000
2013/01/04,2881,富邦金          ,7147000,5314000,434000,27000,494000,421000,2313000
2013/01/04,1402,遠東新          ,4790000,2513000,611000,680000,456000,498000,2166000
2013/01/04,2609,陽明            ,2401000,811000,16000,8000,426000,59000,1965000
2013/01/04,9939,宏全            ,547000,274000,1639000,126000,352000,182800,1955200
2013/01/04,1101,台泥            ,3550000,1295000,136000,309000,1040000,1176000,1946000
2013/01/04,3598,奕力            ,1724000,61000,366000,1000,55000,180000,1903000
2013/01/04,8039,台虹            ,150000,110000,1738000,1000,70000,2000,1845000
2013/01/04,5534,長虹            ,1556000,160000,300000,0,211000,65000,1842000
2013/01/04,1504,東元            ,3638000,1961000,0,5000,131000,44000,1759000
2013/01/04,006205,FB上証          ,3880000,1500000,645000,0,1524000,2793000,1756000
2013/01/04,2520,冠德            ,325000,124000,1146000,4000,530000,178000,1695000
2013/01/04,2845,遠東銀          ,1862000,263000,0,7000,0,20000,1572000
2013/01/04,2547,日勝生          ,550000,622000,900000,0,1161000,422000,1567000
2013/01/04,911611,中泰山          ,1439000,0,0,0,0,0,1439000
2013/01/04,2837,萬泰銀          ,1279000,226000,2000,0,325000,12000,1368000
2013/01/04,2327,國巨            ,1962000,620000,0,7000,0,17000,1318000
2013/01/04,2323,中環            ,1654000,391000,0,11000,0,119000,1133000
2013/01/04,2201,裕隆            ,1345000,499000,409000,7000,404000,533000,1119000
2013/01/04,1447,力鵬            ,118000,138000,0,5000,1159000,15000,1119000
2013/01/04,4960,奇美材          ,188000,147000,1665000,2000,513000,1138000,1079000
2013/01/04,2723,F-美食          ,1129000,48000,0,0,0,3000,1078000
2013/01/04,9907,統一實          ,1415000,303000,0,7000,0,33000,1072000
2013/01/04,2889,國票金          ,1436000,326000,0,16000,0,23000,1071000
2013/01/04,2325,矽品            ,3827000,2050000,0,653000,0,84686,1039314
2013/01/04,2385,群光            ,714000,498456,646000,327000,471000,42000,963544
2013/01/04,006207,FH滬深          ,1000000,1639000,0,0,2266000,685000,942000
2013/01/04,3062,建漢            ,27000,91000,0,2000,1000000,3000,931000
2013/01/04,2536,宏普            ,882000,42000,0,2000,108000,25000,921000
2013/01/04,2809,京城銀          ,1118000,699000,0,123000,848000,301000,843000
2013/01/04,1201,味全            ,1421000,123000,173000,560000,164000,241000,834000
2013/01/04,2501,國建            ,1209000,337000,0,6000,0,35000,831000
2013/01/04,2548,華固            ,439000,250000,508000,9000,187000,91492,783508
2013/01/04,2458,義隆            ,574000,1815000,2707000,3000,183000,880000,766000
2013/01/04,1789,神隆            ,507000,267000,200000,3000,522000,258000,701000
2013/01/04,2315,神達            ,886000,280000,0,8000,155000,54000,699000
2013/01/04,2015,豐興            ,491000,125000,255000,2000,84000,13000,690000
2013/01/04,1216,統一            ,3307093,7190000,4454000,200780,666000,367000,669313
2013/01/04,2834,臺企銀          ,2193000,1486000,0,17000,105000,130000,665000
2013/01/04,6257,矽格            ,1301000,153000,0,467000,0,20000,661000
2013/01/04,1104,環泥            ,324000,68000,155000,0,230000,12000,629000
2013/01/04,1304,台聚            ,912000,754427,0,1000,491000,27774,619799
2013/01/04,2384,勝華            ,3195000,1745000,0,9000,59000,912000,588000
2013/01/04,6278,台表科          ,522000,199000,40000,1000,347000,122000,587000
2013/01/04,6005,群益證          ,1228000,635000,6000,0,0,23000,576000
2013/01/04,1313,聯成            ,137000,175000,340000,3000,278000,24000,553000
2013/01/04,1308,亞聚            ,76000,273000,350000,1000,411000,10000,553000
2013/01/04,2475,華映            ,546000,1000,0,0,0,0,545000
2013/01/04,1802,台玻            ,967000,373000,0,8000,0,48000,538000
2013/01/04,1477,聚陽            ,822000,85000,16000,192000,0,42000,519000
2013/01/04,8404,F-百和          ,485000,1000,0,0,2000,0,486000
2013/01/04,3673,F-TPK           ,985142,492470,35000,20000,47000,69000,485672
2013/01/04,9136,巨騰            ,0,0,500000,0,3000,30000,473000
2013/01/04,3044,健鼎            ,1104000,836000,0,1000,260000,79000,448000
2013/01/04,1476,儒鴻            ,476000,30000,3000,207000,200000,13000,429000
2013/01/04,8008,建興電          ,1019000,637000,0,1000,0,6000,375000
2013/01/04,2104,中橡            ,240000,297000,374000,1000,158000,117000,357000
2013/01/04,6239,力成            ,1215000,788000,0,2000,33000,116000,342000
2013/01/04,2605,新興            ,79000,123000,200000,1000,196000,12000,339000
2013/01/04,2820,華票            ,343000,97000,0,8000,115000,14000,339000
2013/01/04,2867,三商壽          ,324000,0,0,0,0,0,324000
2013/01/04,1434,福懋            ,653000,312000,0,7000,20000,35000,319000
2013/01/04,1217,愛之味          ,356000,35000,0,0,0,11000,310000
2013/01/04,2344,華邦電          ,1570000,1223000,0,23000,0,27000,297000
2013/01/04,2022,聚亨            ,329000,21000,0,0,0,11000,297000
2013/01/04,8101,華冠            ,108000,199000,390000,1000,0,3000,295000
2013/01/04,4532,瑞智            ,200000,50000,81000,0,65000,9000,287000
2013/01/04,2207,和泰車          ,406000,109000,0,11000,10000,11000,285000
2013/01/04,2412,中華電          ,4002000,1466000,0,2027000,52000,279131,281869
2013/01/04,6120,達運            ,347000,77000,0,3000,0,3000,264000
2013/01/04,2342,茂矽            ,292000,26000,0,0,0,3000,263000
2013/01/04,2376,技嘉            ,358000,102000,0,3000,19000,11000,261000
2013/01/04,2704,國賓            ,325000,34000,0,2000,7000,37000,259000
2013/01/04,2476,鉅祥            ,276000,25000,8000,1000,0,2000,256000
2013/01/04,2332,友訊            ,715000,457459,0,4000,9000,10000,252541
2013/01/04,3019,亞光            ,266000,42000,0,2000,0,2000,220000
2013/01/04,2204,中華            ,555000,610000,110000,2000,189000,30000,212000
2013/01/04,2911,麗嬰房          ,233000,15000,0,2000,0,4000,212000
2013/01/04,2395,研華            ,464000,237000,104000,104000,0,16000,211000
2013/01/04,4108,懷特            ,139000,35000,0,1000,110000,3000,210000
2013/01/04,2301,光寶科          ,1710000,1594000,465000,701000,370000,43000,207000
2013/01/04,2606,裕民            ,229000,213000,163000,5000,47000,19000,202000
2013/01/04,1473,台南            ,210000,5000,0,1000,0,3000,201000
2013/01/04,6505,台塑化          ,1967000,1475000,0,27000,0,265000,200000
2013/01/04,3231,緯創            ,3710075,3299549,0,9000,6000,224491,183035
2013/01/04,2379,瑞昱            ,304000,651000,565000,3000,58000,95000,178000
2013/01/04,8081,致新            ,29000,209000,433000,0,0,91000,162000
2013/01/04,2377,微星            ,317000,148000,0,3000,0,7000,159000
2013/01/04,3013,晟銘電          ,189000,29000,0,1000,0,2000,157000
2013/01/04,3036,文曄            ,353000,166005,0,2000,7000,35000,156995
2013/01/04,1319,東陽            ,226000,60000,0,2000,0,11000,153000
2013/01/04,2345,智邦            ,221000,65000,0,2000,0,4000,150000
2013/01/04,8046,南電            ,493000,340000,0,4000,0,4000,145000
2013/01/04,4942,嘉彰            ,194000,22000,1000,0,0,40000,133000
2013/01/04,3573,穎台            ,183000,53000,0,0,1000,1000,130000
2013/01/04,3006,晶豪科          ,160000,30000,0,1000,0,2000,127000
2013/01/04,2102,泰豐            ,34000,113000,66000,3000,150000,8000,126000
2013/01/04,2855,統一證          ,348000,210000,0,1000,0,11000,126000
2013/01/04,1608,華榮            ,224000,89000,5000,1000,0,13000,126000
2013/01/04,4725,信昌化          ,133000,68000,0,1000,143000,91000,116000
2013/01/04,5880,合庫金          ,1255000,1018000,0,28000,21000,114000,116000
2013/01/04,4934,太極            ,115000,2000,0,0,0,0,113000
2013/01/04,5203,訊連            ,65000,10000,30000,3000,30000,0,112000
2013/01/04,2331,精英            ,601000,545000,0,6000,328000,268000,110000
2013/01/04,2505,國揚            ,203000,191000,0,3000,109000,9000,109000
2013/01/04,1227,佳格            ,396000,892000,642000,1000,11000,55000,101000
2013/01/04,2535,達欣工          ,11000,26000,120000,0,0,6000,99000
2013/01/04,9924,福興            ,61000,30000,71000,1000,0,4000,97000
2013/01/04,2374,佳能            ,284000,181657,0,2000,0,4000,96343
2013/01/04,5521,工信            ,107000,5000,0,0,0,7000,95000
2013/01/04,3686,達能            ,125000,33000,0,0,0,0,92000
2013/01/04,2440,太空梭          ,89000,1000,0,0,0,2000,86000
2013/01/04,2388,威盛            ,134000,45000,0,0,0,3000,86000
2013/01/04,6206,飛捷            ,86000,3000,0,0,0,0,83000
2013/01/04,1234,黑松            ,28000,137000,0,3000,253000,60000,81000
2013/01/04,4930,燦星網          ,105000,25000,0,0,0,0,80000
2013/01/04,2383,台光電          ,127000,43000,0,3000,0,3000,78000
2013/01/04,6116,彩晶            ,78000,0,0,0,0,0,78000
2013/01/04,4919,新唐            ,147000,135000,65000,0,0,0,77000
2013/01/04,6289,華上            ,81000,4000,0,0,0,2000,75000
2013/01/04,3037,欣興            ,964000,661000,0,260000,173000,141000,75000
2013/01/04,1451,年興            ,105000,25000,0,1000,0,4000,75000
2013/01/04,1604,聲寶            ,157000,65000,0,4000,0,13000,75000
2013/01/04,2017,官田鋼          ,126000,46000,0,0,0,8000,72000
2013/01/04,6251,定穎            ,104000,32000,0,0,0,1000,71000
2013/01/04,9940,信義            ,91000,21000,7000,0,0,9000,68000
2013/01/04,3450,聯鈞            ,69000,116000,80000,0,35000,1000,67000
2013/01/04,2705,六福            ,95000,23000,0,0,0,7000,65000
2013/01/04,2856,元富證          ,202000,126000,0,5000,0,8000,63000
2013/01/04,1440,南紡            ,316000,218000,0,5000,0,33000,60000
2013/01/04,3599,旺能            ,62000,4000,0,0,0,0,58000
2013/01/04,1455,集盛            ,172000,100000,0,4000,0,12000,56000
2013/01/04,1522,堤維西          ,72000,11000,0,0,0,7000,54000
2013/01/04,2727,王品            ,60000,14000,2000,0,8000,2000,54000
2013/01/04,6196,帆宣            ,62000,9000,0,0,0,1000,52000
2013/01/04,3380,明泰            ,83000,31000,0,3000,10000,9000,50000
2013/01/04,3023,信邦            ,66000,15000,0,2000,0,1000,48000
2013/01/04,911612,滬安            ,229000,0,0,0,0,181000,48000
2013/01/04,911616,杜康            ,61000,15000,0,0,0,0,46000
2013/01/04,01002T,國泰R1          ,26000,7000,0,0,26000,0,45000
2013/01/04,2030,彰源            ,67000,17000,0,0,0,6000,44000
2013/01/04,1612,宏泰            ,67000,12000,0,5000,0,7000,43000
2013/01/04,4915,致伸            ,130000,53000,0,500000,466000,0,43000
2013/01/04,2485,兆赫            ,77000,41000,3000,1000,10000,5000,43000
2013/01/04,2812,台中銀          ,312000,267000,0,8000,128000,123000,42000
2013/01/04,1708,東鹼            ,59000,13000,0,1000,0,4000,41000
2013/01/04,2390,云辰            ,47000,7000,0,0,0,1000,39000
2013/01/04,2405,浩鑫            ,39000,1000,0,0,2000,2000,38000
2013/01/04,2617,台航            ,121000,75000,0,1000,0,7000,38000
2013/01/04,3056,總太            ,2000,69000,0,2000,110000,3000,38000
2013/01/04,2009,第一銅          ,72000,24000,0,3000,0,8000,37000
2013/01/04,0051,中100           ,20000,0,0,0,16000,0,36000
2013/01/04,2402,毅嘉            ,233000,193000,0,1000,0,3000,36000
2013/01/04,2367,燿華            ,112000,68000,0,4000,0,4000,36000
2013/01/04,6702,興航            ,69000,25000,0,3000,0,6000,35000
2013/01/04,006204,豐臺灣          ,0,0,0,0,127000,94250,32750
2013/01/04,5533,皇鼎            ,25000,9000,20000,0,0,4000,32000
2013/01/04,9942,茂順            ,33000,3000,2000,0,0,0,32000
2013/01/04,2013,中鋼構          ,19000,23000,65000,1000,20000,49000,31000
2013/01/04,01003T,新光R1          ,0,12000,0,0,42000,0,30000
2013/01/04,911609,揚子江          ,34000,4000,0,0,0,0,30000
