年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/11/10,3474,華亞科          ,21831000,8234000,0,3055000,330000,1763000,1443000,2122000,8430000,3300001443000,17630002122000
2015/11/10,00632R,T50反1          ,479000,30000,0,0,1158000,80000,7494000,4114000,4907000,11580007494000,800004114000
2015/11/10,4938,和碩            ,13636000,9176000,408000,252000,380000,122000,302000,901000,4275000,380000302000,122000901000
2015/11/10,2345,智邦            ,855000,1081000,4024000,0,211000,311000,0,0,3698000,2110000,3110000
2015/11/10,2498,宏達電          ,2713062,964000,5000,0,166000,40000,1106000,105000,2881062,1660001106000,40000105000
2015/11/10,6239,力成            ,4139000,2575000,1215000,0,0,26000,116000,54000,2815000,0116000,2600054000
2015/11/10,3673,F-TPK           ,2208000,949836,145000,0,493000,67000,709000,138000,2400164,493000709000,67000138000
2015/11/10,006205,FB上証          ,6000,0,535000,0,313000,523000,5206000,3143000,2394000,3130005206000,5230003143000
2015/11/10,1704,榮化            ,1957000,221000,0,0,150000,33000,582000,144000,2291000,150000582000,33000144000
2015/11/10,1789,神隆            ,2226940,253000,0,0,0,33000,6000,0,1946940,06000,330000
2015/11/10,8105,凌巨            ,2949000,1244000,0,0,230000,45000,0,0,1890000,2300000,450000
2015/11/10,4306,炎洲            ,1927016,127000,0,0,0,1000,0,0,1799016,00,10000
2015/11/10,6456,F-GIS           ,1953000,306000,90000,453000,25000,91000,429000,86000,1561000,25000429000,9100086000
2015/11/10,3044,健鼎            ,2558000,1128000,20000,0,4000,78000,126000,25000,1477000,4000126000,7800025000
2015/11/10,3037,欣興            ,2122000,931000,0,0,0,8000,991000,724000,1450000,0991000,8000724000
2015/11/10,3023,信邦            ,1279000,61000,0,9828,0,15000,281000,31058,1443114,0281000,1500031058
2015/11/10,2106,建大            ,1499464,63000,0,0,26000,40000,0,0,1422464,260000,400000
