年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2012/12/27,2881,富邦金          ,3617574,1068000,2564000,0,157004,428299,4842279
2012/12/27,2330,台積電          ,15609000,12214346,473000,310000,1784012,1755000,3586666
2012/12/27,2887,台新金          ,3463281,610000,479000,1000,252000,287000,3296281
2012/12/27,2498,宏達電          ,2480174,1258511,658000,0,1771002,583000,3067665
2012/12/27,1326,台化            ,4123098,1862000,1156000,149000,52002,272000,3048100
2012/12/27,2311,日月光          ,9943563,7656000,799000,545000,213004,237000,2517567
2012/12/27,2885,元大金          ,3744227,1304000,0,0,558004,636496,2361735
2012/12/27,1907,永豐餘          ,2176000,3000,0,0,0,7000,2166000
2012/12/27,2880,華南金          ,2353264,327000,0,1000,2004,195000,1832268
2012/12/27,2382,廣達            ,4623099,2457000,0,320000,39000,168000,1717099
2012/12/27,1504,東元            ,3103141,1643000,262000,150000,136000,61000,1647141
2012/12/27,2324,仁寶            ,2650698,1150000,0,0,304002,442000,1362700
2012/12/27,2006,東鋼            ,994000,656000,1013000,0,2000,10000,1343000
2012/12/27,0050,台灣50          ,3451000,1590000,0,0,2361000,2968000,1254000
2012/12/27,2837,萬泰銀          ,604000,25000,0,0,520000,3000,1096000
2012/12/27,2610,華航            ,886000,64000,0,0,302000,38000,1086000
2012/12/27,2603,長榮            ,993126,402000,0,0,599000,187000,1003126
2012/12/27,2609,陽明            ,1227000,226000,0,0,0,21000,980000
2012/12/27,5880,合庫金          ,1271726,156000,0,0,46004,194000,967730
2012/12/27,2356,英業達          ,1109292,167000,0,0,40000,17000,965292
2012/12/27,2105,正新            ,1634715,974000,381000,78000,70002,95000,938717
2012/12/27,2352,佳世達          ,1180835,280000,0,0,0,0,900835
2012/12/27,2889,國票金          ,964000,77000,0,0,0,3000,884000
2012/12/27,2449,京元電          ,1825118,1040000,2618000,1732000,150000,977000,844118
