年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2012/07/06,2330,台積電          ,30118000,20072441,166000,823000,555000,268000,9675559
2012/07/06,1303,南亞            ,6867000,3107000,41000,21000,2879000,73000,6586000
2012/07/06,2885,元大金          ,7437000,3037000,1400000,83000,330000,192000,5855000
2012/07/06,3045,台灣大          ,4059000,764764,0,129000,2109000,48000,5226236
2012/07/06,2886,兆豐金          ,13524000,7970000,0,36000,158000,457000,5219000
2012/07/06,1301,台塑            ,5872000,1706000,125000,17000,962000,58000,5178000
2012/07/06,2449,京元電          ,156000,108000,4780000,0,175000,123000,4880000
2012/07/06,2890,永豐金          ,6763000,1700000,0,26000,501000,707000,4831000
2012/07/06,2892,第一金          ,5859000,780000,0,28000,163000,433000,4781000
2012/07/06,0050,台灣50          ,220000,35000,0,50000,6068000,1456000,4747000
2012/07/06,2823,中壽            ,5214000,378000,0,8000,178000,330000,4676000
2012/07/06,2317,鴻海            ,10596000,6001191,798000,62000,364000,1073000,4621809
2012/07/06,1504,東元            ,3125000,805000,0,7000,2260000,202000,4371000
2012/07/06,2458,義隆            ,5454100,703000,643000,821000,627000,903000,4297100
2012/07/06,2888,新光金          ,4203000,573000,0,26000,589000,167000,4026000
2012/07/06,2308,台達電          ,4877000,771000,10000,30000,48000,163000,3971000
2012/07/06,2385,群光            ,2298000,159000,1413000,0,63000,53000,3562000
2012/07/06,1216,統一            ,8436000,5411703,400000,155000,238000,175000,3332297
2012/07/06,2883,開發金          ,10287000,6533000,0,57000,189000,646000,3240000
2012/07/06,2801,彰銀            ,3655000,728000,0,18000,172000,41000,3040000
2012/07/06,2880,華南金          ,3660000,575000,0,22000,36000,59000,3040000
2012/07/06,2002,中鋼            ,9658000,6684098,80000,49000,49000,53000,3000902
2012/07/06,1101,台泥            ,3934000,1056000,85000,13000,75000,51000,2974000
2012/07/06,1605,華新            ,2370000,755000,590000,14000,356000,95000,2452000
2012/07/06,2301,光寶科          ,2645000,272000,0,9000,41000,41000,2364000
2012/07/06,2105,正新            ,2293000,202000,148000,7000,111000,64000,2279000
2012/07/06,6239,力成            ,3470000,985000,281000,373000,285000,442000,2236000
2012/07/06,2881,富邦金          ,5296000,3290335,0,24000,6000,73000,1914665
2012/07/06,2882,國泰金          ,6128000,3688000,34000,30000,69000,705000,1808000
2012/07/06,2610,華航            ,1742000,334000,121000,12000,229000,37000,1709000
2012/07/06,5880,合庫金          ,2404000,657000,0,18000,2000,23000,1708000
2012/07/06,3573,穎台            ,1684000,15000,0,0,2000,0,1671000
2012/07/06,2354,鴻準            ,781000,1277329,1360000,21000,946000,171000,1617671
2012/07/06,3042,晶技            ,1133000,72000,551000,0,34000,151000,1495000
2012/07/06,1402,遠東新          ,2226000,824000,0,13000,33000,74000,1348000
2012/07/06,2834,臺企銀          ,1801000,29000,47000,0,44000,568000,1295000
2012/07/06,0056,高股息          ,0,0,0,0,1292000,0,1292000
2012/07/06,3697,F-晨星          ,883000,702000,609000,103000,719000,132000,1274000
2012/07/06,3474,華亞科          ,1297000,137000,0,8000,54000,0,1206000
2012/07/06,2412,中華電          ,2608000,1777000,200000,17000,189000,110000,1093000
2012/07/06,2908,特力            ,1277000,192000,0,0,0,0,1085000
2012/07/06,1326,台化            ,1931000,717000,0,167000,50000,25000,1072000
2012/07/06,2324,仁寶            ,3050000,1903000,190000,19000,124000,425000,1017000
2012/07/06,2392,正崴            ,554000,20000,200000,2000,281000,32000,981000
2012/07/06,2347,聯強            ,1865000,1465000,471000,6000,59000,28000,896000
2012/07/06,1312,國喬            ,387000,3000,850000,400000,121000,101000,854000
2012/07/06,6505,台塑化          ,1158000,285000,0,6000,1000,28000,840000
2012/07/06,2313,華通            ,784000,718000,0,0,1391000,637000,820000
2012/07/06,2356,英業達          ,1780000,1035000,18000,0,50000,0,813000
2012/07/06,2915,潤泰全          ,333000,186000,575000,2000,113000,21000,812000
2012/07/06,9151,旺旺            ,762000,0,0,0,0,0,762000
2012/07/06,6257,矽格            ,49000,2000,600000,0,100000,0,747000
2012/07/06,3702,大聯大          ,972000,551000,300000,6000,36000,20000,731000
2012/07/06,2103,台橡            ,717400,75300,204000,0,2000,128000,720100
2012/07/06,9904,寶成            ,1831000,1119000,0,10000,18000,3000,717000
2012/07/06,9921,巨大            ,862900,149590,0,1000,0,0,712310
2012/07/06,6005,群益證          ,1061000,395000,0,7000,6000,5000,660000
2012/07/06,5871,F-中租          ,270000,119000,530000,0,0,34000,647000
2012/07/06,2201,裕隆            ,703000,406000,300000,161000,337000,205000,568000
2012/07/06,910322,康師傅          ,418000,2000,120000,0,0,0,536000
2012/07/06,2454,聯發科          ,1512000,581000,58000,381000,103000,187000,524000
2012/07/06,2903,遠百            ,588000,372000,388000,4000,27000,104000,523000
2012/07/06,2006,東鋼            ,446000,125000,0,3000,154000,0,472000
2012/07/06,8163,達方            ,485000,16000,0,0,0,0,469000
2012/07/06,2448,晶電            ,927000,439000,0,3000,90000,108000,467000
2012/07/06,2609,陽明            ,1094000,650000,0,6000,31000,6000,463000
2012/07/06,6116,彩晶            ,655000,193000,0,0,0,0,462000
2012/07/06,2615,萬海            ,684000,201000,0,5000,1000,18000,461000
2012/07/06,2331,精英            ,443000,7000,0,0,21000,0,457000
2012/07/06,2395,研華            ,561000,214000,100000,2000,3000,0,448000
2012/07/06,2473,思源            ,12000,15000,0,0,485000,43000,439000
2012/07/06,1702,南僑            ,119000,4000,350000,0,0,26000,439000
2012/07/06,9907,統一實          ,389000,25000,0,0,62000,0,426000
2012/07/06,1717,長興            ,385000,191000,227000,3000,0,2000,416000
2012/07/06,9933,中鼎            ,795000,401000,0,2000,35000,11000,416000
2012/07/06,3481,群創            ,5097000,3423734,0,23000,288000,1523000,415266
2012/07/06,2106,建大            ,104000,7000,278000,0,14000,24000,365000
2012/07/06,9136,巨騰            ,345000,0,0,0,15000,0,360000
2012/07/06,3576,新日光          ,338000,0,0,0,10000,1000,347000
2012/07/06,0055,寶金融          ,3000,258000,0,0,730000,145000,330000
2012/07/06,2501,國建            ,512000,60000,0,0,1000,136000,317000
2012/07/06,2327,國巨            ,246000,40000,0,0,126000,19000,313000
2012/07/06,3035,智原            ,333000,53000,137000,0,86000,211000,292000
2012/07/06,2547,日勝生          ,378000,58000,0,0,25000,54000,291000
2012/07/06,2455,全新            ,89000,26000,30000,0,353000,171000,275000
2012/07/06,911609,揚子江          ,285000,13000,0,0,0,0,272000
2012/07/06,1582,信錦            ,90000,0,223000,0,2000,44000,271000
2012/07/06,1337,F-再生          ,1000,130000,399000,0,0,0,270000
2012/07/06,2352,佳世達          ,150000,165000,0,0,335000,61000,259000
2012/07/06,9945,潤泰新          ,558000,565000,523000,57000,238000,439000,258000
2012/07/06,3231,緯創            ,5161000,4872000,0,109000,100000,41000,239000
2012/07/06,910579,歐聖            ,236000,0,0,0,0,0,236000
2012/07/06,3030,德律            ,227000,228000,244000,0,36000,44000,235000
2012/07/06,2379,瑞昱            ,362000,45000,0,62000,22000,48000,229000
2012/07/06,2325,矽品            ,2356000,1133900,0,1086000,134000,45000,225100
2012/07/06,2207,和泰車          ,280000,79028,10000,1000,17000,3000,223972
2012/07/06,2015,豐興            ,200000,20000,0,2000,41000,0,219000
2012/07/06,2542,興富發          ,415000,195000,0,3000,1000,0,218000
2012/07/06,2362,藍天            ,222000,5000,0,2000,0,0,215000
2012/07/06,2520,冠德            ,300000,51000,0,120000,122000,38000,213000
2012/07/06,1434,福懋            ,349000,129000,0,3000,0,6000,211000
2012/07/06,2497,怡利電          ,0,30000,237000,0,11000,15000,203000
2012/07/06,1316,上曜            ,0,0,200000,0,0,0,200000
2012/07/06,006206,元上證          ,0,0,0,0,248000,48000,200000
2012/07/06,8271,宇瞻            ,1000,95000,0,0,293000,0,199000
2012/07/06,006207,FH滬深          ,0,0,0,0,701000,502000,199000
2012/07/06,2845,遠東銀          ,48000,4000,128000,0,21000,0,193000
2012/07/06,1710,東聯            ,186000,24000,0,0,88000,57000,193000
2012/07/06,3519,綠能            ,187000,0,0,0,7000,1000,193000
2012/07/06,3013,晟銘電          ,188000,11000,0,0,5000,0,182000
2012/07/06,3041,揚智            ,133000,48000,0,0,116000,23000,178000
2012/07/06,910948,融達            ,173000,0,0,0,0,0,173000
2012/07/06,2607,榮運            ,229000,35000,0,0,0,30000,164000
2012/07/06,2360,致茂            ,610000,448000,0,0,0,0,162000
2012/07/06,2393,億光            ,210000,45000,0,2000,8000,11000,160000
2012/07/06,1527,鑽全            ,155000,2000,0,0,0,0,153000
2012/07/06,8105,凌巨            ,154000,17000,0,0,12000,2000,147000
2012/07/06,2101,南港            ,254000,41000,0,2000,3000,69000,145000
2012/07/06,4141,F-龍燈          ,2000,0,136000,0,0,0,138000
2012/07/06,1704,榮化            ,175000,39000,0,2000,23000,25000,132000
2012/07/06,3454,晶睿            ,31000,0,93000,0,6000,0,130000
2012/07/06,9939,宏全            ,265600,34000,0,100000,9000,11000,129600
2012/07/06,1305,華夏            ,120000,0,0,0,0,0,120000
2012/07/06,2344,華邦電          ,283000,123000,0,0,27000,68000,119000
2012/07/06,1476,儒鴻            ,42000,0,100000,0,6000,35000,113000
2012/07/06,2833,台壽保          ,116000,11000,0,0,5000,2000,108000
2012/07/06,1707,葡萄王          ,151000,59250,30000,50000,34000,0,105750
2012/07/06,3036,文曄            ,105000,0,0,0,7000,11000,101000
2012/07/06,3653,健策            ,6000,3000,0,0,94000,0,97000
2012/07/06,8081,致新            ,46000,0,0,20000,73000,5000,94000
2012/07/06,3703,欣陸            ,99000,5000,0,0,0,0,94000
2012/07/06,1440,南紡            ,151000,18000,0,0,0,42000,91000
2012/07/06,2439,美律            ,116000,88000,60000,0,3000,0,91000
2012/07/06,2464,盟立            ,91000,8000,0,0,6000,0,89000
2012/07/06,3019,亞光            ,112000,28000,0,0,5000,0,89000
2012/07/06,2608,大榮            ,86000,17000,0,0,19000,0,88000
2012/07/06,9914,美利達          ,298000,156000,112000,0,21000,189000,86000
2012/07/06,912000,晨訊科          ,86000,0,0,0,0,0,86000
2012/07/06,1455,集盛            ,110000,26000,0,0,0,0,84000
2012/07/06,2315,神達            ,239000,107000,0,0,51000,103000,80000
2012/07/06,1723,中碳            ,82000,2000,0,0,3000,3000,80000
2012/07/06,2618,長榮航          ,3991000,4077500,0,7000,329000,157000,78500
2012/07/06,1907,永豐餘          ,80000,6000,0,0,0,0,74000
2012/07/06,2340,光磊            ,95000,22000,0,0,0,0,73000
2012/07/06,1733,五鼎            ,13000,43000,127000,25000,0,0,72000
2012/07/06,1589,F-永冠          ,0,0,20000,0,51000,0,71000
2012/07/06,5305,敦南            ,83000,22000,0,0,10000,0,71000
2012/07/06,1736,喬山            ,82000,12000,0,0,0,0,70000
2012/07/06,2023,燁輝            ,37000,17000,0,0,50000,0,70000
2012/07/06,3356,奇偶            ,17000,0,50000,0,2000,0,69000
2012/07/06,1701,中化            ,90000,24000,0,0,0,0,66000
2012/07/06,5203,訊連            ,39000,17000,61000,20000,2000,0,65000
2012/07/06,2855,統一證          ,64000,4000,0,0,4000,0,64000
2012/07/06,6189,豐藝            ,92000,28000,0,0,0,0,64000
2012/07/06,2376,技嘉            ,74000,54000,0,0,60000,16000,64000
2012/07/06,5388,中磊            ,163000,113000,0,0,89000,75000,64000
2012/07/06,6209,今國光          ,10000,2000,400000,349000,3000,0,62000
2012/07/06,1232,大統益          ,9000,12000,0,0,65000,0,62000
2012/07/06,2451,創見            ,190000,75000,0,1000,3000,55000,62000
2012/07/06,3638,F-IML           ,130000,60000,0,0,11000,20000,61000
2012/07/06,6152,百一            ,0,2000,0,0,63000,0,61000
2012/07/06,3622,洋華            ,112000,38000,0,35000,95000,75000,59000
2012/07/06,2401,凌陽            ,59000,10000,0,0,9000,0,58000
2012/07/06,1708,東鹼            ,61000,1000,0,0,0,3000,57000
2012/07/06,2705,六福            ,92000,36000,0,0,0,0,56000
2012/07/06,1709,和益            ,72000,18000,0,0,0,0,54000
2012/07/06,3557,嘉威            ,53000,0,0,0,1000,0,54000
2012/07/06,2812,台中銀          ,252000,11000,0,0,13000,200000,54000
2012/07/06,1737,臺鹽            ,53000,0,0,0,0,0,53000
2012/07/06,2727,王品            ,6000,5000,61000,11000,2000,1000,52000
2012/07/06,911610,聯環            ,50000,0,0,0,0,0,50000
2012/07/06,3645,達邁            ,3000,2000,50000,0,7000,8000,50000
2012/07/06,2374,佳能            ,45000,7000,0,0,11000,0,49000
2012/07/06,2637,F-慧洋          ,14000,78000,170000,0,0,60000,46000
2012/07/06,911626,MSH             ,46000,0,0,0,0,0,46000
2012/07/06,8008,建興電          ,23000,0,0,0,23000,0,46000
2012/07/06,2059,川湖            ,42000,11000,0,0,25000,11000,45000
2012/07/06,1507,永大            ,83000,18000,0,21000,0,0,44000
