年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2013/03/19,2206,三陽            ,15341000,861000,0,0,204000,355000,14329000
2013/03/19,2317,鴻海            ,18494900,14146751,656000,0,3380000,1319000,7065149
2013/03/19,2882,國泰金          ,14633000,8030915,782000,1594000,3170000,2077000,6883085
2013/03/19,2308,台達電          ,9273000,2736081,493000,923000,106000,277000,5935919
2013/03/19,2888,新光金          ,14386000,10637059,0,0,4029000,2543000,5234941
2013/03/19,2884,玉山金          ,9691500,4398546,0,0,307000,430000,5169954
2013/03/19,2301,光寶科          ,5043000,1643735,1478000,0,44000,134000,4787265
2013/03/19,2883,開發金          ,17256000,12374000,0,0,1975000,3341000,3516000
2013/03/19,2331,精英            ,712000,203000,0,0,3361000,687000,3183000
2013/03/19,3231,緯創            ,3998000,1075360,0,0,204000,92000,3034640
2013/03/19,2890,永豐金          ,7402000,5292047,300000,200000,1545000,753000,3001953
2013/03/19,3481,群創            ,17205000,9768178,1104000,1550000,210000,4335000,2865822
2013/03/19,2823,中壽            ,7658000,6727000,2000000,1175000,496000,307000,1945000
2013/03/19,9105,泰金寶          ,1600000,0,0,0,0,0,1600000
2013/03/19,9136,巨騰            ,1675000,147000,0,0,120000,91000,1557000
2013/03/19,2498,宏達電          ,1837966,1979278,50000,59000,2062000,532000,1379688
2013/03/19,1440,南紡            ,766000,381000,800000,0,420000,355000,1250000
2013/03/19,2323,中環            ,1602000,210000,0,0,105000,370000,1127000
2013/03/19,6257,矽格            ,371000,153000,874000,0,0,0,1092000
2013/03/19,1723,中碳            ,1257000,453000,209000,0,30000,2000,1041000
2013/03/19,6278,台表科          ,560000,29000,15000,0,498300,35000,1009300
2013/03/19,3474,華亞科          ,1352000,743882,0,0,339000,0,947118
2013/03/19,6269,台郡            ,792000,439000,635000,488000,426000,29000,897000
2013/03/19,1507,永大            ,923300,108000,0,0,40000,0,855300
2013/03/19,6239,力成            ,1222000,577749,0,0,381000,187000,838251
2013/03/19,2327,國巨            ,924000,153000,0,0,1000,10000,762000
2013/03/19,2809,京城銀          ,1518000,583000,54000,0,159000,386000,762000
2013/03/19,2845,遠東銀          ,1023000,271000,0,0,0,0,752000
2013/03/19,5871,F-中租          ,2574000,599000,0,1008200,274000,493000,747800
2013/03/19,0055,寶金融          ,125000,0,0,0,663000,120000,668000
2013/03/19,1447,力鵬            ,789000,134000,0,0,0,0,655000
2013/03/19,1216,統一            ,5726000,5151026,100000,0,256000,316000,614974
2013/03/19,1734,杏輝            ,324000,38000,302000,0,70000,45000,613000
2013/03/19,8105,凌巨            ,646000,33000,0,0,0,0,613000
2013/03/19,006206,元上證          ,0,0,0,0,1803000,1241000,562000
2013/03/19,2454,聯發科          ,3574000,3277250,23000,100,553000,352000,520650
2013/03/19,2337,旺宏            ,1890000,2126000,200000,0,1103000,562000,505000
2013/03/19,4906,正文            ,305000,124000,815000,0,71000,566000,501000
2013/03/19,8078,華寶            ,584000,140000,0,0,57000,47000,454000
2013/03/19,2353,宏??            ,3149000,3584000,0,0,1353000,495000,423000
