年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2012/10/17,2409,友達            ,93474000,36713480,2519000,0,4030000,10675000,52634520
2012/10/17,3481,群創            ,28571000,16130227,9032000,0,135000,586000,21021773
2012/10/17,2888,新光金          ,15644000,5975670,8000,0,554000,638000,9592330
2012/10/17,2353,宏??            ,6580000,964015,3000,0,657000,410000,5865985
2012/10/17,1101,台泥            ,5745000,1176580,183000,35000,117000,259000,4574420
2012/10/17,3042,晶技            ,4650950,103000,785000,500000,54000,422000,4464950
2012/10/17,4938,和碩            ,14618000,10216426,884000,811000,652000,863000,4263574
2012/10/17,3702,大聯大          ,5129100,1146530,2000,0,220000,89000,4115570
2012/10/17,2474,可成            ,5167000,2017230,671000,113000,534000,224000,4017770
2012/10/17,2887,台新金          ,8725000,5536228,8000,0,1497000,1934000,2759772
2012/10/17,2448,晶電            ,2497000,914000,301000,0,159000,142000,1901000
2012/10/17,2915,潤泰全          ,686000,194000,1335000,15000,238000,235000,1815000
2012/10/17,1305,華夏            ,1867000,45000,0,0,0,50000,1772000
2012/10/17,6282,康舒            ,1631000,57952,0,0,204000,35000,1742048
2012/10/17,9945,潤泰新          ,1555000,426000,614000,9000,197000,213000,1718000
2012/10/17,2301,光寶科          ,2232000,1039703,558000,0,89000,126000,1713297
2012/10/17,2002,中鋼            ,8498600,6239660,15000,0,251000,813000,1711940
2012/10/17,1216,統一            ,3830000,2175199,47000,0,105000,209000,1597801
2012/10/17,2325,矽品            ,6727015,5555185,197000,0,153000,240000,1281830
2012/10/17,1312,國喬            ,1757000,417353,0,0,8000,119000,1228647
2012/10/17,2610,華航            ,2162000,1006000,3000,0,114000,48000,1225000
2012/10/17,2308,台達電          ,5310800,3797807,13000,240000,42000,148000,1179993
2012/10/17,2449,京元電          ,846000,111000,720000,40000,57000,381000,1091000
2012/10/17,1402,遠東新          ,1047000,867522,41000,94500,994000,53000,1066978
2012/10/17,2344,華邦電          ,1355000,393000,0,0,72000,123000,911000
2012/10/17,2534,宏盛            ,45000,208000,751000,0,300000,0,888000
2012/10/17,3673,F-TPK           ,1413000,852850,126000,96000,307000,104000,793150
2012/10/17,1789,神隆            ,1180000,179000,0,158000,1000,73000,771000
2012/10/17,1303,南亞            ,3394000,2059478,6000,400000,3000,194000,749522
2012/10/17,2006,東鋼            ,213000,414000,872000,0,70000,9000,732000
2012/10/17,2356,英業達          ,2387000,693455,3000,500000,136000,607000,725545
2012/10/17,2313,華通            ,1655000,574000,0,0,384000,800000,665000
2012/10/17,9904,寶成            ,4081000,3321393,182000,310000,456000,437000,650607
2012/10/17,3005,神基            ,1097000,461000,0,0,50000,79000,607000
2012/10/17,2204,中華            ,1470000,700000,0,0,55000,279000,546000
2012/10/17,3698,隆達            ,0,153000,835000,159000,169000,152000,540000
2012/10/17,2458,義隆            ,1767000,457000,121000,0,355000,1255000,531000
2012/10/17,5203,訊連            ,82000,132000,575000,0,2000,5000,522000
2012/10/17,1605,華新            ,1677000,1104450,4000,0,103000,163000,516550
2012/10/17,2323,中環            ,1469000,1169256,0,0,214000,0,513744
2012/10/17,911616,杜康            ,512000,19000,0,0,6000,1000,498000
2012/10/17,2881,富邦金          ,5489000,5104814,51000,0,398000,342000,491186
2012/10/17,2385,群光            ,623000,181058,1000,0,44000,18000,468942
2012/10/17,3044,健鼎            ,1097000,649000,0,0,72000,62000,458000
