年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2014/12/16,0061,寶滬深          ,19000,88000,0,0,805000,680000,19593000,5664000,13985000,80500019593000,6800005664000
2014/12/16,006205,FB上証          ,0,1233000,646000,0,346000,212000,16752000,8527000,7772000,34600016752000,2120008527000
2014/12/16,2409,友達            ,12143000,6801595,0,63000,16000,0,1144000,28000,6410405,160001144000,028000
2014/12/16,3481,群創            ,14922296,8434000,0,57000,157000,200000,1200000,1238000,6350296,1570001200000,2000001238000
2014/12/16,2603,長榮            ,2798000,1556000,5206000,0,376000,320000,420000,1084000,5840000,376000420000,3200001084000
2014/12/16,006206,元上證          ,660000,50000,0,0,40000,170000,9927000,5050000,5357000,400009927000,1700005050000
2014/12/16,006207,FH滬深          ,1000,2000,641000,100000,489000,50000,6213000,2711000,4481000,4890006213000,500002711000
2014/12/16,2615,萬海            ,4720000,1983000,772000,11000,170000,455000,570000,45000,3738000,170000570000,45500045000
2014/12/16,2337,旺宏            ,3046000,29000,0,0,67000,0,0,0,3084000,670000,00
2014/12/16,4904,遠傳            ,4882000,1865108,0,28000,35000,6000,0,0,3017892,350000,60000
2014/12/16,3231,緯創            ,7441000,5556000,11000,304000,395000,100000,908000,231000,2564000,395000908000,100000231000
2014/12/16,9904,寶成            ,4348000,1978446,152000,355000,63000,60000,217000,101000,2285554,63000217000,60000101000
2014/12/16,2308,台達電          ,3454066,1490024,103000,62000,20000,54000,193000,94000,2070042,20000193000,5400094000
2014/12/16,2382,廣達            ,4992000,3138579,147000,29000,33000,5000,10000,15000,1994421,3300010000,500015000
2014/12/16,2352,佳世達          ,1337000,743000,0,8000,39000,56000,1653000,278000,1944000,390001653000,56000278000
2014/12/16,2886,兆豐金          ,6688000,5390067,96000,0,479000,6000,0,100000,1766933,4790000,6000100000
2014/12/16,2324,仁寶            ,10377000,7656023,0,4000,3000,0,98000,1069000,1748977,300098000,01069000
2014/12/16,6116,彩晶            ,1821443,331000,0,0,65000,0,139000,52000,1642443,65000139000,052000
2014/12/16,6505,台塑化          ,2283000,1033000,0,46000,291000,0,0,0,1495000,2910000,00
2014/12/16,2206,三陽            ,328000,608000,0,5000,187000,30000,2003000,393000,1482000,1870002003000,30000393000
2014/12/16,2331,精英            ,1418000,574000,0,0,12000,0,556000,62000,1350000,12000556000,062000
2014/12/16,9939,宏全            ,1350000,424000,61000,0,5000,3000,279000,5000,1263000,5000279000,30005000
