年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/06/16,2886,兆豐金          ,29037000,10443000,0,267000,160000,0,45000,193000,18339000,16000045000,0193000
2015/06/16,2885,元大金          ,20777000,11062218,639000,402000,300000,2631000,910000,220000,8310782,300000910000,2631000220000
2015/06/16,2891,中信金          ,32546066,26024657,0,73000,50000,0,674000,533000,6639409,50000674000,0533000
2015/06/16,2317,鴻海            ,17298000,12492902,13000,39000,0,0,1465000,1824000,4420098,01465000,01824000
2015/06/16,2890,永豐金          ,10328910,6056972,0,3000,0,0,0,0,4268938,00,00
2015/06/16,3005,神基            ,3670000,454000,0,0,0,6000,1335000,962000,3583000,01335000,6000962000
2015/06/16,006205,FB上証          ,82000,22000,0,300000,195000,110000,11705000,8299000,3251000,19500011705000,1100008299000
2015/06/16,00639,深100           ,0,0,0,0,400000,0,4745000,2693000,2452000,4000004745000,02693000
2015/06/16,006207,FH滬深          ,0,31000,0,0,575000,1000,3373000,1620000,2296000,5750003373000,10001620000
2015/06/16,00632R,T50反1          ,0,0,0,0,850000,767000,3849000,1666000,2266000,8500003849000,7670001666000
2015/06/16,3030,德律            ,107000,530000,0,5000,2176000,348000,1024000,273000,2151000,21760001024000,348000273000
2015/06/16,006206,元上證          ,500000,0,0,0,186000,91000,3859000,2382000,2072000,1860003859000,910002382000
2015/06/16,1457,宜進            ,1826000,384000,0,0,750000,177000,0,0,2015000,7500000,1770000
2015/06/16,2455,全新            ,654000,240000,420000,0,170000,7000,755000,130000,1622000,170000755000,7000130000
2015/06/16,6285,啟??            ,1286000,176000,810000,324000,45000,83000,23000,11000,1570000,4500023000,8300011000
2015/06/16,2515,中工            ,1815000,458000,0,0,0,0,0,0,1357000,00,00
2015/06/16,2485,兆赫            ,793000,279000,182000,0,335000,77000,482000,244000,1192000,335000482000,77000244000
2015/06/16,5388,中磊            ,1118000,222000,50000,0,10000,87000,322000,38000,1153000,10000322000,8700038000
2015/06/16,6505,台塑化          ,4144000,3186771,0,0,75000,0,0,0,1032229,750000,00
2015/06/16,2882,國泰金          ,9380000,7673100,0,533000,18000,128000,128000,193000,998900,18000128000,128000193000
2015/06/16,1536,和大            ,1235000,438000,70000,57000,5000,83000,83000,40000,775000,500083000,8300040000
2015/06/16,6456,F-GIS           ,330000,186000,0,0,573000,40000,0,0,677000,5730000,400000
2015/06/16,3376,新日興          ,812000,255000,16000,0,35000,12000,154000,79000,671000,35000154000,1200079000
2015/06/16,2637,F-慧洋          ,265000,340000,0,0,702000,0,0,0,627000,7020000,00
2015/06/16,8039,台虹            ,657000,54000,0,0,0,0,3000,5000,601000,03000,05000
2015/06/16,1216,統一            ,5971000,5099653,0,2000,22000,235000,59000,142000,573347,2200059000,235000142000
2015/06/16,3450,聯鈞            ,691000,163000,7000,74000,3000,8000,94000,22000,528000,300094000,800022000
2015/06/16,3706,神達            ,951000,641000,0,0,152000,300000,445000,99000,508000,152000445000,30000099000
2015/06/16,6239,力成            ,1412000,1257000,58000,55000,234000,0,185000,73000,504000,234000185000,073000
2015/06/16,3037,欣興            ,1774000,2182000,0,0,10000,127000,1080000,62000,493000,100001080000,12700062000
2015/06/16,1227,佳格            ,798000,413000,0,0,134000,71000,40000,0,488000,13400040000,710000
2015/06/16,1464,得力            ,1275281,762000,470000,0,226000,761000,0,0,448281,2260000,7610000
2015/06/16,2439,美律            ,646000,538000,0,0,46000,28000,408000,87000,447000,46000408000,2800087000
2015/06/16,2308,台達電          ,3324966,2857000,65000,0,0,44000,37000,92000,433966,037000,4400092000
2015/06/16,8150,南茂            ,312000,386000,500000,0,0,0,0,0,426000,00,00
2015/06/16,00636,CFA50           ,0,1532000,0,0,0,0,9010000,7053000,425000,09010000,07053000
2015/06/16,2331,精英            ,109000,288000,0,0,0,0,642000,94000,369000,0642000,094000
2015/06/16,2103,台橡            ,732000,362800,0,0,0,4000,0,0,365200,00,40000
2015/06/16,2316,楠梓電          ,715000,340000,0,0,5000,27000,0,0,353000,50000,270000
2015/06/16,3673,F-TPK           ,1085295,1465000,0,0,365000,73000,425000,7000,330295,365000425000,730007000
2015/06/16,1477,聚陽            ,394000,226000,145000,0,5000,4000,7000,41000,280000,50007000,400041000
2015/06/16,3060,銘異            ,365000,127000,0,0,109000,77000,0,0,270000,1090000,770000
2015/06/16,1312,國喬            ,843000,517000,60000,248000,93000,0,169000,132000,268000,93000169000,0132000
2015/06/16,2488,漢平            ,251000,62000,122000,0,0,52000,0,0,259000,00,520000
2015/06/16,6282,康舒            ,905000,716029,0,0,30000,0,53000,20000,251971,3000053000,020000
2015/06/16,2390,云辰            ,499000,263000,0,0,9000,2000,1000,0,244000,90001000,20000
2015/06/16,2108,南帝            ,943000,321000,0,242000,0,172000,0,0,208000,00,1720000
2015/06/16,9106,新焦點          ,208000,0,0,0,0,0,0,0,208000,00,00
2015/06/16,1449,佳和            ,218000,20000,0,0,1000,0,0,0,199000,10000,00
2015/06/16,2402,毅嘉            ,367000,140000,0,0,0,0,15000,55000,187000,015000,055000
2015/06/16,9188,精熙            ,182000,0,0,0,0,0,0,0,182000,00,00
2015/06/16,6120,達運            ,741000,513000,0,0,3000,0,108000,160000,179000,3000108000,0160000
2015/06/16,2547,日勝生          ,373381,189000,0,0,2000,0,2000,10000,178381,20002000,010000
2015/06/16,1452,宏益            ,407000,114000,0,0,0,120000,0,0,173000,00,1200000
2015/06/16,9802,F-鈺齊          ,160000,63000,111000,0,23000,0,18000,88000,161000,2300018000,088000
2015/06/16,1339,昭輝            ,201000,55000,0,0,6000,0,0,0,152000,60000,00
2015/06/16,00635U,元黃金          ,0,0,0,0,0,0,955000,808000,147000,0955000,0808000
2015/06/16,2387,精元            ,590000,210000,0,192000,0,50000,0,0,138000,00,500000
2015/06/16,2231,為升            ,138000,43000,7000,0,5000,2000,34000,4000,135000,500034000,20004000
2015/06/16,6197,佳必琪          ,207000,74000,0,0,0,0,0,0,133000,00,00
2015/06/16,2393,億光            ,486000,397000,0,0,50000,1000,3000,14000,127000,500003000,100014000
2015/06/16,2499,東貝            ,339000,308000,0,0,21000,4000,92000,14000,126000,2100092000,400014000
2015/06/16,8210,勤誠            ,6000,79000,0,0,194000,0,0,0,121000,1940000,00
