年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2016/01/13,3481,群創            ,27386171,13215728,0,3000,45000,3459000,136000,1931000,8958443,45000136000,34590001931000
2016/01/13,2412,中華電          ,11676854,4351113,39000,110000,20000,38000,0,0,7236741,200000,380000
2016/01/13,1319,東陽            ,4743000,389000,990000,0,56000,114000,1676000,375000,6587000,560001676000,114000375000
2016/01/13,1301,台塑            ,9296550,3339956,151000,1000,0,80000,116000,5000,6137594,0116000,800005000
2016/01/13,6282,康舒            ,5333000,548000,0,0,32000,55000,1045000,64000,5743000,320001045000,5500064000
2016/01/13,2615,萬海            ,6108000,1559000,160000,0,0,10000,1067000,227000,5539000,01067000,10000227000
2016/01/13,6505,台塑化          ,5414372,1488012,938000,151000,0,214000,0,0,4499360,00,2140000
2016/01/13,2330,台積電          ,41387908,34786132,94000,531000,365000,756000,267000,1707000,4333776,365000267000,7560001707000
2016/01/13,2002,中鋼            ,8102976,4592226,350000,3000,0,0,0,1000,3856750,00,01000
2016/01/13,2883,開發金          ,13455000,10039147,0,5000,0,0,189000,115000,3484853,0189000,0115000
2016/01/13,3514,昱晶            ,4614000,909500,684000,850000,136000,467000,0,0,3207500,1360000,4670000
2016/01/13,2890,永豐金          ,13425695,10269614,0,3000,60000,250000,27000,55000,2935081,6000027000,25000055000
2016/01/13,2448,晶電            ,3695000,2584000,341000,0,394000,96000,1701000,629000,2822000,3940001701000,96000629000
2016/01/13,6116,彩晶            ,3260000,608170,0,0,0,0,57000,29000,2679830,057000,029000
2016/01/13,2356,英業達          ,13817538,10263311,665000,3000,218000,824000,593000,1536000,2667227,218000593000,8240001536000
2016/01/13,3596,智易            ,2664000,208000,0,100000,5000,40000,0,0,2321000,50000,400000
2016/01/13,2847,大眾銀          ,3008000,920000,0,0,14000,0,0,0,2102000,140000,00
2016/01/13,4934,太極            ,1858000,98000,0,0,4000,1000,0,0,1763000,40000,10000
2016/01/13,2405,浩鑫            ,1845000,156000,0,0,0,0,0,0,1689000,00,00
2016/01/13,00631L,T50正2          ,0,0,0,0,81000,195000,5121000,3363000,1644000,810005121000,1950003363000
2016/01/13,3698,隆達            ,2391000,762000,0,0,0,24000,6000,1000,1610000,06000,240001000
2016/01/13,5871,F-中租          ,2715000,1119597,0,1000,4000,32000,32000,9000,1589403,400032000,320009000
2016/01/13,2313,華通            ,3812000,2077873,0,177000,40000,80000,92000,130000,1479127,4000092000,80000130000
2016/01/13,1216,統一            ,6225157,4866484,0,23000,0,0,97000,20000,1412673,097000,020000
2016/01/13,00640L,日本2X          ,0,0,0,0,20000,0,3167000,1949000,1238000,200003167000,01949000
2016/01/13,2455,全新            ,2801000,1306500,200000,95000,10000,235000,37000,181000,1230500,1000037000,235000181000
2016/01/13,2345,智邦            ,1996000,817000,414000,72000,41000,336000,24000,34000,1216000,4100024000,33600034000
2016/01/13,2383,台光電          ,1253000,145000,0,39000,20000,0,115000,21000,1183000,20000115000,021000
2016/01/13,2406,國碩            ,3908000,1909000,0,957000,0,36000,166000,18000,1154000,0166000,3600018000
2016/01/13,3041,揚智            ,1848000,701000,0,0,5000,0,0,0,1152000,50000,00
2016/01/13,2324,仁寶            ,5784832,4287281,0,2000,0,174000,152000,335000,1138551,0152000,174000335000
2016/01/13,1101,台泥            ,3735565,2613136,0,1000,0,53000,67000,16000,1119429,067000,5300016000
2016/01/13,2498,宏達電          ,1918000,1227482,0,1000,52000,62000,491000,117000,1053518,52000491000,62000117000
2016/01/13,2379,瑞昱            ,1781000,782455,4000,20000,0,31000,62000,29000,984545,062000,3100029000
2016/01/13,3519,綠能            ,2149000,863000,0,0,77000,390000,0,0,973000,770000,3900000
2016/01/13,2301,光寶科          ,3881802,3018002,0,1000,38000,0,71000,10000,961800,3800071000,010000
2016/01/13,1704,榮化            ,1027000,106500,0,81000,2000,48000,55000,56000,792500,200055000,4800056000
2016/01/13,3561,昇陽科          ,1198000,328500,0,0,0,78000,0,0,791500,00,780000
2016/01/13,1722,台肥            ,1262000,515827,0,2000,0,11000,0,0,733173,00,110000
2016/01/13,4904,遠傳            ,1889000,1153410,0,0,0,2000,3000,6000,730590,03000,20006000
2016/01/13,6230,超眾            ,808000,123000,100000,0,32000,89000,0,0,728000,320000,890000
2016/01/13,6456,F-GIS           ,938000,164000,0,105000,30000,5000,63000,32000,725000,3000063000,500032000
2016/01/13,2474,可成            ,7053881,7254310,380000,22000,336000,370000,763000,177000,709571,336000763000,370000177000
2016/01/13,2408,南亞科          ,2566789,1601000,0,0,10000,136000,30000,172000,697789,1000030000,136000172000
2016/01/13,6269,台郡            ,1422000,740000,0,0,26000,48000,29000,35000,654000,2600029000,4800035000
2016/01/13,2888,新光金          ,14718000,14027403,0,4000,0,0,123000,160000,649597,0123000,0160000
2016/01/13,3044,健鼎            ,1115000,483000,0,0,19000,18000,11000,18000,626000,1900011000,1800018000
2016/01/13,2456,奇力新          ,1337000,91000,103000,588000,30000,105000,14000,77000,623000,3000014000,10500077000
2016/01/13,2421,建準            ,218000,39000,400000,0,0,0,0,0,579000,00,00
2016/01/13,2915,潤泰全          ,1301000,751477,0,0,0,22000,49000,0,576523,049000,220000
2016/01/13,1789,神隆            ,1057000,491901,0,0,0,14000,0,15000,536099,00,1400015000
2016/01/13,1589,F-永冠          ,543000,333000,156000,71000,106000,16000,181000,43000,523000,106000181000,1600043000
2016/01/13,3059,華晶科          ,610000,65000,0,0,0,32000,1000,13000,501000,01000,3200013000
2016/01/13,2605,新興            ,538000,87500,0,0,17000,0,0,0,467500,170000,00
2016/01/13,1460,宏遠            ,134000,66000,388000,0,0,0,0,0,456000,00,00
2016/01/13,3380,明泰            ,993000,547000,0,0,10000,10000,0,0,446000,100000,100000
2016/01/13,2325,矽品            ,3615000,3596355,49000,2000,471000,30000,31000,105000,432645,47100031000,30000105000
2016/01/13,006205,FB上証          ,50000,0,0,0,180000,50000,2078000,1827000,431000,1800002078000,500001827000
2016/01/13,8464,億豐            ,411000,107000,201000,0,117000,195000,0,0,427000,1170000,1950000
