年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/07/20,2313,華通            ,6302000,1325968,4339000,0,404000,1816000,5653000,942000,12614032,4040005653000,1816000942000
2015/07/20,2325,矽品            ,16208654,5183839,0,174000,282000,226000,578000,306000,11178815,282000578000,226000306000
2015/07/20,2303,聯電            ,28646661,16875898,0,0,0,12000,247000,1312000,10693763,0247000,120001312000
2015/07/20,2886,兆豐金          ,10702470,5360400,747000,0,0,20000,395000,118000,6346070,0395000,20000118000
2015/07/20,2330,台積電          ,22325637,15300189,507000,459000,230000,556000,323000,730000,6340448,230000323000,556000730000
2015/07/20,2823,中壽            ,5126499,3626000,4564000,33000,30000,19000,444000,416000,6070499,30000444000,19000416000
2015/07/20,4938,和碩            ,3994402,2416782,2442000,0,125000,95000,405000,225000,4229620,125000405000,95000225000
2015/07/20,2882,國泰金          ,7109244,3204341,275000,0,120000,250000,392000,231000,4210903,120000392000,250000231000
2015/07/20,2317,鴻海            ,7693693,5108596,1297000,151000,610000,75000,460000,918000,3808097,610000460000,75000918000
2015/07/20,2891,中信金          ,6513138,8256634,5799000,763751,0,101000,312000,187000,3315753,0312000,101000187000
2015/07/20,1326,台化            ,2546366,829000,0,0,288000,2000,354000,0,2357366,288000354000,20000
2015/07/20,00633L,上証2X          ,46000,21000,0,0,29000,10000,18100000,15916000,2228000,2900018100000,1000015916000
2015/07/20,01003T,新光R1          ,2165000,0,0,0,0,0,0,0,2165000,00,00
2015/07/20,2353,宏??            ,2948716,443000,0,1000,0,21000,43000,365000,2161716,043000,21000365000
2015/07/20,00639,深100           ,0,0,3600000,0,10000,10000,3311000,5003000,1908000,100003311000,100005003000
2015/07/20,6116,彩晶            ,2483000,238000,0,0,0,80000,0,312000,1853000,00,80000312000
2015/07/20,2885,元大金          ,9462358,6937000,0,0,0,2000,303000,995000,1831358,0303000,2000995000
2015/07/20,006205,FB上証          ,100000,23000,0,0,439000,369000,5785000,4112000,1820000,4390005785000,3690004112000
2015/07/20,2105,正新            ,1199141,1755000,0,75000,2344000,0,19000,0,1732141,234400019000,00
2015/07/20,2311,日月光          ,16768524,13304764,69000,759000,11000,318000,291000,1091000,1666760,11000291000,3180001091000
2015/07/20,2847,大眾銀          ,1520000,71000,0,0,40000,0,0,0,1489000,400000,00
2015/07/20,6153,嘉聯益          ,1335000,39000,0,0,14000,13000,237000,46000,1488000,14000237000,1300046000
2015/07/20,4915,致伸            ,1643000,67000,0,0,0,1000,103000,246000,1432000,0103000,1000246000
2015/07/20,2382,廣達            ,2331510,829000,97000,216000,0,4000,63000,35000,1407510,063000,400035000
