年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2013/01/07,2881,富邦金          ,12886000,5353991,190000,135000,378000,223000,7742009
2013/01/07,2887,台新金          ,11363000,5576974,0,98000,58000,102000,5644026
2013/01/07,2337,旺宏            ,4197410,1687969,1000,74000,2925000,343000,5018441
2013/01/07,0061,寶滬深          ,0,2244000,0,0,11923000,5087000,4592000
2013/01/07,2603,長榮            ,4880000,1424600,1869000,287000,247000,718000,4566400
2013/01/07,3576,新日光          ,696000,445500,3829000,11000,47000,201000,3914500
2013/01/07,2888,新光金          ,6274000,2686800,0,118000,329000,180000,3618200
2013/01/07,3514,昱晶            ,531000,812000,3052000,7000,629000,305000,3088000
2013/01/07,2885,元大金          ,7971000,3867200,0,506000,81000,658000,3020800
2013/01/07,1409,新纖            ,1552000,264000,0,48000,2002000,272000,2970000
2013/01/07,2002,中鋼            ,6134422,4799700,1000000,337000,1679000,894000,2782722
2013/01/07,1305,華夏            ,3377000,995000,323000,142000,90000,106000,2547000
2013/01/07,1326,台化            ,4549000,1817200,404000,351000,91000,521000,2354800
2013/01/07,2610,華航            ,6326000,2081000,0,1130000,62000,1027863,2149137
2013/01/07,911611,中泰山          ,2050000,0,0,0,0,0,2050000
2013/01/07,1201,味全            ,1600000,341000,341000,12000,470000,29000,2029000
2013/01/07,2474,可成            ,3455000,2742300,1010000,10000,1546000,1261678,1997022
2013/01/07,1303,南亞            ,7265000,5535100,360000,127000,178000,166000,1974900
2013/01/07,1907,永豐餘          ,1913000,185000,0,36000,299000,28000,1963000
2013/01/07,2618,長榮航          ,4858000,2837800,721000,580000,407000,627000,1941200
2013/01/07,2607,榮運            ,658500,108000,760000,29000,1005000,433000,1853500
2013/01/07,2344,華邦電          ,2065000,368000,0,117000,0,13000,1567000
2013/01/07,9907,統一實          ,1279000,160000,130000,38000,322000,25000,1508000
2013/01/07,3231,緯創            ,2183000,1084400,162000,20000,281000,109000,1412600
2013/01/07,2609,陽明            ,798000,983800,1853000,55000,7000,218000,1401200
2013/01/07,2504,國產            ,932000,209000,0,38000,720000,24000,1381000
2013/01/07,9136,巨騰            ,853000,30000,0,0,638000,150000,1311000
2013/01/07,2547,日勝生          ,43000,224000,1100000,5000,959000,588000,1285000
2013/01/07,1710,東聯            ,883000,445400,326000,19000,606000,73000,1277600
2013/01/07,2845,遠東銀          ,1303000,181000,25000,5000,0,10000,1132000
2013/01/07,1308,亞聚            ,59000,112000,1477000,2000,68000,366000,1124000
2013/01/07,2501,國建            ,1320000,205000,20000,2000,0,26000,1107000
2013/01/07,1504,東元            ,3302000,2602500,0,4000,459000,63000,1091500
2013/01/07,8271,宇瞻            ,29000,129000,1164000,2000,0,0,1062000
2013/01/07,2385,群光            ,1246000,322500,101000,4000,27000,8000,1039500
2013/01/07,2102,泰豐            ,0,42000,587000,11000,505000,27000,1012000
2013/01/07,1447,力鵬            ,91435,52000,0,27000,988000,13000,987435
2013/01/07,2520,冠德            ,124000,270000,615000,1000,823000,313000,978000
2013/01/07,1101,台泥            ,2272000,1582900,250000,68000,439000,341000,969100
2013/01/07,2031,新光鋼          ,76000,134000,1100000,77000,0,5000,960000
2013/01/07,5534,長虹            ,603000,156000,530000,3000,105000,125000,954000
2013/01/07,2327,國巨            ,1410000,444000,0,47000,0,9000,910000
2013/01/07,1301,台塑            ,3179000,2732443,360000,89000,437000,252000,902557
2013/01/07,2548,華固            ,263000,74000,650000,7000,98000,33000,897000
2013/01/07,2812,台中銀          ,441000,241000,28000,1000,772000,104000,895000
2013/01/07,2889,國票金          ,1525000,560000,0,79000,0,11000,875000
2013/01/07,1313,聯成            ,194000,679000,0,24000,1393000,22000,862000
2013/01/07,910069,新曄            ,815000,0,0,0,0,0,815000
2013/01/07,9939,宏全            ,344000,118000,491000,1000,210000,115000,811000
2013/01/07,2605,新興            ,144000,106000,247000,3000,510000,9000,783000
