年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2013/05/13,2303,聯電            ,155070000,22375000,2539000,3378000,8268000,12929000,127195000
2013/05/13,6116,彩晶            ,16434000,405000,0,0,3437000,600000,18866000
2013/05/13,3481,群創            ,19676000,4450000,452000,652000,200000,4068000,11158000
2013/05/13,2330,台積電          ,15756600,4253384,0,315000,388000,1479000,10097216
2013/05/13,2888,新光金          ,9457000,1729000,0,21000,1284000,4522000,4469000
2013/05/13,0061,寶滬深          ,4068000,551000,0,0,6064000,5968000,3613000
2013/05/13,1305,華夏            ,5988000,418000,0,502000,0,1534000,3534000
2013/05/13,2501,國建            ,2518756,518200,818000,6000,601000,136000,3277556
2013/05/13,1504,東元            ,4503000,1433000,0,7000,60000,26000,3097000
2013/05/13,2356,英業達          ,1689000,154900,1000000,9000,325000,6000,2844100
2013/05/13,6239,力成            ,4274348,1393000,29000,5000,185000,292000,2798348
2013/05/13,2618,長榮航          ,2493204,1929000,2391000,4000,50000,305000,2696204
2013/05/13,0050,台灣50          ,3474000,200000,195000,0,1368000,2367000,2470000
2013/05/13,4938,和碩            ,5067000,2264860,62000,462000,91000,418000,2075140
2013/05/13,2323,中環            ,1863148,222000,0,3000,360000,14000,1984148
2013/05/13,2882,國泰金          ,4966000,1923800,0,99000,280000,1338000,1885200
2013/05/13,2062,橋椿            ,40000,22000,1864000,0,0,0,1882000
2013/05/13,2327,國巨            ,1965600,52000,0,4000,2000,134000,1777600
2013/05/13,3514,昱晶            ,1371000,99000,0,0,647000,309000,1610000
2013/05/13,9945,潤泰新          ,1565000,496490,496000,208000,394000,199000,1551510
2013/05/13,2801,彰銀            ,481000,546350,1481000,12000,269000,128000,1544650
2013/05/13,2475,華映            ,1449000,0,0,0,0,0,1449000
2013/05/13,2301,光寶科          ,3413490,1289014,0,480000,24000,235000,1433476
2013/05/13,8078,華寶            ,261000,1418900,0,0,2627000,67000,1402100
2013/05/13,8039,台虹            ,457000,39000,777000,1000,102000,10000,1286000
2013/05/13,6176,瑞儀            ,1678000,478400,0,48000,50000,24000,1177600
2013/05/13,2887,台新金          ,6017000,3574000,0,43000,333000,1563000,1170000
2013/05/13,2474,可成            ,1911000,492000,199000,2000,405000,861000,1160000
2013/05/13,3045,台灣大          ,1408000,417680,143000,7000,7000,0,1133320
2013/05/13,2379,瑞昱            ,1361000,161300,0,52000,64000,95000,1116700
2013/05/13,1715,萬洲            ,1201000,111000,0,6000,0,0,1084000
2013/05/13,5388,中磊            ,22000,188000,560000,633000,1280000,0,1041000
2013/05/13,3189,景碩            ,1152000,123530,20000,0,115000,139000,1024470
2013/05/13,2890,永豐金          ,3701000,2288000,0,471000,279000,266000,955000
2013/05/13,3576,新日光          ,1570000,641000,0,0,321000,300000,950000
2013/05/13,3698,隆達            ,125000,148000,1114000,130000,83000,97000,947000
2013/05/13,2412,中華電          ,1269000,812616,500000,17000,15000,30000,924384
2013/05/13,2344,華邦電          ,1996000,769800,0,1120000,801000,0,907200
2013/05/13,1451,年興            ,903000,2000,0,2000,0,0,899000
2013/05/13,2204,中華            ,735000,253000,430000,5000,0,17000,890000
2013/05/13,1605,華新            ,742000,308000,0,7000,899000,449000,877000
2013/05/13,2881,富邦金          ,5825000,4359628,300000,901000,711000,738000,837372
2013/05/13,2316,楠梓電          ,818000,0,0,1000,0,0,817000
2013/05/13,1402,遠東新          ,1280000,392000,0,8000,1000,72000,809000
2013/05/13,1102,亞泥            ,2155500,1346900,0,8000,0,11000,789600
2013/05/13,4958,F-臻鼎          ,676000,311670,450000,2000,96000,145000,763330
2013/05/13,2505,國揚            ,425000,45000,0,1000,350000,1000,728000
2013/05/13,2352,佳世達          ,759000,38000,0,3000,0,691,717309
2013/05/13,1537,廣隆            ,33000,43000,780000,1000,0,55000,714000
2013/05/13,1326,台化            ,1345200,413700,35000,11000,57000,304000,708500
2013/05/13,2308,台達電          ,1566000,707000,0,122000,14000,53000,698000
2013/05/13,5534,長虹            ,794000,94000,10000,2000,32000,43000,697000
2013/05/13,6269,台郡            ,302000,8000,406000,0,150000,171000,679000
2013/05/13,4904,遠傳            ,1675600,995230,7000,7000,13000,42000,651370
2013/05/13,1722,台肥            ,1073856,987200,720000,2000,173000,357000,620656
2013/05/13,3376,新日興          ,218000,15000,340000,0,86000,27000,602000
2013/05/13,006205,FB上証          ,603000,0,0,2500000,4188000,1694000,597000
2013/05/13,2498,宏達電          ,1915400,1301075,0,3000,116000,143000,584325
2013/05/13,2845,遠東銀          ,637000,46000,0,8000,0,0,583000
2013/05/13,1513,中興電          ,128000,81000,511000,4000,0,2000,552000
2013/05/13,2315,神達            ,574000,0,0,3000,3000,40000,534000
2013/05/13,2610,華航            ,1055000,497000,0,6000,398000,425000,525000
2013/05/13,2392,正崴            ,800000,284390,0,1000,27000,28000,513610
2013/05/13,3059,華晶科          ,506000,14000,0,0,0,1000,491000
2013/05/13,9136,巨騰            ,372000,117000,0,0,261000,33000,483000
2013/05/13,2449,京元電          ,1008232,130000,0,203000,73000,311000,437232
2013/05/13,1201,味全            ,454184,3000,47000,1000,3000,72000,428184
2013/05/13,2393,億光            ,308000,100000,180000,1000,153000,120000,420000
2013/05/13,5522,遠雄            ,1086000,568000,0,87000,0,16000,415000
2013/05/13,2404,漢唐            ,433000,20000,0,2000,1000,0,412000
2013/05/13,2603,長榮            ,527000,141510,0,9000,91000,70000,397490
2013/05/13,1409,新纖            ,400000,0,0,2000,13000,17000,394000
2013/05/13,1718,中纖            ,3000,110000,0,3000,501000,1000,390000
2013/05/13,9907,統一實          ,223000,243900,364000,4000,98000,54000,383100
2013/05/13,2448,晶電            ,2741000,1951000,0,93000,161000,498000,360000
2013/05/13,1313,聯成            ,68000,6000,300000,2000,0,0,360000
2013/05/13,2889,國票金          ,506600,146000,0,5000,10000,10000,355600
2013/05/13,8215,明基材          ,93000,46170,0,0,300000,0,346830
2013/05/13,2548,華固            ,754000,257229,0,137000,22000,36000,345771
2013/05/13,0056,高股息          ,0,0,0,0,345000,0,345000
2013/05/13,1590,F-亞德          ,703000,365500,24000,0,1000,22000,340500
2013/05/13,2834,臺企銀          ,718000,323000,13000,9000,0,85000,314000
2013/05/13,2362,藍天            ,243000,31000,100000,0,0,0,312000
2013/05/13,2486,一詮            ,390000,84000,0,0,0,0,306000
2013/05/13,1712,興農            ,5000,39000,342000,0,0,6000,302000
2013/05/13,3049,和鑫            ,320000,32000,0,0,0,0,288000
2013/05/13,006207,FH滬深          ,1184000,0,0,0,986000,1884000,286000
2013/05/13,2208,台船            ,302000,16000,0,1000,0,0,285000
2013/05/13,2841,台開            ,344000,64000,0,0,0,2000,278000
2013/05/13,2354,鴻準            ,630000,318070,0,3000,16000,47000,277930
2013/05/13,1702,南僑            ,198000,29000,0,1000,93000,0,261000
2013/05/13,3380,明泰            ,260000,1000,0,1000,0,0,258000
2013/05/13,2880,華南金          ,1037000,715420,0,17000,84000,131000,257580
2013/05/13,3013,晟銘電          ,23000,0,0,0,230000,0,253000
2013/05/13,3042,晶技            ,648000,319000,0,98000,36000,14000,253000
2013/05/13,2454,聯發科          ,2373211,1728000,0,397000,115000,123000,240211
2013/05/13,2461,光群雷          ,235000,0,0,0,0,0,235000
2013/05/13,6257,矽格            ,429036,121000,0,79000,14000,10000,233036
2013/05/13,2105,正新            ,1420000,1265270,63000,109000,294000,184000,218730
2013/05/13,3044,健鼎            ,407000,187450,0,1000,51000,51000,218550
2013/05/13,8046,南電            ,233000,14000,0,1000,0,1000,217000
2013/05/13,4532,瑞智            ,354000,42000,200000,262000,56000,90000,216000
2013/05/13,3034,聯詠            ,1192000,950000,314000,357000,348000,334000,213000
2013/05/13,2408,南亞科          ,327000,121000,0,0,0,0,206000
2013/05/13,1714,和桐            ,236000,32000,0,2000,0,0,202000
2013/05/13,006203,寶摩臺          ,200000,0,0,0,0,0,200000
2013/05/13,6206,飛捷            ,129000,0,85000,20000,60000,55000,199000
2013/05/13,1434,福懋            ,356000,128900,0,3000,0,33000,191100
2013/05/13,2471,資通            ,204000,15000,0,0,0,0,189000
2013/05/13,1234,黑松            ,292000,99000,0,3000,2000,19000,173000
2013/05/13,3406,玉晶光          ,176100,1000,0,588,6000,8000,172512
2013/05/13,4164,承業醫          ,176000,29000,0,0,23000,0,170000
2013/05/13,8070,長華            ,11000,0,140000,2000,20000,0,169000
2013/05/13,2227,裕日車          ,2000,35000,200000,0,0,0,167000
2013/05/13,2402,毅嘉            ,264000,1000,0,6000,20000,111000,166000
2013/05/13,1104,環泥            ,273000,102000,0,5000,0,0,166000
2013/05/13,2705,六福            ,164000,6000,0,0,0,2000,156000
2013/05/13,5007,三星            ,123000,24000,55000,0,0,0,154000
2013/05/13,8110,華東            ,154000,6000,0,0,0,2000,146000
2013/05/13,3062,建漢            ,146000,0,0,0,0,1000,145000
2013/05/13,2847,大眾銀          ,151000,60000,0,2000,163000,111000,141000
2013/05/13,3022,威強電          ,220000,78000,0,2000,0,2000,138000
2013/05/13,8422,可寧衛          ,161000,8000,0,1000,0,17000,135000
2013/05/13,6505,台塑化          ,660000,333640,0,192000,0,0,134360
2013/05/13,2340,光磊            ,164000,29000,0,1000,0,2685,131315
2013/05/13,8131,福懋科          ,136000,9000,0,0,0,0,127000
2013/05/13,2442,新美齊          ,122000,0,0,0,0,1000,121000
2013/05/13,2911,麗嬰房          ,142000,20000,0,0,0,2000,120000
2013/05/13,3702,大聯大          ,1435000,1235000,0,6000,79000,159000,114000
2013/05/13,2328,廣宇            ,116000,0,0,1000,0,3000,112000
2013/05/13,0055,寶金融          ,65000,0,0,0,147000,102000,110000
2013/05/13,6120,達運            ,110000,0,0,1000,0,0,109000
2013/05/13,9103,美德醫          ,109000,0,0,0,0,0,109000
2013/05/13,1531,高林股          ,233000,126000,0,1000,0,0,106000
2013/05/13,6251,定穎            ,173000,72000,0,0,0,0,101000
2013/05/13,9802,F-鈺齊          ,136000,55000,20000,0,0,0,101000
2013/05/13,8105,凌巨            ,108000,8000,0,0,0,0,100000
2013/05/13,5525,順天            ,103000,0,0,4000,0,0,99000
2013/05/13,6166,凌華            ,105000,6000,0,0,0,0,99000
2013/05/13,2103,台橡            ,246000,153000,0,2000,0,1000,90000
2013/05/13,006204,豐臺灣          ,0,0,0,0,249000,160192,88808
2013/05/13,5203,訊連            ,135000,50000,0,0,2000,0,87000
2013/05/13,1708,東鹼            ,101000,18000,0,0,0,0,83000
2013/05/13,3038,全台            ,83000,1000,0,0,1000,1000,82000
2013/05/13,0053,寶電子          ,81000,0,0,0,0,0,81000
2013/05/13,5234,達興            ,11000,10000,80000,0,0,0,81000
2013/05/13,1907,永豐餘          ,84000,0,0,4000,0,2000,78000
2013/05/13,01002T,國泰R1          ,79000,3000,0,0,0,0,76000
2013/05/13,006206,元上證          ,247000,0,0,0,297000,469000,75000
2013/05/13,1440,南紡            ,322000,243000,0,7000,0,0,72000
2013/05/13,3588,通嘉            ,71000,0,0,0,0,0,71000
2013/05/13,2704,國賓            ,71000,1000,0,0,0,0,70000
2013/05/13,3561,昇陽科          ,120000,252000,0,0,201000,0,69000
2013/05/13,9924,福興            ,4000,13000,79000,1000,0,0,69000
2013/05/13,1517,利奇            ,75000,6000,0,0,0,0,69000
2013/05/13,4915,致伸            ,106000,22000,0,0,63000,78000,69000
2013/05/13,3535,晶彩科          ,69000,1000,0,0,0,0,68000
2013/05/13,3010,華立            ,85000,16000,0,2000,0,0,67000
2013/05/13,6271,同欣電          ,130000,37000,165000,170000,11000,33000,66000
2013/05/13,2015,豐興            ,67000,23300,0,2000,24000,0,65700
2013/05/13,2605,新興            ,66688,0,0,1000,0,0,65688
2013/05/13,2399,映泰            ,65000,2000,0,0,0,1000,62000
2013/05/13,2206,三陽            ,399000,403000,0,1000,82000,17000,60000
2013/05/13,1736,喬山            ,12000,13000,31000,0,30000,23,59977
2013/05/13,1802,台玻            ,82000,21900,0,1000,4000,4000,59100
2013/05/13,2455,全新            ,58000,0,0,0,1000,0,59000
2013/05/13,910579,歐聖            ,59000,0,0,0,0,0,59000
2013/05/13,1704,榮化            ,258000,198057,1000,2000,0,0,58943
2013/05/13,1726,永記            ,1000,12000,70000,1000,0,0,58000
2013/05/13,1611,中電            ,57000,0,0,0,0,0,57000
2013/05/13,1231,聯華食          ,57000,0,0,0,0,0,57000
2013/05/13,9941,裕融            ,16000,7000,1000,0,90000,44000,56000
2013/05/13,3536,誠創            ,55000,0,0,0,0,0,55000
2013/05/13,2376,技嘉            ,121000,60000,0,6000,0,0,55000
2013/05/13,1909,榮成            ,51000,0,0,0,0,0,51000
2013/05/13,910801,金衛            ,51000,0,0,0,0,0,51000
2013/05/13,2312,金寶            ,140000,80000,0,4000,1000,6000,51000
