年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2014/05/20,2317,鴻海            ,27609200,7916414,220000,7000,3884000,2240000,21549786
2014/05/20,2311,日月光          ,21560000,10132185,1308000,758000,4012000,455000,15534815
2014/05/20,2324,仁寶            ,14277000,2122868,0,517000,167000,2096000,9708132
2014/05/20,0050,台灣50          ,6011000,315000,0,0,3557000,1361000,7892000
2014/05/20,2884,玉山金          ,10056660,4041083,0,0,202000,662000,5555577
2014/05/20,2303,聯電            ,16066000,11495462,0,0,601000,1135000,4036538
2014/05/20,3481,群創            ,18108000,11206477,773000,0,977000,4659000,3992523
2014/05/20,2356,英業達          ,5463000,2020435,0,0,689000,140000,3991565
2014/05/20,2880,華南金          ,4803000,1603115,804000,0,0,18000,3985885
2014/05/20,3189,景碩            ,3396507,528000,1127000,250000,435000,639000,3541507
2014/05/20,2313,華通            ,2579929,3211050,0,0,5223000,1056000,3535879
2014/05/20,2412,中華電          ,4195000,936190,0,0,77000,12000,3323810
2014/05/20,2883,開發金          ,6547000,2650734,0,70000,1001000,1572000,3255266
2014/05/20,2325,矽品            ,7745000,5165058,0,0,713000,213000,3079942
2014/05/20,3231,緯創            ,5183700,2279566,0,0,13000,10000,2907134
2014/05/20,2408,南亞科          ,3142000,263983,0,0,0,0,2878017
2014/05/20,4938,和碩            ,6985072,4155000,154000,100000,353000,492000,2745072
2014/05/20,3045,台灣大          ,3736000,1982310,0,0,133000,15000,1871690
2014/05/20,2891,中信金          ,5138663,4571423,0,0,1555000,278000,1844240
2014/05/20,1605,華新            ,2010000,656443,0,0,499000,117000,1735557
2014/05/20,3037,欣興            ,2794000,640122,0,0,342000,914000,1581878
2014/05/20,2409,友達            ,12619000,9126487,0,0,390000,2497000,1385513
2014/05/20,2402,毅嘉            ,1198426,352017,0,125000,1090000,588000,1223409
2014/05/20,6285,啟??            ,960000,102076,30000,0,102000,14000,975924
2014/05/20,6412,群電            ,1025018,94000,0,0,0,10000,921018
2014/05/20,9933,中鼎            ,2508000,1655868,0,0,10000,0,862132
2014/05/20,1909,榮成            ,688000,70033,0,0,248000,55000,810967
2014/05/20,3605,宏致            ,99992,112000,818000,0,0,1000,804992
2014/05/20,3042,晶技            ,1143836,143017,0,0,12000,217000,795819
2014/05/20,2603,長榮            ,1717000,944746,0,0,0,0,772254
2014/05/20,3034,聯詠            ,1197255,229000,96000,246000,125000,190000,753255
2014/05/20,2302,麗正            ,1158992,407000,0,0,0,0,751992
2014/05/20,2474,可成            ,1813957,1134758,610000,5000,271369,825000,730568
2014/05/20,8213,志超            ,646885,15079,0,0,241000,144000,728806
2014/05/20,3705,永信            ,166570,131008,642000,0,86000,37000,726562
2014/05/20,2384,勝華            ,3926917,3209000,0,0,0,46000,671917
2014/05/20,2337,旺宏            ,700000,55397,0,0,0,0,644603
2014/05/20,2357,華碩            ,1502292,702000,0,37000,57000,208000,612292
2014/05/20,6239,力成            ,1583066,913326,110000,0,127000,307000,599740
2014/05/20,6230,超眾            ,702561,27000,0,0,0,78000,597561
2014/05/20,2376,技嘉            ,346000,298125,574000,50000,90000,115000,546875
2014/05/20,2882,國泰金          ,4535291,2837675,0,0,153000,1313000,537616
2014/05/20,2377,微星            ,1394332,607042,0,0,511000,768000,530290
2014/05/20,2439,美律            ,389160,332180,514000,40000,149000,185000,494980
2014/05/20,2618,長榮航          ,1419000,917484,200000,0,2000,210000,493516
2014/05/20,1590,F-亞德          ,514000,143000,3000,0,113000,15000,472000
2014/05/20,6165,捷泰            ,502000,41008,0,0,0,1000,459992
2014/05/20,6005,群益證          ,458000,2108,0,0,0,0,455892
2014/05/20,2601,益航            ,51983,19000,420000,0,0,0,452983
2014/05/20,1708,東鹼            ,5992,78400,0,0,521000,0,448592
2014/05/20,006204,豐臺灣          ,790000,0,0,0,437000,784348,442652
2014/05/20,2385,群光            ,775000,258063,0,0,30000,117000,429937
2014/05/20,2393,億光            ,1001394,890017,346000,35000,113000,115000,420377
2014/05/20,2837,萬泰銀          ,408000,2067,0,0,0,0,405933
2014/05/20,2511,太子            ,403885,674,0,0,0,0,403211
2014/05/20,2107,厚生            ,464263,77000,0,0,10000,0,397263
2014/05/20,3017,奇鋐            ,409000,13998,0,0,0,0,395002
2014/05/20,2547,日勝生          ,426898,53000,0,0,18000,0,391898
2014/05/20,1210,大成            ,434975,45000,0,0,0,0,389975
2014/05/20,2498,宏達電          ,661000,1105754,0,102000,1025000,89000,389246
2014/05/20,2834,臺企銀          ,1098000,719488,0,0,0,3000,375512
2014/05/20,1722,台肥            ,691000,328081,0,0,0,1000,361919
2014/05/20,910801,金衛            ,0,0,0,0,351000,0,351000
2014/05/20,2383,台光電          ,53010,14017,300000,0,0,0,338993
2014/05/20,4904,遠傳            ,2290372,1984275,0,0,47000,23000,330097
2014/05/20,2352,佳世達          ,394000,22092,0,0,150000,205000,316908
2014/05/20,1215,卜蜂            ,478000,9008,0,146000,0,10000,312992
2014/05/20,3006,晶豪科          ,153000,409008,0,200000,960000,199000,304992
2014/05/20,2062,橋椿            ,2992,230000,300000,0,230000,3000,299992
2014/05/20,5269,祥碩            ,328000,64000,0,0,35000,0,299000
2014/05/20,2105,正新            ,1685544,788919,0,549000,42000,95000,294625
2014/05/20,2034,允強            ,210431,54017,0,10000,290000,163000,273414
2014/05/20,2841,台開            ,264000,1033,0,0,0,0,262967
2014/05/20,9904,寶成            ,3840776,3615548,50000,0,126000,146000,255228
2014/05/20,3030,德律            ,293820,60008,0,0,100000,92000,241812
2014/05/20,2049,上銀            ,335000,250213,10000,0,278828,133000,240615
2014/05/20,2448,晶電            ,1130000,1073250,147000,0,135000,101000,237750
2014/05/20,3533,嘉澤            ,177833,54000,133000,0,37000,57000,236833
2014/05/20,2610,華航            ,1764122,1528958,0,0,0,0,235164
2014/05/20,2308,台達電          ,2003000,1833792,87000,0,4000,30000,230208
2014/05/20,3450,聯鈞            ,163070,118000,152000,0,36000,4000,229070
2014/05/20,2379,瑞昱            ,425890,215020,0,0,73000,55000,228870
2014/05/20,0056,高股息          ,269000,0,0,0,54000,95000,228000
2014/05/20,5471,松翰            ,257992,25000,0,0,0,5000,227992
2014/05/20,5264,F-鎧勝          ,557000,745017,5000,0,426000,19000,223983
2014/05/20,5305,敦南            ,227983,5000,0,0,0,0,222983
2014/05/20,3036,文曄            ,283398,5017,0,0,12000,70000,220381
2014/05/20,9136,巨騰            ,292000,27000,0,0,0,46000,219000
2014/05/20,1460,宏遠            ,255223,41000,0,0,3000,3000,214223
2014/05/20,2913,農林            ,181005,333000,0,0,405000,40000,213005
2014/05/20,3454,晶睿            ,215474,59000,0,0,82000,29000,209474
2014/05/20,2441,超豐            ,183975,38000,53000,0,5000,0,203975
2014/05/20,4746,台耀            ,11000,38000,250000,0,5000,25000,203000
2014/05/20,3032,偉訓            ,102950,72000,160000,0,1000,0,191950
2014/05/20,8021,尖點            ,254992,63086,0,0,0,0,191906
2014/05/20,6282,康舒            ,500835,419000,50000,0,157000,100000,188835
2014/05/20,6409,旭隼            ,462234,284000,0,0,10000,3000,185234
2014/05/20,2231,為升            ,19000,19000,145000,0,51000,15000,181000
2014/05/20,2344,華邦電          ,1518185,653166,0,0,463000,1148000,180019
2014/05/20,2912,統一超          ,1164000,983531,0,0,0,5000,175469
2014/05/20,2401,凌陽            ,179000,5025,0,0,0,0,173975
2014/05/20,8039,台虹            ,127000,212008,41000,0,369000,152000,172992
2014/05/20,2420,新巨            ,297992,58000,108000,0,0,176000,171992
2014/05/20,2345,智邦            ,258975,88000,0,0,0,0,170975
2014/05/20,2115,F-六暉          ,17269,0,143000,0,10000,0,170269
2014/05/20,2354,鴻準            ,1319800,1143802,0,0,0,7000,168998
2014/05/20,3561,昇陽科          ,160985,1241,0,0,4000,0,163744
2014/05/20,1310,台苯            ,158975,33000,0,0,26000,0,151975
2014/05/20,1326,台化            ,870000,778478,0,0,73000,14000,150522
2014/05/20,8271,宇瞻            ,51000,1089,100000,0,0,0,149911
2014/05/20,9910,豐泰            ,152975,67000,0,0,51000,0,136975
2014/05/20,1504,東元            ,3305612,3258000,0,0,158000,75000,130612
2014/05/20,2506,太設            ,133000,3552,0,0,0,0,129448
2014/05/20,9938,百和            ,402711,385017,50000,0,429000,370000,126694
2014/05/20,1907,永豐餘          ,155000,12075,0,0,0,17000,125925
2014/05/20,2355,敬鵬            ,190376,56000,0,25000,160000,149000,120376
2014/05/20,8033,雷虎            ,156000,36000,0,0,0,0,120000
2014/05/20,2889,國票金          ,255000,139116,0,0,0,0,115884
2014/05/20,2488,漢平            ,128000,3000,0,0,0,10000,115000
2014/05/20,3149,正達            ,64277,15000,0,0,66000,1000,114277
2014/05/20,1512,瑞利            ,112992,0,0,0,0,0,112992
2014/05/20,3052,夆典            ,114000,2008,0,0,0,0,111992
2014/05/20,911868,同方友          ,111000,0,0,0,0,0,111000
2014/05/20,2027,大成鋼          ,136000,36033,0,0,10000,0,109967
2014/05/20,2444,友旺            ,103992,0,0,0,0,0,103992
2014/05/20,9914,美利達          ,214000,217958,122000,0,2000,17000,103042
2014/05/20,2867,三商壽          ,94555,4000,0,0,10000,1000,99555
2014/05/20,006203,寶摩臺          ,141000,0,0,0,0,42000,99000
2014/05/20,1513,中興電          ,138000,39025,0,0,0,0,98975
2014/05/20,2404,漢唐            ,157163,57008,0,0,0,2000,98155
2014/05/20,1718,中纖            ,314000,154067,0,0,2000,68000,93933
2014/05/20,2812,台中銀          ,99884,6525,0,0,0,0,93359
2014/05/20,2851,中再保          ,87975,120,0,0,0,0,87855
2014/05/20,8114,振樺電          ,1000,52280,138000,0,46000,45000,87720
2014/05/20,2360,致茂            ,564000,439998,0,0,20000,57000,87002
2014/05/20,2428,興勤            ,17992,61000,150000,0,0,21000,85992
2014/05/20,2536,宏普            ,62000,7017,0,0,30000,0,84983
2014/05/20,0053,寶電子          ,81000,0,0,0,3000,0,84000
2014/05/20,1312,國喬            ,155000,123042,0,0,119000,67000,83958
2014/05/20,2489,瑞軒            ,225958,116000,0,0,31000,57000,83958
2014/05/20,2514,龍邦            ,90975,17000,0,0,8000,0,81975
2014/05/20,2606,裕民            ,298000,241445,0,0,25000,0,81555
2014/05/20,2908,特力            ,87003,6000,0,0,0,0,81003
2014/05/20,2493,揚博            ,76992,12000,0,0,15000,0,79992
2014/05/20,1540,喬福            ,0,3000,82000,0,0,0,79000
2014/05/20,3055,蔚華科          ,77992,1000,0,0,2000,0,78992
2014/05/20,1305,華夏            ,78643,2000,0,0,0,0,76643
2014/05/20,6215,和椿            ,71000,0,0,0,0,0,71000
2014/05/20,910322,康師傅          ,70000,0,0,0,0,0,70000
2014/05/20,2467,志聖            ,63992,29000,0,0,35000,0,69992
2014/05/20,2362,藍天            ,100050,92000,0,0,65000,5000,68050
2014/05/20,3607,谷崧            ,68753,2000,0,0,0,0,66753
2014/05/20,5522,遠雄            ,312231,245544,0,0,0,0,66687
2014/05/20,3514,昱晶            ,234983,192000,0,0,44000,22000,64983
2014/05/20,2395,研華            ,286469,255000,36000,0,0,3000,64469
2014/05/20,2464,盟立            ,75992,12000,0,0,0,0,63992
2014/05/20,5285,界霖            ,17150,0,45000,0,0,0,62150
2014/05/20,2548,華固            ,154000,95000,0,0,2000,0,61000
2014/05/20,2374,佳能            ,319983,259413,0,0,0,0,60570
2014/05/20,8427,F-基勝          ,60103,0,0,0,0,0,60103
2014/05/20,6168,宏齊            ,61000,2008,0,0,0,0,58992
2014/05/20,3056,總太            ,74792,17000,0,0,0,0,57792
2014/05/20,1729,必翔            ,101992,45000,0,0,0,0,56992
2014/05/20,1582,信錦            ,58994,3008,0,0,0,0,55986
2014/05/20,4930,燦星網          ,64000,9008,0,0,0,0,54992
2014/05/20,4108,懷特            ,67992,14000,0,0,0,0,53992
2014/05/20,1104,環泥            ,56000,4025,0,0,0,0,51975
2014/05/20,1802,台玻            ,285000,123083,0,110000,0,0,51917
2014/05/20,2495,普安            ,64000,12017,0,0,0,1000,50983
2014/05/20,9921,巨大            ,208000,157965,0,0,0,0,50035
2014/05/20,2845,遠東銀          ,307875,258232,0,0,0,0,49643
2014/05/20,2399,映泰            ,46992,0,0,0,0,0,46992
2014/05/20,4725,信昌化          ,65000,18017,0,0,0,0,46983
2014/05/20,2856,元富證          ,57000,10067,0,0,0,0,46933
2014/05/20,2433,互盛電          ,48992,28000,0,0,25000,0,45992
2014/05/20,2617,台航            ,63000,17017,0,0,0,0,45983
2014/05/20,2328,廣宇            ,46975,1020,0,0,0,0,45955
2014/05/20,6278,台表科          ,52653,14408,0,0,7000,0,45245
2014/05/20,3058,立德            ,44992,0,0,0,0,0,44992
2014/05/20,913889,大成糖          ,43000,0,0,0,0,0,43000
2014/05/20,2014,中鴻            ,166000,123067,0,0,0,0,42933
2014/05/20,6192,巨路            ,43992,3000,0,0,0,0,40992
2014/05/20,1714,和桐            ,70958,250,0,0,0,30000,40708
2014/05/20,8131,福懋科          ,79000,39017,0,0,0,0,39983
2014/05/20,2607,榮運            ,54000,4050,0,0,0,10000,39950
2014/05/20,1905,華紙            ,40000,58,0,0,0,0,39942
2014/05/20,3257,虹冠電          ,23000,90178,82000,0,25000,0,39822
2014/05/20,1227,佳格            ,138180,81534,0,15000,0,2000,39646
2014/05/20,0055,寶金融          ,22000,0,0,0,17000,0,39000
2014/05/20,2608,大榮            ,40975,2000,0,0,0,0,38975
2014/05/20,3010,華立            ,103603,62008,0,0,7000,10000,38595
2014/05/20,0054,台商50          ,36000,0,0,0,1000,0,37000
2014/05/20,1417,嘉裕            ,36983,0,0,0,0,0,36983
2014/05/20,5521,工信            ,37000,378,0,0,0,0,36622
2014/05/20,3703,欣陸            ,35958,0,0,0,0,0,35958
2014/05/20,5538,F-東明          ,35000,0,0,0,0,1000,34000
2014/05/20,2443,新利虹          ,35992,2000,0,0,0,0,33992
2014/05/20,3305,昇貿            ,33001,0,0,0,0,0,33001
2014/05/20,2114,鑫永銓          ,24000,1000,0,0,10000,0,33000
2014/05/20,2472,立隆電          ,18992,29000,0,0,42000,0,31992
2014/05/20,2380,虹光            ,36000,4008,0,0,0,0,31992
2014/05/20,2492,華新科          ,168967,137000,0,0,0,0,31967
2014/05/20,5607,遠雄港          ,34947,3000,0,0,0,0,31947
2014/05/20,2032,新鋼            ,62000,30999,0,0,0,1000,30001
2014/05/20,8103,瀚荃            ,35000,6000,0,0,1000,0,30000
2014/05/20,3501,維熹            ,41992,12000,0,0,0,0,29992
2014/05/20,2484,希華            ,30992,1000,0,0,0,0,29992
2014/05/20,1712,興農            ,203309,214017,0,0,40000,0,29292
2014/05/20,3545,敦泰            ,29000,0,0,0,0,0,29000
2014/05/20,9942,茂順            ,10000,15000,0,0,46000,12000,29000
2014/05/20,2359,所羅門          ,32282,4000,0,0,0,0,28282
2014/05/20,2023,燁輝            ,52000,23775,0,0,0,0,28225
2014/05/20,2455,全新            ,290216,81008,0,0,0,181000,28208
2014/05/20,8926,台汽電          ,29000,1025,0,0,0,0,27975
2014/05/20,2010,春源            ,34000,6033,0,0,0,0,27967
2014/05/20,2109,華豐            ,30937,3000,0,0,0,0,27937
2014/05/20,9946,三發            ,28000,0,0,0,0,1000,27000
2014/05/20,1612,宏泰            ,28000,1017,0,0,0,0,26983
2014/05/20,2545,皇翔            ,28000,1017,0,0,0,0,26983
2014/05/20,2104,中橡            ,42975,64000,0,0,48000,0,26975
2014/05/20,6209,今國光          ,60707,35000,0,0,1000,0,26707
2014/05/20,2358,廷鑫            ,28000,2000,0,0,0,0,26000
2014/05/20,3419,譁裕            ,26992,1000,0,0,0,0,25992
2014/05/20,6206,飛捷            ,45992,10000,0,0,1000,11000,25992
2014/05/20,006208,FB台50          ,0,0,0,0,25000,0,25000
2014/05/20,1262,F-綠悅          ,305000,338002,0,0,79000,21000,24998
2014/05/20,1463,強盛            ,24000,0,0,0,0,0,24000
2014/05/20,5531,鄉林            ,29800,6025,0,0,0,0,23775
2014/05/20,2228,劍麟            ,42100,9000,0,12000,2000,0,23100
2014/05/20,3167,大量            ,23000,0,0,0,0,0,23000
2014/05/20,5519,隆大            ,25000,2000,0,0,0,0,23000
2014/05/20,3048,益登            ,28992,6000,0,0,0,0,22992
2014/05/20,3005,神基            ,78000,55025,0,0,0,0,22975
2014/05/20,1786,科妍            ,22000,0,0,0,0,0,22000
2014/05/20,3209,全科            ,22000,38,0,0,0,0,21962
2014/05/20,1707,葡萄王          ,31000,6999,0,0,1000,4000,21001
