年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2013/07/08,2891,中信金          ,24132000,23647550,0,460000,20116000,406000,19734450
2013/07/08,2356,英業達          ,11944000,1657000,139000,272000,536000,89000,10601000
2013/07/08,2324,仁寶            ,6738000,3731000,200000,0,3172000,953000,5426000
2013/07/08,3474,華亞科          ,11117000,6036000,0,0,0,0,5081000
2013/07/08,2106,建大            ,4282000,290000,761000,480000,389000,115000,4547000
2013/07/08,1718,中纖            ,697000,957000,2948000,0,1213000,254000,3647000
2013/07/08,2882,國泰金          ,17762900,14296638,813000,100000,300000,928000,3551262
2013/07/08,006207,FH滬深          ,143000,69000,0,0,2491000,327000,2238000
2013/07/08,2454,聯發科          ,6794000,4777770,20000,215000,213000,417000,1617230
2013/07/08,2344,華邦電          ,2056000,443000,0,0,5000,225000,1393000
2013/07/08,2315,神達            ,490000,83000,0,0,1168000,414000,1161000
2013/07/08,6269,台郡            ,1198000,744000,260000,216000,598000,50000,1046000
2013/07/08,2308,台達電          ,3901000,2144726,0,0,6000,730000,1032274
2013/07/08,2458,義隆            ,2747000,2281000,50000,202000,792000,76000,1030000
2013/07/08,2884,玉山金          ,3734000,2641000,0,0,18000,109000,1002000
2013/07/08,2449,京元電          ,1334000,667419,200000,0,130000,54000,942581
2013/07/08,1702,南僑            ,101000,167004,760000,0,169000,4000,858996
2013/07/08,6206,飛捷            ,78000,77000,896000,0,10000,55000,852000
2013/07/08,2323,中環            ,1105000,64000,0,0,4000,199000,846000
2013/07/08,2379,瑞昱            ,1329000,507000,0,40000,145000,96000,831000
2013/07/08,3061,璨圓            ,860000,20000,0,0,15000,40000,815000
2013/07/08,2393,億光            ,1037000,89000,0,657000,519000,27000,783000
2013/07/08,1326,台化            ,3114000,3704000,1527000,100000,47000,127000,757000
2013/07/08,1409,新纖            ,321000,5000,0,0,450000,28000,738000
2013/07/08,6176,瑞儀            ,1510000,558000,15000,0,12000,260000,719000
2013/07/08,2520,冠德            ,834000,82000,0,17000,23000,79000,679000
2013/07/08,3665,F-貿聯          ,66000,40000,590000,0,1000,18000,599000
2013/07/08,2867,三商壽          ,219000,114000,0,0,450000,0,555000
2013/07/08,2912,統一超          ,1598000,1290000,270000,0,20000,49000,549000
2013/07/08,2823,中壽            ,4886000,3628517,0,0,120000,839000,538483
2013/07/08,3006,晶豪科          ,727000,105000,0,315000,228000,2000,533000
2013/07/08,5522,遠雄            ,794000,259000,0,0,0,21000,514000
2013/07/08,4904,遠傳            ,2557000,2029000,25000,0,11000,50000,514000
2013/07/08,1589,F-永冠          ,519000,38000,0,0,0,2000,479000
2013/07/08,3545,敦泰            ,371000,108000,377000,120000,41000,102000,459000
2013/07/08,3035,智原            ,718000,116000,0,0,98000,247000,453000
2013/07/08,9910,豐泰            ,551000,57000,0,0,0,52000,442000
2013/07/08,2312,金寶            ,432000,0,0,0,21000,11000,442000
2013/07/08,1312,國喬            ,513000,386000,400000,0,205000,337000,395000
2013/07/08,1477,聚陽            ,1197000,764000,28000,0,59000,138000,382000
2013/07/08,2419,仲琦            ,376000,0,0,0,0,1000,375000
2013/07/08,8039,台虹            ,400000,83000,120000,0,1000,73000,365000
2013/07/08,8105,凌巨            ,368000,7000,0,0,4000,4000,361000
2013/07/08,8046,南電            ,1149000,655000,0,100000,4000,45000,353000
2013/07/08,9914,美利達          ,772000,329000,2000,150000,90000,59000,326000
2013/07/08,1231,聯華食          ,280000,34000,0,0,71000,2000,315000
2013/07/08,2489,瑞軒            ,347000,9000,0,0,2000,26000,314000
2013/07/08,2504,國產            ,352000,28000,0,0,0,20000,304000
2013/07/08,1314,中石化          ,1988000,999000,0,0,70000,756000,303000
2013/07/08,2439,美律            ,1639000,117028,25000,1266500,21000,2000,299472
2013/07/08,2059,川湖            ,387000,22000,0,49000,31000,48000,299000
2013/07/08,2365,昆盈            ,274000,21000,40000,0,5000,1000,297000
2013/07/08,2615,萬海            ,924000,612000,0,0,5000,42000,275000
2013/07/08,1712,興農            ,493000,218000,0,0,0,6000,269000
2013/07/08,910579,歐聖            ,0,745000,0,0,1000000,0,255000
2013/07/08,1319,東陽            ,436000,651000,274000,0,250000,58000,251000
2013/07/08,2345,智邦            ,250000,0,0,0,0,2000,248000
