年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/04/01,1909,榮成            ,11054000,272000,0,0,0,0,0,0,10782000,00,00
2015/04/01,0061,寶滬深          ,1505000,568200,275000,520000,169000,608000,7718000,1933000,6037800,1690007718000,6080001933000
2015/04/01,2610,華航            ,6123000,3148000,0,84000,2192000,143000,0,0,4940000,21920000,1430000
2015/04/01,2884,玉山金          ,10220139,5961913,0,0,0,16000,0,0,4242226,00,160000
2015/04/01,2406,國碩            ,3663000,257000,0,0,0,67000,838000,153000,4024000,0838000,67000153000
2015/04/01,2317,鴻海            ,17640012,14210056,108000,560000,192000,240440,2428000,1625000,3732516,1920002428000,2404401625000
2015/04/01,3686,達能            ,3619000,0,0,0,0,26000,0,0,3593000,00,260000
2015/04/01,2354,鴻準            ,3884166,1135000,0,0,80000,56000,37000,58000,2752166,8000037000,5600058000
2015/04/01,3576,新日光          ,2312000,155000,0,0,196000,21000,492000,153000,2671000,196000492000,21000153000
2015/04/01,2618,長榮航          ,4926000,3370000,1943000,70000,1713000,204000,3173000,5523000,2588000,17130003173000,2040005523000
2015/04/01,2887,台新金          ,7297000,5608000,0,0,0,31000,450000,82000,2026000,0450000,3100082000
2015/04/01,2614,東森            ,1870000,39000,0,0,26000,1000,0,0,1856000,260000,10000
2015/04/01,006206,元上證          ,2000,8000,75000,0,405000,0,3652000,2277000,1849000,4050003652000,02277000
2015/04/01,3022,威強電          ,1853000,406000,0,0,142000,50000,308000,50000,1797000,142000308000,5000050000
2015/04/01,6269,台郡            ,1357000,445000,400000,10000,435000,128000,297000,119000,1787000,435000297000,128000119000
2015/04/01,2313,華通            ,4940000,723000,0,0,0,2000,89000,2555000,1749000,089000,20002555000
2015/04/01,2881,富邦金          ,8317749,6446000,0,450000,35000,20000,520000,219000,1737749,35000520000,20000219000
2015/04/01,3514,昱晶            ,1768000,71000,0,0,67000,6000,11000,33000,1736000,6700011000,600033000
2015/04/01,2323,中環            ,1718000,223000,0,0,170000,0,0,0,1665000,1700000,00
2015/04/01,006207,FH滬深          ,0,0,0,0,559000,35000,3279000,2195000,1608000,5590003279000,350002195000
2015/04/01,3481,群創            ,11819347,10212000,0,0,149000,373000,848000,653000,1578347,149000848000,373000653000
2015/04/01,2891,中信金          ,7438000,7688000,2000000,140000,72000,23000,32000,270000,1421000,7200032000,23000270000
2015/04/01,2890,永豐金          ,9619000,8155346,0,0,0,100000,0,2000,1361654,00,1000002000
2015/04/01,3519,綠能            ,1266900,3000,0,0,35000,0,0,0,1298900,350000,00
2015/04/01,2474,可成            ,2907261,1303047,94000,558000,88000,82000,254000,144000,1256214,88000254000,82000144000
2015/04/01,6605,帝寶            ,414000,39000,872000,71000,203000,28000,56000,170000,1237000,20300056000,28000170000
2015/04/01,3561,昇陽科          ,1299000,62000,0,0,18000,2000,17000,45000,1225000,1800017000,200045000
2015/04/01,2316,楠梓電          ,427000,143000,0,0,846000,12000,0,0,1118000,8460000,120000
2015/04/01,3054,立萬利          ,1013000,26000,0,0,60000,0,0,0,1047000,600000,00
2015/04/01,2892,第一金          ,5843480,4760100,0,0,0,16000,0,50000,1017380,00,1600050000
2015/04/01,3380,明泰            ,1014000,35000,0,0,14000,0,54000,40000,1007000,1400054000,040000
2015/04/01,2841,台開            ,1619000,664000,0,0,0,6000,0,0,949000,00,60000
2015/04/01,1319,東陽            ,1329000,683000,152000,0,48000,3000,220000,133000,930000,48000220000,3000133000
2015/04/01,1312,國喬            ,1725000,507000,0,0,0,189000,0,103000,926000,00,189000103000
2015/04/01,2301,光寶科          ,2516089,1551000,0,0,0,4000,36000,74000,923089,036000,400074000
2015/04/01,2327,國巨            ,1794000,767000,0,0,16000,191000,290000,342000,800000,16000290000,191000342000
2015/04/01,1734,杏輝            ,810000,17000,0,0,2000,0,0,0,795000,20000,00
2015/04/01,1702,南僑            ,1150000,357000,0,0,35000,78000,96000,78000,768000,3500096000,7800078000
2015/04/01,1589,F-永冠          ,820239,207000,248000,58000,96000,319000,202000,36000,746239,96000202000,31900036000
2015/04/01,4934,太極            ,824000,153000,0,0,0,0,0,0,671000,00,00
2015/04/01,2360,致茂            ,808000,152000,0,0,0,8000,0,1000,647000,00,80001000
2015/04/01,1102,亞泥            ,2485000,2082700,250000,0,0,29000,10000,620,632680,010000,29000620
2015/04/01,6230,超眾            ,397000,61000,353000,0,0,78000,0,0,611000,00,780000
2015/04/01,00632R,T50反1          ,0,0,0,0,105000,800000,1717000,459000,563000,1050001717000,800000459000
2015/04/01,1455,集盛            ,147000,25000,0,0,432000,0,0,0,554000,4320000,00
2015/04/01,3005,神基            ,441000,423000,0,0,0,961000,1905000,416000,546000,01905000,961000416000
2015/04/01,3060,銘異            ,582903,68000,0,0,0,6000,0,273,508630,00,6000273
2015/04/01,2492,華新科          ,992000,399000,0,0,0,0,121000,213000,501000,0121000,0213000
2015/04/01,5871,F-中租          ,1585000,1055000,0,0,0,3000,2000,48000,481000,02000,300048000
2015/04/01,1527,鑽全            ,537000,74000,0,0,0,1000,0,0,462000,00,10000
2015/04/01,2402,毅嘉            ,668000,185000,0,0,46000,0,0,71000,458000,460000,071000
2015/04/01,2833,台壽保          ,1056000,883000,0,0,280000,0,0,0,453000,2800000,00
2015/04/01,4952,凌通            ,258000,74000,30000,0,235000,0,0,0,449000,2350000,00
2015/04/01,3023,信邦            ,255000,197000,207000,0,0,0,179000,7000,437000,0179000,07000
2015/04/01,2420,新巨            ,286000,75000,144000,0,76000,1000,0,0,430000,760000,10000
2015/04/01,3045,台灣大          ,2034000,1920000,188000,0,121000,5000,3000,1000,420000,1210003000,50001000
2015/04/01,2501,國建            ,511000,156000,0,0,55000,5000,0,0,405000,550000,50000
2015/04/01,01002T,國泰R1          ,405000,0,0,0,0,0,0,0,405000,00,00
2015/04/01,1537,廣隆            ,69000,9000,300000,35000,118000,37000,3000,4000,405000,1180003000,370004000
2015/04/01,1707,葡萄王          ,338000,63000,185000,0,79000,200000,58000,0,397000,7900058000,2000000
2015/04/01,3665,F-貿聯          ,719000,266000,0,16000,0,10000,6000,44000,389000,06000,1000044000
2015/04/01,2062,橋椿            ,449000,65000,4000,0,0,1000,0,2000,385000,00,10002000
2015/04/01,2847,大眾銀          ,484000,112000,0,0,10000,0,0,0,382000,100000,00
2015/04/01,1477,聚陽            ,545000,44000,6000,70000,26000,53000,8000,42000,376000,260008000,5300042000
2015/04/01,8454,富邦媒          ,585000,77000,10000,140000,7000,20000,0,0,365000,70000,200000
2015/04/01,6206,飛捷            ,223300,88000,115000,0,48000,5000,85000,14000,364300,4800085000,500014000
2015/04/01,3311,閎暉            ,369000,28000,0,0,6000,0,0,0,347000,60000,00
2015/04/01,6005,群益證          ,466000,125000,0,0,0,0,0,0,341000,00,00
2015/04/01,2206,三陽            ,472000,37000,0,0,0,5000,77000,167000,340000,077000,5000167000
2015/04/01,2383,台光電          ,561000,606000,0,40000,65000,31000,411000,20000,340000,65000411000,3100020000
2015/04/01,1305,華夏            ,1137000,424000,350000,500000,0,225000,0,0,338000,00,2250000
2015/04/01,9105,泰金寶          ,354000,16000,0,0,0,0,0,0,338000,00,00
2015/04/01,1582,信錦            ,334000,45000,0,0,0,16000,109000,53000,329000,0109000,1600053000
2015/04/01,2801,彰銀            ,2842000,2450000,0,0,0,20000,3000,47000,328000,03000,2000047000
2015/04/01,6504,南六            ,192000,13000,36000,0,0,3000,129000,18000,323000,0129000,300018000
2015/04/01,3545,敦泰            ,392000,87395,0,0,0,0,0,0,304605,00,00
2015/04/01,4142,國光生          ,309000,3000,0,0,0,2000,0,0,304000,00,20000
2015/04/01,2387,精元            ,312000,122000,0,0,100000,0,0,0,290000,1000000,00
2015/04/01,1452,宏益            ,122000,58000,0,0,229000,20000,0,0,273000,2290000,200000
