年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2014/02/07,3474,華亞科          ,19126000,3796986,4190000,0,1194000,42000,20671014
2014/02/07,2344,華邦電          ,12441000,1999000,0,0,331000,3241000,7532000
2014/02/07,2311,日月光          ,17034000,13171000,2420000,400000,2712000,2190084,6404916
2014/02/07,2474,可成            ,7801000,2484480,860000,420000,901000,1512000,5145520
2014/02/07,2409,友達            ,10380000,6702000,0,3176000,4043000,513000,4032000
2014/02/07,2356,英業達          ,8458200,4536000,0,0,330000,599000,3653200
2014/02/07,6116,彩晶            ,2809000,3918000,0,0,4972000,243000,3620000
2014/02/07,0050,台灣50          ,1717000,1677000,0,0,6924000,3480000,3484000
2014/02/07,2402,毅嘉            ,3175000,333000,0,0,60000,22000,2880000
2014/02/07,6286,立錡            ,1887000,629000,1555000,0,107000,429000,2491000
2014/02/07,2882,國泰金          ,10189000,6630416,56000,669000,485000,983000,2447584
2014/02/07,2347,聯強            ,3084000,1735352,472000,75000,820000,344000,2221648
2014/02/07,2312,金寶            ,2237000,362000,0,0,478000,399000,1954000
2014/02/07,2393,億光            ,1961000,390000,292000,0,153000,121000,1895000
2014/02/07,2809,京城銀          ,2294000,526000,0,21000,101000,283000,1565000
2014/02/07,2383,台光電          ,1682000,317879,0,0,0,50000,1314121
2014/02/07,6202,盛群            ,213000,185000,1020000,0,332000,119000,1261000
2014/02/07,1715,萬洲            ,819000,110000,314000,0,200000,0,1223000
2014/02/07,2392,正崴            ,2256000,1237000,0,0,436000,280000,1175000
2014/02/07,2377,微星            ,1409000,950000,750000,0,94000,235000,1068000
2014/02/07,6005,群益證          ,1815000,765000,0,0,0,0,1050000
2014/02/07,5388,中磊            ,435000,170000,150000,0,723000,137000,1001000
2014/02/07,2384,勝華            ,1507000,503000,0,0,0,26000,978000
2014/02/07,3673,F-TPK           ,2000000,1353000,54000,0,392000,180800,912200
2014/02/07,006204,豐臺灣          ,0,1791000,0,0,2802000,142297,868703
2014/02/07,4960,奇美材          ,2388000,1676000,0,0,259000,144000,827000
2014/02/07,1536,和大            ,616000,115238,100000,0,475000,320000,755762
2014/02/07,2201,裕隆            ,1629000,1259000,0,0,394000,15000,749000
2014/02/07,3380,明泰            ,1004000,696000,0,0,473874,44000,737874
2014/02/07,1605,華新            ,3557000,2379000,0,0,316000,777000,717000
2014/02/07,2371,大同            ,1366000,840000,0,0,234000,63000,697000
2014/02/07,1507,永大            ,1007000,334000,0,0,22000,11000,684000
2014/02/07,2850,新產            ,823000,158000,0,0,0,0,665000
2014/02/07,2454,聯發科          ,3901200,3221094,81000,24000,187000,314000,610106
2014/02/07,2436,偉詮電          ,250000,401000,0,0,731000,0,580000
2014/02/07,3035,智原            ,3424000,2535000,0,150000,109000,282000,566000
2014/02/07,3189,景碩            ,1024000,503000,376000,0,72000,447000,522000
2014/02/07,2360,致茂            ,1238000,764000,0,0,282000,238000,518000
2014/02/07,5264,F-鎧勝          ,709136,281000,67000,156000,292000,140000,491136
2014/02/07,1476,儒鴻            ,933000,499050,2000,10000,193000,139000,479950
2014/02/07,3257,虹冠電          ,10000,17000,617000,150000,0,20000,440000
2014/02/07,2511,太子            ,1114000,682000,0,0,2000,0,434000
2014/02/07,2354,鴻準            ,1592000,1169970,0,0,0,10000,412030
2014/02/07,6277,宏正            ,203000,101000,20000,0,288000,4000,406000
2014/02/07,3061,璨圓            ,1171000,779000,0,0,46000,32000,406000
2014/02/07,1201,味全            ,191000,341000,550000,0,8000,3000,405000
2014/02/07,4915,致伸            ,449000,152000,0,0,109000,2000,404000
2014/02/07,2448,晶電            ,2862000,1963000,200000,140000,281000,843000,397000
2014/02/07,2476,鉅祥            ,272000,86000,200000,0,0,1000,385000
2014/02/07,2102,泰豐            ,84000,155000,450000,0,2000,0,381000
2014/02/07,2614,東森            ,240000,347000,0,0,510000,35000,368000
2014/02/07,3706,神達            ,306000,155000,50000,0,200000,34000,367000
2014/02/07,2106,建大            ,678000,299000,0,0,15000,60000,334000
2014/02/07,6278,台表科          ,536000,209000,0,0,0,5000,322000
2014/02/07,4532,瑞智            ,412000,476000,264000,0,258000,165000,293000
2014/02/07,1513,中興電          ,143000,150000,224000,0,75000,0,292000
2014/02/07,3296,勝德            ,0,30000,0,0,318000,1000,287000
2014/02/07,1582,信錦            ,325000,47000,0,0,0,1000,277000
2014/02/07,3030,德律            ,626000,321147,0,25000,0,6000,273853
2014/02/07,5007,三星            ,77000,58000,0,0,239000,44000,214000
2014/02/07,2368,金像電          ,488000,272000,0,0,0,6000,210000
2014/02/07,3005,神基            ,345000,134000,0,0,0,3000,208000
2014/02/07,9910,豐泰            ,355000,144000,0,0,0,5280,205720
2014/02/07,3494,誠研            ,178000,52000,0,0,70000,1000,195000
2014/02/07,2420,新巨            ,34000,297000,388000,64000,273000,145000,189000
2014/02/07,3026,禾伸堂          ,327000,114000,0,26000,0,1000,186000
2014/02/07,2376,技嘉            ,563000,611000,0,0,250000,21000,181000
2014/02/07,3041,揚智            ,394000,220000,0,0,11000,10000,175000
2014/02/07,3665,F-貿聯          ,102000,38000,146000,0,129000,175000,164000
2014/02/07,01002T,國泰R1          ,4000,0,0,0,159000,0,163000
2014/02/07,9933,中鼎            ,899000,859000,110000,0,9000,5000,154000
2014/02/07,1471,首利            ,257000,107000,0,0,0,2000,148000
2014/02/07,8215,明基材          ,328000,165000,0,0,102000,120000,145000
2014/02/07,6142,友勁            ,188000,46000,0,0,0,1000,141000
2014/02/07,6605,帝寶            ,39000,69000,93000,0,85000,13000,135000
2014/02/07,6412,群電            ,403000,70000,0,200000,0,0,133000
2014/02/07,2606,裕民            ,721000,578000,0,0,0,12000,131000
2014/02/07,2316,楠梓電          ,16000,2158000,1566000,0,700000,1000,123000
2014/02/07,2228,劍麟            ,23000,91000,177000,0,12000,0,121000
2014/02/07,6213,聯茂            ,481000,94000,0,0,10000,276000,121000
2014/02/07,2464,盟立            ,156000,52000,0,0,16000,1000,119000
2014/02/07,8016,矽創            ,128000,259000,240000,0,20000,11000,118000
2014/02/07,2439,美律            ,529000,603039,135000,32000,131000,44000,115961
2014/02/07,2480,敦陽科          ,92000,73000,0,0,92000,1000,110000
2014/02/07,2888,新光金          ,7642000,7347415,0,0,207000,393000,108585
2014/02/07,2399,映泰            ,131000,24000,0,0,1000,1000,107000
2014/02/07,3605,宏致            ,171000,64000,0,0,0,1000,106000
2014/02/07,2504,國產            ,111000,415000,412000,0,0,7000,101000
2014/02/07,1323,永裕            ,19000,18000,100000,0,0,0,101000
2014/02/07,8105,凌巨            ,195000,93000,0,0,0,2000,100000
2014/02/07,5607,遠雄港          ,0,85000,0,0,179000,0,94000
2014/02/07,2472,立隆電          ,80000,135150,150000,0,0,1000,93850
2014/02/07,3027,盛達            ,118000,25000,0,0,0,0,93000
2014/02/07,4722,國精化          ,111000,18000,0,0,0,0,93000
2014/02/07,2017,官田鋼          ,144000,50000,0,0,0,2000,92000
2014/02/07,1530,亞崴            ,50000,30000,100000,30000,0,0,90000
2014/02/07,3038,全台            ,172000,81000,0,0,0,1000,90000
2014/02/07,2548,華固            ,581000,780279,255000,0,45000,11000,89721
2014/02/07,8427,F-基勝          ,114000,21000,0,10000,0,0,83000
2014/02/07,5305,敦南            ,97000,113000,0,0,200000,102000,82000
2014/02/07,4977,F-眾達          ,0,6000,106000,0,1000,20000,81000
2014/02/07,3584,介面            ,152000,70000,0,0,0,1000,81000
2014/02/07,01008T,駿馬R1          ,100000,20000,0,0,0,0,80000
2014/02/07,2062,橋椿            ,176000,149000,50000,0,2000,5000,74000
2014/02/07,911616,杜康            ,70000,0,0,0,0,0,70000
2014/02/07,8070,長華            ,11000,32000,0,0,88000,0,67000
2014/02/07,3052,夆典            ,95000,28000,0,0,0,0,67000
2014/02/07,1512,瑞利            ,90000,24000,0,0,0,0,66000
2014/02/07,3481,群創            ,10849000,9283000,100000,3044000,1914000,471000,65000
2014/02/07,3033,威健            ,117000,53000,0,0,0,2000,62000
2014/02/07,5471,松翰            ,185000,103000,80000,100000,0,1000,61000
2014/02/07,2612,中航            ,12000,72000,120000,0,0,0,60000
2014/02/07,2327,國巨            ,690000,1704000,955000,443000,576000,15000,59000
2014/02/07,4536,拓凱            ,21000,21000,64000,0,0,5000,59000
2014/02/07,3638,F-IML           ,8000,60000,0,0,110000,0,58000
2014/02/07,1802,台玻            ,1037695,979000,0,0,0,1000,57695
2014/02/07,6216,居易            ,97000,39000,0,0,0,1000,57000
2014/02/07,2390,云辰            ,200000,121000,0,0,0,26000,53000
2014/02/07,3598,奕力            ,94000,43000,0,0,0,0,51000
2014/02/07,3559,全智科          ,72000,20000,0,0,0,1000,51000
2014/02/07,1321,大洋            ,114000,64000,0,0,0,0,50000
2014/02/07,4526,東台            ,149000,105000,0,0,0,0,44000
2014/02/07,1533,車王電          ,65000,23000,0,0,0,0,42000
2014/02/07,3593,力銘            ,62000,20000,0,0,0,1000,41000
2014/02/07,1540,喬福            ,56000,16000,0,0,0,0,40000
2014/02/07,3054,立萬利          ,125000,86000,0,0,0,0,39000
2014/02/07,1609,大亞            ,136000,99000,0,0,0,0,37000
2014/02/07,1521,大億            ,17000,23000,40000,0,0,0,34000
2014/02/07,4414,如興            ,54000,22000,0,0,0,0,32000
2014/02/07,3008,大立光          ,217000,150000,0,4000,16000,47000,32000
2014/02/07,1907,永豐餘          ,123000,427000,344000,0,0,8000,32000
2014/02/07,3047,訊舟            ,60000,28001,0,0,0,1000,30999
2014/02/07,4733,上緯            ,19000,34000,0,80000,125000,0,30000
2014/02/07,6224,聚鼎            ,20000,41000,0,0,50000,0,29000
2014/02/07,2727,王品            ,51000,23000,0,0,2000,4000,26000
2014/02/07,2493,揚博            ,49000,22000,0,0,0,1000,26000
2014/02/07,2484,希華            ,58000,34000,0,0,0,1000,23000
2014/02/07,2032,新鋼            ,43000,20000,0,0,0,1000,22000
2014/02/07,1701,中化            ,88000,67000,0,0,0,0,21000
2014/02/07,1783,和康生          ,0,0,0,0,21000,0,21000
2014/02/07,1467,南緯            ,39000,19000,0,0,0,0,20000
2014/02/07,2359,所羅門          ,53000,33000,0,0,0,1000,19000
2014/02/07,2477,美隆電          ,74000,54000,0,0,0,1000,19000
2014/02/07,3048,益登            ,45000,26000,0,0,0,1000,18000
2014/02/07,6192,巨路            ,30000,38000,24000,0,0,1000,15000
2014/02/07,1339,昭輝            ,25000,12000,0,0,0,0,13000
2014/02/07,1537,廣隆            ,62000,124000,60000,0,36000,22000,12000
2014/02/07,2231,為升            ,6000,8000,50000,36000,0,0,12000
2014/02/07,3015,全漢            ,114000,101000,0,0,0,1000,12000
