年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/06/18,00634R,上証反          ,1540000,10000,0,0,1325000,68000,13469000,276000,15980000,132500013469000,68000276000
2015/06/18,2891,中信金          ,35255969,20705147,30000,18000,400000,0,713000,837000,14838822,400000713000,0837000
2015/06/18,2886,兆豐金          ,27292000,14924745,182000,97000,22000,200000,51000,96000,12229255,2200051000,20000096000
2015/06/18,2888,新光金          ,25934213,16817727,54000,0,1295000,0,314000,922000,9857486,1295000314000,0922000
2015/06/18,5880,合庫金          ,16507932,12330605,1306000,0,202000,1351000,0,0,4334327,2020000,13510000
2015/06/18,2618,長榮航          ,6925502,4996430,1816000,2835534,156000,109000,4203000,1042000,4117538,1560004203000,1090001042000
2015/06/18,2356,英業達          ,7546292,3971489,158000,5000,0,0,148000,276000,3599803,0148000,0276000
2015/06/18,00632R,T50反1          ,0,0,0,0,516000,8000,3276000,306000,3478000,5160003276000,8000306000
2015/06/18,2603,長榮            ,5550000,3150000,0,2000,517000,469000,876000,205000,3117000,517000876000,469000205000
2015/06/18,2834,臺企銀          ,11189000,8373000,0,5000,0,0,4000,0,2815000,04000,00
2015/06/18,2344,華邦電          ,5355000,3050154,270000,4000,13000,0,501000,584000,2500846,13000501000,0584000
2015/06/18,2313,華通            ,1240000,1121076,640000,0,1275000,0,313000,103000,2243924,1275000313000,0103000
2015/06/18,0061,寶滬深          ,2717000,342000,3700000,0,40000,0,2057000,6091000,2081000,400002057000,06091000
2015/06/18,2515,中工            ,3552000,1799200,0,0,60000,0,0,0,1812800,600000,00
2015/06/18,2833,台壽保          ,2242000,307000,46000,0,0,201000,10000,216000,1574000,010000,201000216000
2015/06/18,01002T,國泰R1          ,1686000,147000,0,0,0,0,0,0,1539000,00,00
2015/06/18,2323,中環            ,2168000,650000,0,0,0,0,0,0,1518000,00,00
2015/06/18,2615,萬海            ,4116000,2980432,0,2000,2000,33000,325000,17000,1410568,2000325000,3300017000
2015/06/18,00638R,滬深反          ,771000,0,0,0,0,0,5164000,4601000,1334000,05164000,04601000
2015/06/18,2352,佳世達          ,1789478,1138000,0,3000,300000,0,1764000,1421000,1291478,3000001764000,01421000
2015/06/18,3545,敦泰            ,1550000,366000,0,0,0,0,204000,114000,1274000,0204000,0114000
2015/06/18,3576,新日光          ,93000,592787,460000,1000,0,0,1455000,185000,1229213,01455000,0185000
2015/06/18,6176,瑞儀            ,1897000,1079995,452000,1000,0,92000,75000,87000,1164005,075000,9200087000
2015/06/18,2383,台光電          ,488000,373000,530000,0,99000,126000,589000,152000,1055000,99000589000,126000152000
2015/06/18,3045,台灣大          ,2838000,2571741,26000,2000,690000,30000,5000,2000,953259,6900005000,300002000
2015/06/18,2448,晶電            ,3181466,2539000,0,2000,0,0,571000,385000,826466,0571000,0385000
2015/06/18,2485,兆赫            ,746000,78000,0,0,250000,0,68000,160000,826000,25000068000,0160000
2015/06/18,3706,神達            ,1917000,651000,143000,0,20000,30000,953000,1530000,822000,20000953000,300001530000
2015/06/18,3023,信邦            ,689000,124851,0,0,0,58000,406000,95000,817149,0406000,5800095000
2015/06/18,3044,健鼎            ,1019000,203000,0,1000,0,0,10000,49000,776000,010000,049000
2015/06/18,2349,錸德            ,1319000,564000,0,0,0,0,0,0,755000,00,00
2015/06/18,1718,中纖            ,1146000,480000,0,0,0,5000,157000,78000,740000,0157000,500078000
2015/06/18,1536,和大            ,1755398,1013216,212000,145971,70000,89000,44000,98000,735211,7000044000,8900098000
2015/06/18,2439,美律            ,2353000,234000,0,1456613,100000,8000,35000,56000,733387,10000035000,800056000
2015/06/18,8150,南茂            ,1430000,850600,0,0,160000,5000,0,1440,732960,1600000,50001440
2015/06/18,3376,新日興          ,772000,106000,30000,242000,166000,12000,279000,164000,723000,166000279000,12000164000
2015/06/18,2455,全新            ,558000,378753,625000,0,330000,49000,201000,623000,663247,330000201000,49000623000
2015/06/18,2845,遠東銀          ,1009240,346000,0,2000,0,0,0,0,661240,00,00
2015/06/18,2316,楠梓電          ,546000,165000,0,0,272000,0,0,0,653000,2720000,00
2015/06/18,2856,元富證          ,863000,233000,0,0,0,0,0,0,630000,00,00
2015/06/18,2376,技嘉            ,905000,437569,119000,1000,22000,0,20000,1000,626431,2200020000,01000
2015/06/18,00639,深100           ,0,0,0,0,0,563000,4322000,3138000,621000,04322000,5630003138000
2015/06/18,4915,致伸            ,459000,229000,0,0,330000,26000,101000,24000,611000,330000101000,2600024000
2015/06/18,2867,三商壽          ,1075000,486000,0,0,0,5000,0,0,584000,00,50000
2015/06/18,3665,F-貿聯          ,119000,62000,385000,0,31000,45000,162000,16000,574000,31000162000,4500016000
2015/06/18,2355,敬鵬            ,767000,205389,0,48000,0,0,46000,2000,557611,046000,02000
2015/06/18,2331,精英            ,950000,263000,0,0,0,1000,91000,230000,547000,091000,1000230000
