年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2012/11/26,2409,友達            ,37053000,9846762,8452000,2507000,3491000,7522000,29120238
2012/11/26,3481,群創            ,43345000,16295263,1085000,0,859000,305000,28688737
2012/11/26,2317,鴻海            ,22863000,5070402,511500,0,986000,2890000,16400098
2012/11/26,1402,遠東新          ,21577000,8198845,943000,60700,729000,139000,14850455
2012/11/26,8422,可寧衛          ,14096000,40000,0,109000,9000,7000,13949000
2012/11/26,2885,元大金          ,10703000,6762020,4587000,0,2067000,695000,9899980
2012/11/26,2603,長榮            ,3647000,604000,895000,0,2989000,393000,6534000
2012/11/26,2311,日月光          ,12249000,7254184,3376000,0,892000,2921000,6341816
2012/11/26,2883,開發金          ,9357000,4896000,0,4000,1664000,204000,5917000
2012/11/26,2353,宏??            ,3663000,1583700,0,0,3640000,111000,5608300
2012/11/26,2002,中鋼            ,7121000,2969500,0,0,898000,0,5049500
2012/11/26,2886,兆豐金          ,11161000,6670650,538000,0,1025000,1194000,4859350
2012/11/26,2498,宏達電          ,4179000,674100,333000,0,997000,126000,4708900
2012/11/26,2303,聯電            ,11983000,7715500,0,0,2894000,2930000,4231500
2012/11/26,2890,永豐金          ,4629000,1813310,675000,2000,805000,75000,4218690
2012/11/26,2882,國泰金          ,6566000,2186409,50000,230054,326000,539000,3986537
2012/11/26,0050,台灣50          ,3736000,2461000,115000,0,4165000,1597000,3958000
2012/11/26,2105,正新            ,3860000,382000,275000,0,675000,510000,3918000
2012/11/26,2884,玉山金          ,7876000,4918000,1055000,0,313000,453000,3873000
2012/11/26,2881,富邦金          ,4827000,1586500,468000,2000,575000,457000,3824500
2012/11/26,1710,東聯            ,3983000,0,0,300000,80000,172000,3591000
2012/11/26,2887,台新金          ,8894000,5706000,0,2000,631000,410000,3407000
2012/11/26,2888,新光金          ,4222000,2189000,0,0,1304000,134000,3203000
2012/11/26,2880,華南金          ,3271000,654000,500000,0,74000,266000,2925000
2012/11/26,1605,華新            ,2764000,247000,0,0,261000,41000,2737000
2012/11/26,5880,合庫金          ,3298000,512500,0,0,122000,260000,2647500
2012/11/26,1326,台化            ,4205000,1602500,0,0,315000,356000,2561500
2012/11/26,2325,矽品            ,4756000,2924000,762000,0,112000,171000,2535000
2012/11/26,1305,華夏            ,122000,143000,2466000,0,0,0,2445000
2012/11/26,2892,第一金          ,4325000,2082000,0,2000,487000,321000,2407000
2012/11/26,2801,彰銀            ,2549000,305000,0,0,142000,34000,2352000
2012/11/26,2382,廣達            ,4200000,3003500,949000,200000,96000,94000,1947500
2012/11/26,2903,遠百            ,2579000,894000,0,0,245000,98000,1832000
2012/11/26,2891,中信金          ,14713000,13156287,0,0,464000,229000,1791713
2012/11/26,2610,華航            ,2250000,379000,0,0,75000,299000,1647000
2012/11/26,8078,華寶            ,958000,86000,603000,0,267000,197000,1545000
2012/11/26,2330,台積電          ,26496000,24979184,286000,135000,628000,780000,1515816
2012/11/26,4958,F-臻鼎          ,616000,1163000,2162000,536000,532000,133000,1478000
2012/11/26,5871,F-中租          ,2386000,1324000,0,0,518000,163000,1417000
2012/11/26,2315,神達            ,409000,264000,0,0,1434000,216000,1363000
2012/11/26,2458,義隆            ,902000,597000,716000,600000,1064000,150000,1335000
2012/11/26,2834,臺企銀          ,1581000,82000,0,0,135000,311040,1322960
2012/11/26,2049,上銀            ,1542550,374000,0,0,240000,121000,1287550
2012/11/26,1504,東元            ,1839000,567000,0,0,20000,6000,1286000
2012/11/26,2454,聯發科          ,2414000,1335573,18000,80000,365000,140000,1241427
2012/11/26,3545,敦泰            ,1239000,281000,362000,0,0,100000,1220000
2012/11/26,3035,智原            ,888000,169000,0,0,594000,101000,1212000
2012/11/26,2356,英業達          ,1535000,360000,0,0,31000,1000,1205000
2012/11/26,3702,大聯大          ,1446000,357000,79000,0,51000,21000,1198000
2012/11/26,2337,旺宏            ,6749000,920000,0,0,104000,4736000,1197000
2012/11/26,3673,F-TPK           ,1793600,872638,136000,20000,172000,30000,1178962
2012/11/26,2313,華通            ,599000,6000,0,0,624000,116000,1101000
2012/11/26,3231,緯創            ,4355000,3091001,300000,534000,139000,82000,1086999
2012/11/26,4960,奇美材          ,244000,207000,367000,0,768000,86000,1086000
2012/11/26,3030,德律            ,454000,0,0,0,635000,23000,1066000
2012/11/26,9914,美利達          ,1135220,362000,0,23000,317000,36000,1031220
2012/11/26,1722,台肥            ,1308000,70000,20000,0,7000,245000,1020000
2012/11/26,2412,中華電          ,3089000,2084920,0,0,13000,1000,1016080
