年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2012/08/23,2884,玉山金          ,11188144,5180000,4655000,43000,658000,770000,10508144
2012/08/23,2454,聯發科          ,11238961,2430811,343000,9000,349000,368000,9123150
2012/08/23,2890,永豐金          ,7707291,1047580,506000,133000,1082000,376000,7738711
2012/08/23,2303,聯電            ,15407065,11344036,2696000,112000,1124000,583000,7188029
2012/08/23,3481,群創            ,11588724,4180000,5000,67000,0,198000,7148724
2012/08/23,2885,元大金          ,8149236,1182000,7000,181000,98000,146373,6744863
2012/08/23,0050,台灣50          ,2665000,343000,0,0,4643000,396000,6569000
2012/08/23,2384,勝華            ,2372161,289000,151500,0,2919000,215000,4938661
2012/08/23,2330,台積電          ,19742872,15440491,690000,925000,135000,157000,4045381
2012/08/23,2886,兆豐金          ,6650264,3170964,6000,191000,1272000,536000,4030300
2012/08/23,910322,康師傅          ,3760000,30000,0,10000,7000,74000,3653000
2012/08/23,2317,鴻海            ,12433862,6955000,906500,860000,723000,2705000,3543362
2012/08/23,3702,大聯大          ,4727369,1748000,1000,1000,152000,75000,3056369
2012/08/23,1314,中石化          ,2283832,2005500,2336500,1000,978000,671000,2920832
2012/08/23,3034,聯詠            ,3976723,1912000,347000,0,504000,85000,2830723
2012/08/23,2511,太子            ,5440000,2669000,743000,459000,49000,702000,2402000
2012/08/23,2501,國建            ,2386000,76000,0,2000,65000,0,2373000
2012/08/23,1312,國喬            ,289339,987000,834000,0,2042000,0,2178339
2012/08/23,2892,第一金          ,2740348,700000,5000,132000,414000,176000,2151348
2012/08/23,2618,長榮航          ,4006654,1194000,1000,515000,28000,228000,2098654
2012/08/23,5880,合庫金          ,2558335,348000,4000,104000,25000,90000,2045335
2012/08/23,2882,國泰金          ,3419953,1577000,205000,155000,87000,10000,1969953
2012/08/23,2809,京城銀          ,1482000,101000,465000,1000,113000,3000,1955000
2012/08/23,2536,宏普            ,1657000,832000,1135000,0,112000,271000,1801000
2012/08/23,2308,台達電          ,3305272,1652306,3000,192000,243000,43000,1663966
2012/08/23,2337,旺宏            ,1217120,637000,3000,5000,999000,4000,1573120
2012/08/23,2301,光寶科          ,2208194,725395,2500,21000,44000,0,1508299
2012/08/23,2002,中鋼            ,4985401,3516000,10500,100000,118000,0,1497901
2012/08/23,2331,精英            ,1408000,49000,0,0,136000,79000,1416000
2012/08/23,2891,中信金          ,4230405,5571000,3008000,356000,157000,94000,1374405
